Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.003,0.1139,-0.1657,0,89.996,-1.692,144766,1.4386
16.003,0.1139,-0.1657,0.00003947,87.5,-1.912,142798,1.4191
16.003,0.1139,-0.1657,0.000088338,84.84,-1.824,141480,1.406
16.003,0.1139,-0.1657,0.00014876,82.35,-1.779,140599,1.3972
16.003,0.1139,-0.1657,0.00022389,80.21,-1.73,140122,1.3925
16.003,0.114,-0.1657,0.00031665,78.456,-1.668,139918,1.3904
16.003,0.114,-0.1657,0.00043172,76.997,-1.592,139858,1.3898
16.003,0.114,-0.1657,0.00057404,75.72,-1.498,139871,1.39
16.003,0.114,-0.1657,0.00075043,74.518,-1.384,139934,1.3906
16.003,0.114,-0.1657,0.00096884,73.318,-1.248,140045,1.3917
16.003,0.114,-0.1657,0.0012395,72.074,-1.087,140213,1.3934
16.003,0.114,-0.1657,0.0015744,70.75,-0.896,140442,1.3957
16.003,0.1141,-0.1657,0.0019893,69.318,-0.672,140745,1.3987
16.003,0.1141,-0.1657,0.0025032,67.751,-0.411,141135,1.4025
16.003,0.1142,-0.1657,0.0031395,66.029,-0.111,141628,1.4074
16.003,0.1142,-0.1657,0.0039276,64.135,0.228,142247,1.4136
16.003,0.1143,-0.1657,0.0049037,62.063,0.604,143017,1.4212
16.003,0.1144,-0.1657,0.0061124,59.817,1.009,143964,1.4307
16.003,0.1145,-0.1657,0.0076096,57.434,1.434,145107,1.442
16.003,0.1146,-0.1657,0.0094637,54.981,1.869,146437,1.4552
16.003,0.1148,-0.1658,0.011761,52.565,2.309,147905,1.4698
16.003,0.115,-0.1658,0.014605,50.313,2.753,149413,1.4848
16.003,0.1153,-0.1658,0.018128,48.244,3.201,150837,1.4989
16.003,0.1154,-0.1658,0.019807,47.509,3.379,151306,1.5036
16.003,0.1156,-0.1658,0.022492,46.331,3.652,152057,1.5111
16.003,0.1161,-0.1658,0.027898,44.522,4.092,152988,1.5203
16.003,0.1166,-0.1659,0.034592,42.797,4.497,153565,1.5261
16.003,0.1172,-0.1659,0.042883,41.229,4.846,153734,1.5277
16.003,0.118,-0.166,0.053153,39.956,5.135,153513,1.5255
16.003,0.1189,-0.166,0.065872,39.087,5.353,152986,1.5203
16.003,0.1189,-0.166,0.065981,39.082,5.355,152980,1.5202
16.003,0.1199,-0.1661,0.078392,38.585,5.515,152241,1.5129
16.003,0.1209,-0.1662,0.09134,38.32,5.646,151424,1.5048
16.003,0.1219,-0.1663,0.10473,38.141,5.741,150690,1.4975
16.003,0.1229,-0.1663,0.11858,37.944,5.797,150093,1.4916
16.003,0.124,-0.1664,0.13291,37.693,5.821,149634,1.487
16.003,0.1252,-0.1665,0.14772,37.403,5.824,149305,1.4837
16.003,0.1263,-0.1666,0.16305,37.106,5.821,149095,1.4816
16.003,0.1275,-0.1666,0.1789,36.823,5.82,148988,1.4806
16.003,0.1288,-0.1667,0.1953,36.562,5.824,148961,1.4803
16.003,0.1301,-0.1668,0.21227,36.314,5.832,148982,1.4805
16.003,0.1314,-0.1669,0.22982,36.071,5.836,149020,1.4809
16.003,0.1328,-0.167,0.24797,35.824,5.832,149055,1.4812
16.003,0.1342,-0.1671,0.26676,35.57,5.812,149076,1.4815
16.003,0.1357,-0.1672,0.28619,35.308,5.775,149082,1.4815
16.003,0.1372,-0.1673,0.3063,35.04,5.72,149080,1.4815
16.003,0.1388,-0.1674,0.32711,34.765,5.647,149078,1.4815
16.003,0.1405,-0.1675,0.34864,34.48,5.559,149085,1.4815
16.003,0.1421,-0.1677,0.37092,34.182,5.458,149107,1.4818
16.003,0.1439,-0.1678,0.39398,33.866,5.344,149147,1.4822
16.003,0.1457,-0.1679,0.41784,33.533,5.216,149202,1.4827
16.003,0.1476,-0.168,0.44254,33.183,5.074,149266,1.4833
16.003,0.1487,-0.1681,0.4573,32.962,4.984,149296,1.4836
16.003,0.1495,-0.1682,0.46724,32.813,4.922,149317,1.4838
16.003,0.1514,-0.1683,0.49194,32.434,4.763,149345,1.4841
16.003,0.1532,-0.1684,0.51663,32.06,4.595,149357,1.4842
16.003,0.1551,-0.1686,0.54132,31.708,4.421,149358,1.4843
16.003,0.157,-0.1687,0.56602,31.386,4.242,149350,1.4842
16.003,0.1589,-0.1688,0.59072,31.106,4.061,149335,1.484
16.003,0.1607,-0.169,0.61541,30.879,3.881,149308,1.4838
16.003,0.1626,-0.1691,0.64011,30.719,3.705,149265,1.4833
16.003,0.1645,-0.1692,0.66481,30.636,3.536,149201,1.4827
16.003,0.1664,-0.1694,0.68952,30.627,3.372,149126,1.482
16.003,0.1683,-0.1695,0.71422,30.673,3.206,149069,1.4814
16.003,0.1701,-0.1696,0.73893,30.766,3.024,149082,1.4815
16.003,0.172,-0.1697,0.76365,30.943,2.823,149233,1.483
16.003,0.1739,-0.1699,0.78837,31.314,2.619,149552,1.4862
16.003,0.1758,-0.17,0.8131,32.04,2.456,149967,1.4903
16.003,0.1777,-0.1701,0.83783,33.238,2.385,150280,1.4934
16.003,0.1795,-0.1703,0.86257,34.913,2.424,150211,1.4927
16.003,0.1814,-0.1704,0.88732,36.96,2.518,149543,1.4861
16.003,0.1833,-0.1705,0.91208,39.16,2.552,148208,1.4728
16.003,0.1847,-0.1706,0.9309,41.287,2.484,146303,1.4539
16.003,0.1858,-0.1707,0.9452,43.287,2.374,144117,1.4322
16.003,0.1867,-0.1708,0.95608,45.244,2.261,141997,1.4111
16.003,0.1873,-0.1708,0.96434,47.197,2.156,140162,1.3929
16.003,0.1878,-0.1708,0.97062,49.102,2.049,138698,1.3783
16.003,0.1881,-0.1709,0.97539,50.864,1.932,137584,1.3673
16.003,0.1884,-0.1709,0.97902,52.404,1.81,136755,1.359
16.003,0.1886,-0.1709,0.98177,53.69,1.691,136135,1.3529
16.003,0.1888,-0.1709,0.98387,54.729,1.581,135667,1.3482
16.003,0.1889,-0.1709,0.98546,55.552,1.486,135307,1.3446
16.003,0.189,-0.1709,0.98667,56.196,1.405,135028,1.3418
16.003,0.1891,-0.1709,0.98759,56.696,1.34,134809,1.3397
16.003,0.1891,-0.1709,0.98829,57.082,1.287,134637,1.338
16.003,0.1891,-0.1709,0.98882,57.38,1.246,134503,1.3366
16.003,0.1892,-0.1709,0.98923,57.608,1.213,134399,1.3356
16.003,0.1892,-0.1709,0.98954,57.783,1.188,134318,1.3348
16.003,0.1892,-0.1709,0.98977,57.917,1.168,134255,1.3342
16.003,0.1892,-0.1709,0.98995,58.02,1.153,134206,1.3337
16.003,0.1892,-0.1709,0.99008,58.098,1.142,134169,1.3333
16.003,0.1893,-0.1709,0.99019,58.161,1.133,134139,1.333
16.003,0.1893,-0.1709,0.99029,58.223,1.124,134108,1.3327
16.003,0.1893,-0.1709,0.99041,58.293,1.114,134074,1.3324
16.003,0.1893,-0.1709,0.99055,58.373,1.102,134035,1.332
16.003,0.1893,-0.171,0.99071,58.467,1.087,133988,1.3315
16.003,0.1893,-0.171,0.9909,58.577,1.071,133933,1.331
16.003,0.1893,-0.171,0.99112,58.705,1.051,133868,1.3303
16.003,0.1893,-0.171,0.99137,58.855,1.028,133791,1.3296
16.003,0.1894,-0.171,0.99167,59.03,1.001,133699,1.3286
16.003,0.1894,-0.171,0.99201,59.236,0.969,133587,1.3275
16.003,0.1894,-0.171,0.9924,59.477,0.931,133452,1.3262
16.003,0.1895,-0.171,0.99286,59.758,0.884,133286,1.3245
16.003,0.1895,-0.171,0.99339,60.073,0.83,133091,1.3226
16.003,0.1895,-0.171,0.99392,60.404,0.774,132870,1.3204
16.003,0.1896,-0.171,0.99445,60.743,0.717,132624,1.318
16.003,0.1896,-0.171,0.99498,61.086,0.657,132348,1.3152
16.003,0.1897,-0.171,0.99551,61.43,0.596,132037,1.3121
16.003,0.1897,-0.171,0.99604,61.773,0.532,131678,1.3086
16.003,0.1897,-0.171,0.99657,62.11,0.466,131260,1.3044
16.003,0.1898,-0.171,0.9971,62.435,0.398,130768,1.2995
16.003,0.1898,-0.171,0.99763,62.739,0.324,130187,1.2937
16.003,0.1899,-0.171,0.99816,63.005,0.251,129529,1.2872
16.003,0.1899,-0.171,0.99858,63.218,0.191,128819,1.2801
16.003,0.1899,-0.171,0.99891,63.375,0.145,128074,1.2727
16.003,0.1899,-0.171,0.99917,63.484,0.107,127288,1.2649
16.003,0.19,-0.171,0.99938,63.554,0.078,126432,1.2564
16.003,0.19,-0.171,0.99954,63.593,0.051,125464,1.2468
16.003,0.19,-0.171,0.99967,63.611,0.026,124370,1.2359
16.003,0.19,-0.171,0.99977,63.614,0.009,123224,1.2245
16.003,0.19,-0.171,0.99985,63.607,0.001,122188,1.2143
16.003,0.19,-0.171,0.99991,63.591,0.009,121414,1.2066
16.003,0.19,-0.171,0.99996,63.548,0.117,120963,1.2021
16.003,0.19,-0.171,1,0.308,0.166,120829,1.2007
14.767,0.11392912,-0.16569507,0,89.99604,-1.746013253,155613.94,1.546340242
14.767,0.11393212,-0.16569528,3.94702E-05,87.609573,-1.910353179,153794.84,1.528263792
14.767,0.11393584,-0.16569553,8.83382E-05,85.042198,-1.830930775,152686.25,1.517247701
14.767,0.11394043,-0.16569585,0.000148762,82.621826,-1.787686848,151978.08,1.510210595
14.767,0.11394615,-0.16569625,0.000223887,80.524551,-1.741933018,151640.56,1.506856649
14.767,0.1139532,-0.16569676,0.000316653,78.810852,-1.684951507,151549.45,1.505951287
14.767,0.11396196,-0.16569735,0.000431722,77.405197,-1.614706317,151576.5,1.506220083
14.767,0.11397278,-0.16569811,0.000574037,76.190331,-1.528583675,151659.36,1.507043466
14.767,0.1139862,-0.16569905,0.000750435,75.059998,-1.424018853,151780.09,1.508243163
14.767,0.11400282,-0.1657002,0.000968837,73.943039,-1.298111767,151942.44,1.50985644
14.767,0.1140234,-0.16570164,0.001239461,72.79155,-1.147350084,152154.64,1.511965077
14.767,0.11404888,-0.16570342,0.001574422,71.573799,-0.968225582,152423.34,1.514635157
14.767,0.11408044,-0.16570562,0.001989311,70.266563,-0.756909347,152757.83,1.517958994
14.767,0.11411954,-0.16570835,0.002503216,68.850029,-0.509879541,153168.75,1.522042318
14.767,0.11416794,-0.16571172,0.003139542,67.302002,-0.225599238,153666.73,1.52699076
14.767,0.11422789,-0.1657159,0.003927595,65.612015,0.095820687,154267.31,1.53295874
14.767,0.11430214,-0.16572107,0.004903684,63.772549,0.452156024,154988.44,1.54012463
14.767,0.11439409,-0.1657275,0.006112403,61.78698,0.83660956,155845.81,1.548644341
14.767,0.11450798,-0.16573544,0.007609555,59.685928,1.241600974,156849.92,1.558622211
14.767,0.11464903,-0.16574526,0.009463692,57.537178,1.660288723,157986.67,1.569918129
14.767,0.11482375,-0.16575745,0.01176055,55.449669,2.089190324,159210.52,1.582079562
14.767,0.11504014,-0.16577254,0.014605101,53.520237,2.528111778,160440.89,1.594305784
14.767,0.11530814,-0.16579123,0.018128095,51.80888,2.975936971,161569.59,1.605521709
14.767,0.11543587,-0.16580014,0.019807227,51.239212,3.154594829,161924.22,1.609045678
14.767,0.11564011,-0.16581438,0.022492129,50.326466,3.430958626,162492.22,1.61468991
14.767,0.11605132,-0.16584305,0.027897675,49.042828,3.878678291,163128.27,1.621010357
14.767,0.11656059,-0.16587858,0.034592453,47.933125,4.297289699,163421.53,1.623924491
14.767,0.11719129,-0.16592255,0.042883389,47.016796,4.669749113,163344.63,1.623160333
14.767,0.11797248,-0.16597703,0.053152572,46.349422,4.991029561,162948.52,1.619224176
14.767,0.11894003,-0.16604452,0.065871708,45.959698,5.239373669,162313.64,1.612915355
