Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.003,0.1201,-0.088,0,125098,330.14,1.2432,1.148
16.003,0.1201,-0.088,0.000043157,125387,330.4,1.246,1.1489
16.003,0.1201,-0.088,0.00009356,126000,330.48,1.2521,1.1491
16.003,0.1201,-0.088,0.00015259,126714,330.55,1.2592,1.1494
16.003,0.1201,-0.088,0.00022165,127327,330.59,1.2653,1.1495
16.003,0.1201,-0.088,0.00030231,127808,330.61,1.2701,1.1496
16.003,0.1201,-0.088,0.00039683,128212,330.62,1.2741,1.1496
16.003,0.1201,-0.088,0.00050733,128580,330.62,1.2778,1.1497
16.003,0.1201,-0.088,0.00063648,128937,330.63,1.2813,1.1497
16.003,0.1201,-0.088,0.00078748,129298,330.63,1.2849,1.1497
16.003,0.1201,-0.088,0.00096416,129671,330.63,1.2886,1.1497
16.003,0.1202,-0.088,0.0011709,130063,330.63,1.2925,1.1497
16.003,0.1202,-0.088,0.0014127,130482,330.63,1.2967,1.1497
16.003,0.1202,-0.088,0.0016954,130935,330.63,1.3012,1.1497
16.003,0.1202,-0.088,0.0020261,131430,330.62,1.3061,1.1497
16.003,0.1202,-0.088,0.0024129,131972,330.61,1.3115,1.1496
16.003,0.1203,-0.088,0.0028653,132564,330.6,1.3174,1.1496
16.003,0.1203,-0.088,0.0033945,133203,330.58,1.3237,1.1495
16.003,0.1204,-0.088,0.0040134,133880,330.56,1.3304,1.1494
16.003,0.1204,-0.088,0.0047375,134588,330.53,1.3375,1.1493
16.003,0.1205,-0.088,0.0055842,135322,330.49,1.3448,1.1492
16.003,0.1205,-0.088,0.0065748,136078,330.45,1.3523,1.149
16.003,0.1206,-0.088,0.0077333,136855,330.39,1.36,1.1488
16.003,0.1207,-0.088,0.0090883,137653,330.32,1.3679,1.1486
16.003,0.1208,-0.088,0.010674,138477,330.23,1.3761,1.1483
16.003,0.121,-0.088,0.012528,139330,330.12,1.3846,1.1479
16.003,0.1211,-0.088,0.014696,140211,330,1.3934,1.1475
16.003,0.1213,-0.088,0.017234,141126,329.84,1.4025,1.1469
16.003,0.1215,-0.088,0.020202,142055,329.67,1.4117,1.1463
16.003,0.1217,-0.088,0.023142,142968,329.47,1.4208,1.1457
16.003,0.1219,-0.088,0.026349,143865,329.25,1.4297,1.1449
16.003,0.1222,-0.088,0.029847,144750,329.01,1.4385,1.144
16.003,0.1224,-0.088,0.033664,145619,328.73,1.4471,1.1431
16.003,0.1227,-0.088,0.037828,146458,328.43,1.4554,1.142
16.003,0.123,-0.088,0.04237,147246,328.1,1.4633,1.1409
