Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,14.696,100603,100804.6,287.577,287.75,155237,156163.9,333.615,333.203,1.5431,1.1601,1.158,0.8353
20000,14.766,100602.4,100801.8,287.576,287.748,155493.9,156090.9,333.233,332.913,1.5456,1.1588,1.157,0.844
20000,14.784,100602.3,100801.2,287.576,287.747,155503,156058,333.149,332.842,1.5457,1.1585,1.1567,0.8455
20000,14.828,100602.1,100799.5,287.576,287.745,155440.2,155935.7,332.95,332.66,1.5451,1.1578,1.1561,0.848
20000,14.96,100599.8,100792.4,287.574,287.739,155195.3,155616.2,332.449,332.18,1.5427,1.156,1.1544,0.8538
20000,15.049,100601.2,100791.6,287.575,287.738,154634.6,155048.2,331.972,331.695,1.5371,1.1544,1.1528,0.8555
20000,15.981,100598.6,100762.8,287.575,287.713,147448.8,148011,326.229,326.016,1.4657,1.1344,1.1331,0.8671
20000,16.006,100598.6,100762.2,287.575,287.713,147091.7,147663.1,325.989,325.783,1.4622,1.1336,1.1323,0.8665
20000,16.029,100598.6,100761.6,287.575,287.712,146729.1,147309.6,325.752,325.552,1.4586,1.1328,1.1315,0.8658
20000,16.096,100598.5,100759.8,287.575,287.711,145272.8,145887.9,324.867,324.689,1.4441,1.1297,1.1285,0.8613
20000,16.126,100598.4,100759,287.575,287.71,144104.4,144753.3,324.213,324.049,1.4325,1.1274,1.1263,0.8562
20000,16.134,100598.4,100758.8,287.575,287.71,143713.2,144375.9,323.996,323.836,1.4286,1.1266,1.1256,0.8544
20000,16.146,100598.4,100758.5,287.575,287.709,142924,143618.8,323.574,323.423,1.4207,1.1252,1.1241,0.8503
20000,16.184,100598.3,100757.5,287.574,287.708,138983.7,139900.3,321.57,321.472,1.3816,1.1182,1.1174,0.8244
20000,16.206,100598.2,100756.9,287.574,287.708,135113.8,136341.3,319.743,319.715,1.3431,1.1119,1.1113,0.7904
20000,16.219,100598.2,100756.6,287.574,287.708,131174.1,132980,318.285,318.315,1.3039,1.1068,1.1064,0.7405
20000,16.223,100598.2,100756.5,287.574,287.707,127970.9,130617.2,317.645,317.645,1.2721,1.1046,1.1041,0.6841
