Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.006,0.11392888,-0.16569506,0,89.951012,-2.054838574,147558.41,1.466803812
16.006,0.11393189,-0.16569526,3.95E-05,88.672417,-2.187158155,146061.5,1.451923784
16.006,0.11393739,-0.16569565,0.000111755,85.877678,-1.962236599,144708.14,1.438470714
16.006,0.11394743,-0.16569635,0.000243781,82.399132,-1.80355168,143829.11,1.42973272
16.006,0.11396578,-0.16569762,0.000485001,78.281509,-1.554235004,143492.89,1.426390526
16.006,0.11399928,-0.16569996,0.000925353,73.392326,-1.153485096,143788.3,1.429327048
16.006,0.11406047,-0.16570422,0.001729748,67.737587,-0.609257864,144876.16,1.440140916
16.006,0.11417226,-0.16571203,0.003199384,61.621078,0.121210241,146793.72,1.459202414
16.006,0.11437637,-0.16572626,0.00588251,55.685028,1.102044876,149342.95,1.484543025
16.006,0.1147489,-0.16575223,0.01077962,50.272705,2.217731102,151809.91,1.509065832
16.006,0.115429,-0.16579966,0.019719895,45.564873,3.369407252,153462.52,1.525493595
16.006,0.11667112,-0.16588628,0.036048248,41.745209,4.572525254,154490.69,1.535714115
16.006,0.11894027,-0.16604453,0.065877661,39.030182,5.505133534,155016.31,1.540939039
16.006,0.12117469,-0.16620035,0.095250368,37.42765,5.967282601,154671.66,1.537513047
16.006,0.12356077,-0.16636674,0.12661687,36.668198,6.158191333,153669.52,1.527551278
16.006,0.12610912,-0.16654445,0.16011646,36.34248,6.19311133,152588.97,1.516810075
16.006,0.12883127,-0.16673429,0.19590068,36.068127,6.126831276,151751.55,1.508485705
16.006,0.13100128,-0.16688563,0.22442676,35.757053,6.038357673,151300.63,1.504003336
16.006,0.13173935,-0.1669371,0.23412912,35.651573,6.008133237,151147.77,1.502483832
16.006,0.13484645,-0.16715378,0.27497378,35.075672,5.853547155,150681.47,1.497848578
16.006,0.13816711,-0.16738535,0.3186259,34.414032,5.657406956,150275.09,1.49380896
16.006,0.14171627,-0.16763285,0.36528167,33.755096,5.419564206,149881.64,1.489897871
16.006,0.14551049,-0.16789745,0.41515902,33.15947,5.142392742,149482.91,1.485934297
16.006,0.14956798,-0.16818041,0.46849701,32.638481,4.820732696,149106.66,1.482194186
16.006,0.15390864,-0.16848311,0.52555764,32.146267,4.440488188,148805.39,1.479199412
16.006,0.15825018,-0.16878587,0.58262974,31.627504,3.993018579,148645.88,1.477613804
16.006,0.16236164,-0.16907258,0.63667727,31.216429,3.525910519,148714.7,1.478297909
16.006,0.16259257,-0.16908869,0.63971311,31.193342,3.499673037,148718.56,1.478336279
16.006,0.1669331,-0.16939139,0.69677192,31.183733,3.03230369,148969.59,1.480831642
16.006,0.17127635,-0.16969429,0.75386643,32.040043,2.697571126,149007.34,1.481206896
16.006,0.17562264,-0.16999738,0.81100106,34.074753,2.560298056,148368.27,1.474854223
16.006,0.17997274,-0.17030074,0.8681857,37.381413,2.537250527,146936.39,1.460620625
16.006,0.18432707,-0.17060439,0.92542589,41.660736,2.384586422,144860.13,1.43998157
16.006,0.18664065,-0.17076574,0.95583928,46.322449,2.075938002,142318.03,1.414711835
16.006,0.18786955,-0.17085144,0.97199392,50.878738,1.805527019,139813.02,1.389810793
16.006,0.18852228,-0.17089695,0.98057449,54.830757,1.593927004,137888.34,1.370678518
16.006,0.18886904,-0.17092113,0.98513293,57.738609,1.425299113,136603.03,1.357901899
16.006,0.18905328,-0.17093398,0.98755485,59.568565,1.304961114,135804.69,1.349966004
16.006,0.1891512,-0.17094082,0.98884201,60.577507,1.224363042,135339.53,1.345342082
16.006,0.18920322,-0.17094444,0.98952585,61.080364,1.17283267,135084.52,1.342807156
16.006,0.18923089,-0.17094637,0.98988956,61.319901,1.141524309,134950.31,1.341473042
16.006,0.1892456,-0.1709474,0.99008292,61.437801,1.124772537,134881.3,1.340787049
16.006,0.18925342,-0.17094794,0.99018574,61.503197,1.116009833,134837.38,1.340350462
16.006,0.18926132,-0.17094849,0.99028957,61.570606,1.107790724,134786.47,1.339844391
16.006,0.18927741,-0.17094962,0.99050111,61.69397,1.091847972,134688,1.338865551
16.006,0.18931012,-0.17095189,0.99093109,61.943192,1.059132253,134475.66,1.336754786
16.006,0.18937661,-0.17095655,0.9918052,62.380928,0.966274248,134016.19,1.332187426
16.006,0.18951176,-0.17096597,0.99358183,62.958694,0.782632706,133183.25,1.323907589
16.006,0.18964694,-0.17097539,0.99535888,63.53627,0.573327107,131832.8,1.310483446
16.006,0.18978211,-0.1709848,0.99713576,64.020828,0.34464419,129795.22,1.29022889
16.006,0.18991728,-0.17099424,0.99891263,64.369331,0.114796162,127171.05,1.264143338
16.006,0.1899693,-0.17099787,0.99959648,64.584091,-0.001418514,124369.17,1.236291261
16.006,0.18998933,-0.17099926,0.99985969,64.718842,-0.010937372,122023.76,1.212976721
16.006,0.18999703,-0.1709998,0.99996102,64.827583,0.254937875,120643.84,1.199259632
16.006,0.19,-0.171,1,0.22854182,4.594935261,120371.34,1.196550847
14.784,0.11392888,-0.16569506,0,89.950851,-2.077840721,157185.97,1.562449069
14.784,0.11393189,-0.16569526,3.95E-05,88.605286,-2.125833167,155595.78,1.546642373
14.784,0.11393739,-0.16569565,0.000111755,85.715324,-1.946586318,154480.52,1.535556543
14.784,0.11394743,-0.16569635,0.000243781,82.241936,-1.814098135,153847.28,1.529262055
14.784,0.11396578,-0.16569762,0.000485001,78.275803,-1.597755864,153738.42,1.528179972
14.784,0.11399928,-0.16569996,0.000925353,73.752792,-1.240271594,154213.17,1.532899049
14.784,0.11406047,-0.16570422,0.001729748,68.677658,-0.744772123,155337.63,1.544076328
14.784,0.11417226,-0.16571203,0.003199384,63.383137,-0.065549758,157061,1.561206851
14.784,0.11437637,-0.16572626,0.00588251,58.382877,0.873385229,159106.53,1.581539686
14.784,0.1147489,-0.16575223,0.01077962,53.924377,1.979507999,160789.09,1.598264553
14.784,0.115429,-0.16579966,0.019719895,50.163864,3.155072786,161529.16,1.605620945
14.784,0.11667112,-0.16588628,0.036048248,47.143661,4.422507406,161724.75,1.607565135
14.784,0.11894027,-0.16604453,0.065877661,44.926041,5.445410046,161697.09,1.607290191
14.784,0.12117469,-0.16620035,0.095250368,43.51403,6.001097277,161157.45,1.601926099
14.784,0.12356077,-0.16636674,0.12661687,42.761742,6.287528597,160206.22,1.592470749
14.784,0.12610912,-0.16654445,0.16011646,42.379402,6.410458738,159237.84,1.582844925
14.784,0.12883127,-0.16673429,0.19590068,42.048378,6.421492116,158471.44,1.575226809
14.784,0.13100128,-0.16688563,0.22442676,41.706753,6.388732398,158042.48,1.570962891
14.784,0.13173935,-0.1669371,0.23412912,41.591095,6.377373344,157897.22,1.569518987
14.784,0.13484645,-0.16715378,0.27497378,40.999695,6.310088575,157463.23,1.56520507
14.784,0.13816711,-0.16738535,0.3186259,40.375824,6.237453567,157132.22,1.561914787
14.784,0.14171627,-0.16763285,0.36528167,39.81971,6.165432019,156871.44,1.5593226
14.784,0.14551049,-0.16789745,0.41515902,39.34861,6.073581062,156672.38,1.557343918
14.784,0.14956798,-0.16818041,0.46849701,38.889095,5.916855781,156568.81,1.556314418
14.784,0.15390864,-0.16848311,0.52555764,38.341721,5.650854664,156590.36,1.556528628
14.784,0.15825018,-0.16878587,0.58262974,37.754623,5.284998051,156722.25,1.557839632
14.784,0.16236164,-0.16907258,0.63667727,37.531712,4.909664937,156930.55,1.559910161
14.784,0.16259257,-0.16908869,0.63971311,37.519135,4.888568394,156942.28,1.560026759
14.784,0.1669331,-0.16939139,0.69677192,38.29332,4.543119595,157187.78,1.562467061
14.784,0.17127635,-0.16969429,0.75386643,40.64669,4.292955857,157381.75,1.564395148
14.784,0.17562264,-0.16999738,0.81100106,44.689964,4.105696995,157678.03,1.56734021
14.784,0.17997274,-0.17030074,0.8681857,49.959328,3.830850756,158413.16,1.574647498
14.784,0.18432707,-0.17060439,0.92542589,55.532478,3.252700219,159477.41,1.585226282
14.784,0.18664065,-0.17076574,0.95583928,60.553909,2.560778529,160016.58,1.590585702
14.784,0.18786955,-0.17085144,0.97199392,64.617264,2.083374672,159737.7199,1.587813797
14.784,0.18852228,-0.17089695,0.98057449,67.569901,1.740888719,159105.63,1.58153074
14.784,0.18886904,-0.17092113,0.98513293,69.455383,1.489305759,158380.41,1.574321959
14.784,0.18905328,-0.17093398,0.98755485,70.51947,1.328049149,157720.5,1.567762367
14.784,0.1891512,-0.17094082,0.98884201,71.058609,1.226807576,157224.14,1.562828484
14.784,0.18920322,-0.17094444,0.98952585,71.313065,1.165165493,156902.19,1.559628259
14.784,0.18923089,-0.17094637,0.98988956,71.432907,1.129297481,156714.75,1.557765081
14.784,0.1892456,-0.1709474,0.99008292,71.49295,1.110828165,156613.03,1.556753971
14.784,0.18925342,-0.17094794,0.99018574,71.526581,1.101110963,156549.38,1.556121282
14.784,0.18926132,-0.17094849,0.99028957,71.561836,1.09274437,156475.53,1.555387203
14.784,0.18927741,-0.17094962,0.99050111,71.625374,1.076995968,156316.97,1.553811096
14.784,0.18931012,-0.17095189,0.99093109,71.751953,1.042640279,155931.31,1.549977585
14.784,0.18937661,-0.17095655,0.9918052,71.967041,0.946973426,155053.3,1.541250051
14.784,0.18951176,-0.17096597,0.99358183,72.240402,0.759668856,153395.13,1.524767625
14.784,0.18964694,-0.17097539,0.99535888,72.501724,0.548434571,150674.48,1.497724008
14.784,0.18978211,-0.1709848,0.99713576,72.708435,0.317349358,146699.92,1.458216363
14.784,0.18991728,-0.17099424,0.99891263,72.84565,0.086122736,141782.09,1.40933249
14.784,0.1899693,-0.17099787,0.99959648,72.919998,-0.029398609,136700.7,1.35882281
14.784,0.18998933,-0.17099926,0.99985969,72.956604,-0.027160545,132519.59,1.317262031
14.784,0.18999703,-0.1709998,0.99996102,72.930756,0.463841715,130066.77,1.29288068
14.784,0.19,-0.171,1,0.21552587,5.634703809,129523.27,1.287478219
