Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.006,0.12008104,-0.088,0,126074.97,330.24542,1.253247759,1.148380144
16.006,0.12008405,-0.088,4.31569E-05,126230.78,330.28235,1.254796588,1.148508563
16.006,0.12008888,-0.088,0.000112208,126872.53,330.40161,1.261175901,1.148923272
16.006,0.12009661,-0.088,0.000222711,127988.69,330.52448,1.272271085,1.149350535
16.006,0.12010897,-0.088,0.000399494,129477.13,330.63162,1.287066917,1.149723098
16.006,0.12012874,-0.088,0.000682305,131177.48,330.69879,1.30396924,1.149956672
16.006,0.12016039,-0.088,0.001134973,132997,330.71069,1.322056172,1.149998053
16.006,0.12021104,-0.088,0.00185937,134914.94,330.65765,1.341121447,1.149813614
16.006,0.1202921,-0.088,0.003018638,136952.11,330.52768,1.361371928,1.149361662
16.006,0.12042181,-0.088,0.004873852,139141.66,330.30319,1.383137141,1.148581031
16.006,0.12062941,-0.088,0.007843046,141519.64,329.96094,1.406775442,1.147390907
16.006,0.12096167,-0.088,0.012595099,144051.27,329.48376,1.431941101,1.145731583
16.006,0.12149356,-0.088,0.020202328,146616.03,328.8721,1.457436088,1.143604625
16.006,0.12202043,-0.088,0.027737735,149022.47,328.16003,1.481357295,1.141128506
16.006,0.1226135,-0.088,0.036219928,151023.92,327.40549,1.501252701,1.138504703
16.006,0.12328104,-0.088,0.0457673,152439.38,326.66684,1.515323076,1.135936156
16.006,0.12403248,-0.088,0.056514539,153221.63,326.00528,1.523099029,1.133635678
16.006,0.12411319,-0.088,0.057668906,153242.31,325.95334,1.523304599,1.133455064
16.006,0.12487831,-0.088,0.068611898,153442.5,325.46143,1.525294587,1.131744519
16.006,0.12583041,-0.088,0.082229123,153249.64,325.05264,1.523377463,1.130323011
16.006,0.12690209,-0.088,0.097556531,152806.52,324.7771,1.51897263,1.129364861
16.006,0.12810831,-0.088,0.11480821,152244.97,324.62234,1.513390544,1.128826706
16.006,0.12946588,-0.088,0.13422455,151641.61,324.56854,1.507392846,1.128639624
16.006,0.13099365,-0.088,0.15607515,151043.39,324.59549,1.501446243,1.128733339
16.006,0.13271283,-0.088,0.18066329,150480.13,324.68082,1.495847159,1.129030062
16.006,0.13464712,-0.088,0.20832802,149967.5,324.7998,1.490751362,1.129443797
16.006,0.13682321,-0.088,0.23945107,149508.16,324.92688,1.486185295,1.129885699
16.006,0.13927108,-0.088,0.27446121,149108.75,325.03729,1.482214961,1.130269634
16.006,0.14202468,-0.088,0.31384397,148764.47,325.11353,1.478792647,1.130534747
16.006,0.14477751,-0.088,0.35321563,148462.34,325.14081,1.475789325,1.13062961
16.006,0.14752956,-0.088,0.39257622,148200.73,325.10574,1.473188792,1.130507659
16.006,0.15028103,-0.088,0.43192849,147980.63,325.00507,1.471000889,1.130157594
16.006,0.15303262,-0.088,0.47128245,147809.11,324.84216,1.469295895,1.129591098
16.006,0.15455455,-0.088,0.4930495,147749.16,324.72559,1.468699962,1.129185743
16.006,0.1557845,-0.088,0.51064068,147700.69,324.63226,1.468218146,1.128861201
16.006,0.15853663,-0.088,0.55000234,147655.72,324.40936,1.467771122,1.128086099
16.006,0.16128901,-0.088,0.58936757,147658.67,324.21658,1.467800447,1.127415735
16.006,0.16404122,-0.088,0.62873054,147672.09,324.10791,1.467933848,1.127037851
16.006,0.16679308,-0.088,0.66808832,147636.69,324.1337,1.467581954,1.127127532
16.006,0.16954464,-0.088,0.70744187,147544.41,324.32611,1.466664645,1.12779661
16.006,0.17229588,-0.088,0.74679095,147398.56,324.69501,1.465214824,1.129079405
16.006,0.17470936,-0.088,0.78130919,147205.78,325.22403,1.463298495,1.130918995
16.006,0.17682622,-0.088,0.81158513,146946.23,325.87814,1.460718439,1.133193567
16.006,0.17868286,-0.088,0.8381393,146567.08,326.61792,1.4569495,1.135766044
16.006,0.17894059,-0.088,0.84182543,146489.34,326.74182,1.456176726,1.136196888
16.006,0.18031131,-0.088,0.86142969,146076.42,327.40143,1.452072096,1.138490585
16.006,0.18173948,-0.088,0.88185585,145504.63,328.18933,1.44638822,1.141230392
16.006,0.18299207,-0.088,0.89977074,144858.14,328.95538,1.439961789,1.143894219
16.006,0.18409067,-0.088,0.91548324,144122.42,329.68451,1.432648367,1.146429662
16.006,0.1850542,-0.088,0.92926383,143283.7,330.36627,1.424311074,1.148800383
16.006,0.18589929,-0.088,0.94135052,142332.16,330.99689,1.414852294,1.150993271
16.006,0.1866405,-0.088,0.95195156,141280.45,331.57419,1.404397775,1.153000748
16.006,0.18729056,-0.088,0.96124893,140155.53,332.09494,1.393215512,1.15481158
16.006,0.18786082,-0.088,0.96940488,138983.72,332.55652,1.381567139,1.156416657
16.006,0.18836088,-0.088,0.97655696,137779.81,332.95425,1.369599676,1.157799704
16.006,0.1887996,-0.088,0.98283166,136544.16,333.28497,1.357316702,1.158949735
16.006,0.18905462,-0.088,0.98647898,135826.41,333.4346,1.350181911,1.159470051
16.006,0.18923968,-0.088,0.98912573,135305.52,333.54306,1.345004006,1.159847205
16.006,0.18951911,-0.088,0.99312216,134091.75,333.72919,1.33293853,1.160494445
16.006,0.18969652,-0.088,0.99565959,132916.63,333.85184,1.321257254,1.160920942
16.006,0.18980919,-0.088,0.997271,131768.73,333.92465,1.309846559,1.161174128
16.006,0.18988073,-0.088,0.99829417,130641.82,333.95728,1.298644514,1.161287595
16.006,0.18992616,-0.088,0.99894398,129535.25,333.95554,1.287644659,1.161281544
16.006,0.18995501,-0.088,0.99935657,128463.71,333.9231,1.27699302,1.161168739
16.006,0.18997331,-0.088,0.99961829,127466.68,333.8645,1.267082047,1.160964966
16.006,0.18998495,-0.088,0.99978477,126621.38,333.78983,1.258679345,1.160705312
16.006,0.18999234,-0.088,0.99989045,126010.38,333.71152,1.252605702,1.160433
16.006,0.18999702,-0.088,0.99995738,125675.22,333.63757,1.249274046,1.16017585
16.006,0.19,-0.088,1,125562.39,333.72284,1.248152459,1.160472364
14.784,0.12008104,-0.088,0,138684.06,332.65817,1.378537668,1.156766107
14.784,0.12008405,-0.088,4.31569E-05,138814.14,332.69336,1.37983068,1.156888475
14.784,0.12008888,-0.088,0.000112208,139349.97,332.78467,1.3851569,1.157205991
14.784,0.12009661,-0.088,0.000222711,140285.19,332.8782,1.394453109,1.157531227
14.784,0.12010897,-0.088,0.000399494,141542,332.96066,1.406945964,1.157817968
14.784,0.12012874,-0.088,0.000682305,142990.44,333.01413,1.421343647,1.158003902
14.784,0.12016039,-0.088,0.001134973,144550.81,333.02673,1.436853929,1.158047716
14.784,0.12021104,-0.088,0.00185937,146200.06,332.99103,1.453247689,1.157923575
14.784,0.1202921,-0.088,0.003018638,147944.78,332.8985,1.470590434,1.157601817
14.784,0.12042181,-0.088,0.004873852,149795.05,332.73706,1.488982359,1.157040435
14.784,0.12062941,-0.088,0.007843046,151755.34,332.49072,1.508467898,1.156183826
14.784,0.12096167,-0.088,0.012595099,153771.3,332.14731,1.528506804,1.154989672
14.784,0.12149356,-0.088,0.020202328,155730.75,331.70624,1.547983992,1.153455921
14.784,0.12202043,-0.088,0.027737735,157492.31,331.19043,1.565494129,1.151662274
14.784,0.1226135,-0.088,0.036219928,158890.84,330.64069,1.5793957,1.14975064
14.784,0.12328104,-0.088,0.0457673,159809.48,330.10022,1.588527101,1.147871241
14.784,0.12403248,-0.088,0.056514539,160232.09,329.61469,1.5927279,1.146182887
14.784,0.12411319,-0.088,0.057668906,160231.53,329.57645,1.592722333,1.146049914
14.784,0.12487831,-0.088,0.068611898,160230.31,329.21432,1.592710206,1.144790664
14.784,0.12583041,-0.088,0.082229123,159932.86,328.9118,1.589753515,1.143738699
14.784,0.12690209,-0.088,0.097556531,159476.67,328.70648,1.585218926,1.143024731
14.784,0.12810831,-0.088,0.11480821,158963.47,328.59125,1.580117651,1.142624037
14.784,0.12946588,-0.088,0.13422455,158436.75,328.55505,1.574881986,1.142498157
14.784,0.13099365,-0.088,0.15607515,157913.89,328.58847,1.569684689,1.14261437
14.784,0.13271283,-0.088,0.18066329,157406.08,328.68195,1.564636991,1.142939432
14.784,0.13464712,-0.088,0.20832802,156923.45,328.8248,1.559839586,1.14343617
14.784,0.13682321,-0.088,0.23945107,156473.34,329.00336,1.555365434,1.144057084
14.784,0.13927108,-0.088,0.27446121,156081.13,329.19717,1.551466815,1.144731028
14.784,0.14202468,-0.088,0.31384397,155761.31,329.38782,1.548287763,1.145393983
14.784,0.14477751,-0.088,0.35321563,155514.59,329.55066,1.545835334,1.145960233
14.784,0.14752956,-0.088,0.39257622,155349.03,329.65414,1.544189646,1.146320068
14.784,0.15028103,-0.088,0.43192849,155264.5,329.68338,1.543349407,1.146421746
14.784,0.15303262,-0.088,0.47128245,155261.97,329.64999,1.543324258,1.146305637
14.784,0.15455455,-0.088,0.4930495,155305.03,329.62125,1.54375228,1.146205699
14.784,0.1557845,-0.088,0.51064068,155339.11,329.5986,1.54409104,1.146126937
14.784,0.15853663,-0.088,0.55000234,155476.03,329.61389,1.545452042,1.146180105
14.784,0.16128901,-0.088,0.58936757,155633.34,329.80695,1.547015724,1.146851441
14.784,0.16404122,-0.088,0.62873054,155726.19,330.2869,1.547938665,1.148520391
14.784,0.16679308,-0.088,0.66808832,155655.03,331.12424,1.547231326,1.151432108
14.784,0.16954464,-0.088,0.70744187,155455.28,332.31821,1.545245785,1.15558395
14.784,0.17229588,-0.088,0.74679095,155222.78,333.77228,1.542934704,1.160640248
14.784,0.17470936,-0.088,0.78130919,155055.28,335.30734,1.541269732,1.165978176
14.784,0.17682622,-0.088,0.81158513,155033.81,336.75113,1.541056318,1.170998727
14.784,0.17868286,-0.088,0.8381393,155152.42,338.02304,1.542235317,1.175421593
14.784,0.17894059,-0.088,0.84182543,155197.72,338.19739,1.542685605,1.176027867
14.784,0.18031131,-0.088,0.86142969,155438.91,339.12888,1.545083065,1.179266976
14.784,0.18173948,-0.088,0.88185585,155890.06,340.11792,1.549567555,1.182706206
14.784,0.18299207,-0.088,0.89977074,156416.66,341.05029,1.554802027,1.185948375
14.784,0.18409067,-0.088,0.91548324,156892.81,341.97235,1.559535021,1.189154693
14.784,0.1850542,-0.088,0.92926383,157217.89,342.90955,1.562766358,1.192413658
14.784,0.18589929,-0.088,0.94135052,157316,343.88403,1.563741584,1.195802257
14.784,0.1866405,-0.088,0.95195156,157154.55,344.90356,1.56213675,1.199347512
14.784,0.18729056,-0.088,0.96124893,156737.39,345.97055,1.557990125,1.2030578
14.784,0.18786082,-0.088,0.96940488,156082.5,347.0683,1.551480433,1.206875052
14.784,0.18836088,-0.088,0.97655696,155185.97,348.16547,1.542568808,1.210690287
14.784,0.1887996,-0.088,0.98283166,154068.09,349.21793,1.531456935,1.21435005
14.784,0.18905462,-0.088,0.98647898,153291.13,349.76221,1.523733851,1.216242698
14.784,0.18923968,-0.088,0.98912573,152727.7,350.15717,1.518133283,1.217616108
14.784,0.18951911,-0.088,0.99312216,151207.09,350.92487,1.503018221,1.220285664
14.784,0.18969652,-0.088,0.99565959,149595.92,351.5061,1.487002981,1.222306799
14.784,0.18980919,-0.088,0.997271,147926.28,351.92215,1.470406541,1.223753547
14.784,0.18988073,-0.088,0.99829417,146242.05,352.19894,1.453665075,1.22471604
14.784,0.18992616,-0.088,0.99894398,144572.45,352.36118,1.437069033,1.225280204
14.784,0.18995501,-0.088,0.99935657,142949.25,352.42987,1.420934213,1.225519063
14.784,0.18997331,-0.088,0.99961829,141426.47,352.42331,1.405797581,1.225496251
14.784,0.18998495,-0.088,0.99978477,140107.16,352.36444,1.392683467,1.22529154
14.784,0.18999234,-0.088,0.99989045,139123.2,352.27762,1.382902777,1.224989638
14.784,0.18999702,-0.088,0.99995738,138567.16,352.17316,1.377375666,1.224626394
14.784,0.19,-0.088,1,138391.23,351.60583,1.375626899,1.222653594
