Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30,,
20000,16.273,100622.6,100792.5,287.595,287.734,128238.6,131522.4,318.168,318.166,1.2745,1.1063,1.1058,0.6784,,
20000,16.227,100622.9,100793.9,287.595,287.735,142358.7,143132.4,323.180,323.029,1.4148,1.1237,1.1227,0.8496,,
20000,16.191,100623.0,100795.1,287.595,287.736,146338.9,146923.8,325.226,325.075,1.4543,1.1308,1.1298,0.8704,,
20000,16.007,100623.6,100800.8,287.595,287.741,150885.9,151434.6,327.902,327.732,1.4995,1.1402,1.1390,0.8830,,
20000,15.997,100623.6,100801.1,287.595,287.741,151002.6,151549.0,327.973,327.802,1.5007,1.1404,1.1392,0.8832,,
20000,15.664,100624.4,100812.0,287.596,287.750,154275.8,154785.5,330.364,330.172,1.5332,1.1487,1.1474,0.8809,,
20000,15.295,100626.4,100826.1,287.595,287.760,156871.9,157440.9,332.506,332.326,1.5590,1.1562,1.1549,0.8734,,
20000,14.811,100628.2,100846.2,287.594,287.774,158520.2,159678.9,334.946,334.686,1.5753,1.1646,1.1630,0.8505,,
20000,14.792,100628.4,100847.2,287.594,287.775,158551.4,159743.6,335.036,334.768,1.5756,1.1650,1.1633,0.8494,,
20000,14.772,100628.4,100848.0,287.594,287.776,158584.4,159814.5,335.136,334.858,1.5759,1.1653,1.1636,0.8482,,
20000,14.688,100629.1,100852.1,287.595,287.779,158583.9,160039.9,335.559,335.202,1.5759,1.1668,1.1648,0.8421,,
