Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.997,0.1139,-0.1657,0,89.996,-1.63,149778,1.4885
15.997,0.1139,-0.1657,0.00003947,88.788,-1.971,148557,1.4764
15.997,0.1139,-0.1657,0.000088338,87.11,-1.874,147304,1.4639
15.997,0.1139,-0.1657,0.00014876,85.257,-1.824,146251,1.4534
15.997,0.1139,-0.1657,0.00022389,83.289,-1.758,145445,1.4454
15.997,0.114,-0.1657,0.00031665,81.296,-1.669,144912,1.4401
15.997,0.114,-0.1657,0.00043172,79.294,-1.558,144620,1.4372
15.997,0.114,-0.1657,0.00057404,77.259,-1.42,144538,1.4364
15.997,0.114,-0.1657,0.00075043,75.13,-1.249,144653,1.4376
15.997,0.114,-0.1657,0.00096884,72.869,-1.042,144968,1.4407
15.997,0.114,-0.1657,0.0012395,70.46,-0.801,145496,1.4459
15.997,0.114,-0.1657,0.0015744,67.932,-0.529,146246,1.4534
15.997,0.1141,-0.1657,0.0019893,65.348,-0.23,147213,1.463
15.997,0.1141,-0.1657,0.0025032,62.791,0.089,148370,1.4745
15.997,0.1142,-0.1657,0.0031395,60.339,0.42,149657,1.4873
15.997,0.1142,-0.1657,0.0039276,58.036,0.76,151004,1.5007
15.997,0.1143,-0.1657,0.0049037,55.9,1.106,152344,1.514
15.997,0.1144,-0.1657,0.0061124,53.92,1.457,153622,1.5267
15.997,0.1145,-0.1657,0.0076096,52.095,1.816,154790,1.5383
15.997,0.1146,-0.1657,0.0094637,50.468,2.183,155801,1.5484
15.997,0.1148,-0.1658,0.011761,49.026,2.553,156615,1.5564
15.997,0.115,-0.1658,0.014605,47.64,2.922,157209,1.5623
15.997,0.1153,-0.1658,0.018128,46.17,3.279,157596,1.5662
15.997,0.1154,-0.1658,0.019807,45.565,3.412,157691,1.5671
15.997,0.1156,-0.1658,0.022492,44.595,3.62,157844,1.5687
15.997,0.1161,-0.1658,0.027898,43.046,3.947,158037,1.5706
15.997,0.1166,-0.1659,0.034592,41.756,4.264,158188,1.5721
15.997,0.1172,-0.1659,0.042883,40.91,4.584,158241,1.5726
15.997,0.118,-0.166,0.053153,40.523,4.916,158180,1.572
15.997,0.1189,-0.166,0.065872,40.458,5.219,157991,1.5701
15.997,0.1189,-0.166,0.065981,40.459,5.221,157988,1.5701
15.997,0.1199,-0.1661,0.078392,40.519,5.462,157610,1.5663
15.997,0.1209,-0.1662,0.09134,40.566,5.656,157068,1.5609
15.997,0.1219,-0.1663,0.10473,40.528,5.795,156474,1.555
15.997,0.1229,-0.1663,0.11858,40.394,5.889,155893,1.5493
