Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.997,0.1201,-0.088,0,130634,330.31,1.2982,1.1485
15.997,0.1201,-0.088,0.000043157,130787,330.49,1.2998,1.1491
15.997,0.1201,-0.088,0.00009356,131225,330.6,1.3041,1.1495
15.997,0.1201,-0.088,0.00015259,131925,330.72,1.3111,1.15
15.997,0.1201,-0.088,0.00022165,132796,330.85,1.3197,1.1504
15.997,0.1201,-0.088,0.00030231,133724,330.96,1.329,1.1508
15.997,0.1201,-0.088,0.00039683,134639,331.04,1.338,1.1511
15.997,0.1201,-0.088,0.00050733,135506,331.1,1.3467,1.1513
15.997,0.1201,-0.088,0.00063648,136322,331.14,1.3548,1.1514
15.997,0.1201,-0.088,0.00078748,137094,331.16,1.3624,1.1515
15.997,0.1201,-0.088,0.00096416,137835,331.18,1.3698,1.1515
15.997,0.1202,-0.088,0.0011709,138558,331.18,1.377,1.1516
15.997,0.1202,-0.088,0.0014127,139270,331.18,1.3841,1.1515
15.997,0.1202,-0.088,0.0016954,139973,331.17,1.3911,1.1515
15.997,0.1202,-0.088,0.0020261,140671,331.16,1.398,1.1515
15.997,0.1202,-0.088,0.0024129,141365,331.14,1.4049,1.1514
15.997,0.1203,-0.088,0.0028653,142055,331.11,1.4117,1.1513
15.997,0.1203,-0.088,0.0033945,142743,331.08,1.4186,1.1512
15.997,0.1204,-0.088,0.0040134,143433,331.05,1.4254,1.1511
15.997,0.1204,-0.088,0.0047375,144126,331,1.4323,1.1509
15.997,0.1205,-0.088,0.0055842,144829,330.94,1.4393,1.1507
15.997,0.1205,-0.088,0.0065748,145546,330.87,1.4464,1.1505
15.997,0.1206,-0.088,0.0077333,146284,330.79,1.4538,1.1502
15.997,0.1207,-0.088,0.0090883,147050,330.68,1.4614,1.1498
15.997,0.1208,-0.088,0.010674,147856,330.55,1.4694,1.1494
15.997,0.121,-0.088,0.012528,148706,330.4,1.4778,1.1488
15.997,0.1211,-0.088,0.014696,149598,330.22,1.4867,1.1482
15.997,0.1213,-0.088,0.017234,150524,330.01,1.4959,1.1475
15.997,0.1215,-0.088,0.020202,151449,329.78,1.5051,1.1467
15.997,0.1217,-0.088,0.023142,152324,329.53,1.5138,1.1458
15.997,0.1219,-0.088,0.026349,153128,329.28,1.5218,1.145
15.997,0.1222,-0.088,0.029847,153849,329.02,1.529,1.1441
15.997,0.1224,-0.088,0.033664,154483,328.77,1.5353,1.1432
15.997,0.1227,-0.088,0.037828,155017,328.51,1.5406,1.1423
15.997,0.123,-0.088,0.04237,155436,328.27,1.5447,1.1414
15.997,0.1234,-0.088,0.047326,155728,328.04,1.5476,1.1406
15.997,0.1235,-0.088,0.048829,155772,327.98,1.5481,1.1404
15.997,0.1238,-0.088,0.052733,155887,327.83,1.5492,1.1399
15.997,0.1242,-0.088,0.058631,155925,327.65,1.5496,1.1393
15.997,0.1246,-0.088,0.065067,155864,327.5,1.549,1.1387
15.997,0.1251,-0.088,0.072088,155729,327.36,1.5476,1.1383
15.997,0.1257,-0.088,0.079748,155539,327.24,1.5458,1.1379
15.997,0.1262,-0.088,0.088105,155304,327.12,1.5434,1.1374
15.997,0.1269,-0.088,0.097223,155025,327,1.5406,1.137
15.997,0.1276,-0.088,0.10717,154701,326.87,1.5374,1.1366
15.997,0.1283,-0.088,0.11802,154340,326.73,1.5338,1.1361
15.997,0.1292,-0.088,0.12986,153957,326.57,1.53,1.1355
15.997,0.1301,-0.088,0.14277,153572,326.4,1.5262,1.1349
15.997,0.131,-0.088,0.15686,153202,326.23,1.5225,1.1344
15.997,0.1321,-0.088,0.17223,152867,326.07,1.5192,1.1338
15.997,0.1333,-0.088,0.18899,152575,325.92,1.5163,1.1333
15.997,0.1345,-0.088,0.20575,152330,325.78,1.5139,1.1328
15.997,0.1356,-0.088,0.22252,152133,325.67,1.5119,1.1324
15.997,0.1368,-0.088,0.23928,151981,325.58,1.5104,1.1321
15.997,0.138,-0.088,0.25603,151870,325.51,1.5093,1.1319
15.997,0.1392,-0.088,0.27279,151790,325.46,1.5085,1.1317
15.997,0.1403,-0.088,0.28955,151733,325.42,1.5079,1.1315
15.997,0.1415,-0.088,0.3063,151687,325.38,1.5075,1.1314
15.997,0.1427,-0.088,0.32306,151645,325.35,1.507,1.1313
15.997,0.1438,-0.088,0.33981,151603,325.33,1.5066,1.1312
15.997,0.145,-0.088,0.35656,151560,325.31,1.5062,1.1311
15.997,0.1462,-0.088,0.37331,151519,325.29,1.5058,1.1311
15.997,0.1474,-0.088,0.39006,151483,325.28,1.5054,1.131
15.997,0.1485,-0.088,0.4068,151454,325.27,1.5052,1.131
15.997,0.1497,-0.088,0.42355,151435,325.27,1.505,1.131
15.997,0.1509,-0.088,0.4403,151424,325.28,1.5049,1.131
15.997,0.152,-0.088,0.45704,151420,325.29,1.5048,1.1311
15.997,0.1532,-0.088,0.47379,151420,325.31,1.5048,1.1311
15.997,0.1544,-0.088,0.49053,151422,325.33,1.5048,1.1312
15.997,0.1555,-0.088,0.50728,151425,325.36,1.5049,1.1313
15.997,0.1567,-0.088,0.52403,151428,325.39,1.5049,1.1314
15.997,0.1579,-0.088,0.54077,151428,325.43,1.5049,1.1316
15.997,0.1591,-0.088,0.55752,151425,325.48,1.5049,1.1317
15.997,0.1602,-0.088,0.57393,151418,325.54,1.5048,1.1319
15.997,0.1602,-0.088,0.57427,151418,325.54,1.5048,1.1319
15.997,0.1614,-0.088,0.59102,151406,325.61,1.5047,1.1322
15.997,0.1626,-0.088,0.60777,151394,325.69,1.5046,1.1325
15.997,0.1637,-0.088,0.62451,151389,325.79,1.5045,1.1328
15.997,0.1649,-0.088,0.64126,151395,325.91,1.5046,1.1332
15.997,0.1661,-0.088,0.658,151411,326.07,1.5047,1.1338
15.997,0.1673,-0.088,0.67474,151436,326.26,1.505,1.1344
15.997,0.1684,-0.088,0.69148,151468,326.51,1.5053,1.1353
15.997,0.1696,-0.088,0.70822,151516,326.81,1.5058,1.1364
15.997,0.1708,-0.088,0.72496,151606,327.19,1.5067,1.1377
15.997,0.1719,-0.088,0.7417,151773,327.62,1.5083,1.1392
15.997,0.1731,-0.088,0.75843,152000,328.14,1.5106,1.141
15.997,0.1743,-0.088,0.77516,152256,328.73,1.5131,1.143
15.997,0.1754,-0.088,0.79189,152492,329.39,1.5155,1.1453
15.997,0.1758,-0.088,0.7967,152543,329.61,1.516,1.1461
15.997,0.1766,-0.088,0.80862,152671,330.13,1.5173,1.1479
15.997,0.1778,-0.088,0.82534,152785,330.91,1.5184,1.1506
15.997,0.179,-0.088,0.84205,152803,331.69,1.5186,1.1533
15.997,0.18,-0.088,0.85722,152690,332.43,1.5174,1.1559
15.997,0.181,-0.088,0.871,152417,333.07,1.5147,1.1581
15.997,0.1819,-0.088,0.8835,151981,333.6,1.5104,1.16
15.997,0.1826,-0.088,0.89485,151399,334.01,1.5046,1.1614
15.997,0.1834,-0.088,0.90516,150710,334.3,1.4978,1.1624
15.997,0.184,-0.088,0.91442,149963,334.5,1.4903,1.1631
15.997,0.184,-0.088,0.91451,149956,334.5,1.4903,1.1631
15.997,0.1846,-0.088,0.923,149173,334.63,1.4825,1.1635
15.997,0.1852,-0.088,0.93071,148394,334.71,1.4747,1.1638
15.997,0.1856,-0.088,0.9377,147647,334.75,1.4673,1.164
15.997,0.1861,-0.088,0.94406,146939,334.78,1.4603,1.1641
15.997,0.1865,-0.088,0.94982,146278,334.79,1.4537,1.1641
15.997,0.1869,-0.088,0.95506,145661,334.79,1.4476,1.1641
15.997,0.1872,-0.088,0.95981,145082,334.78,1.4418,1.1641
15.997,0.1875,-0.088,0.96412,144534,334.77,1.4364,1.164
15.997,0.1878,-0.088,0.96804,144013,334.75,1.4312,1.164
15.997,0.188,-0.088,0.9716,143520,334.73,1.4263,1.1639
15.997,0.1882,-0.088,0.97482,143055,334.71,1.4217,1.1638
15.997,0.1884,-0.088,0.97775,142617,334.69,1.4173,1.1638
15.997,0.1886,-0.088,0.98042,142202,334.68,1.4132,1.1637
15.997,0.1888,-0.088,0.98283,141795,334.66,1.4092,1.1636
15.997,0.189,-0.088,0.98526,141405,334.64,1.4053,1.1636
15.997,0.1891,-0.088,0.98734,141034,334.62,1.4016,1.1635
15.997,0.1892,-0.088,0.98914,140682,334.61,1.3981,1.1635
15.997,0.1893,-0.088,0.98968,140564,334.61,1.3969,1.1635
15.997,0.1893,-0.088,0.99068,140345,334.6,1.3947,1.1634
15.997,0.1894,-0.088,0.99202,140016,334.59,1.3915,1.1634
15.997,0.1895,-0.088,0.99316,139691,334.58,1.3883,1.1634
15.997,0.1896,-0.088,0.99415,139365,334.57,1.385,1.1633
15.997,0.1897,-0.088,0.995,139033,334.56,1.3817,1.1633
15.997,0.1897,-0.088,0.99573,138691,334.55,1.3783,1.1633
15.997,0.1897,-0.088,0.99636,138340,334.54,1.3748,1.1632
15.997,0.1898,-0.088,0.9969,137976,334.53,1.3712,1.1632
15.997,0.1898,-0.088,0.99737,137598,334.52,1.3675,1.1632
15.997,0.1898,-0.088,0.99777,137207,334.51,1.3636,1.1631
15.997,0.1899,-0.088,0.99812,136801,334.5,1.3595,1.1631
15.997,0.1899,-0.088,0.99842,136380,334.49,1.3553,1.1631
15.997,0.1899,-0.088,0.99867,135943,334.48,1.351,1.163
15.997,0.1899,-0.088,0.9989,135489,334.47,1.3465,1.163
15.997,0.1899,-0.088,0.99909,135013,334.45,1.3418,1.1629
15.997,0.1899,-0.088,0.99925,134512,334.42,1.3368,1.1628
15.997,0.19,-0.088,0.99939,133980,334.39,1.3315,1.1627
15.997,0.19,-0.088,0.99951,133411,334.35,1.3258,1.1626
15.997,0.19,-0.088,0.99962,132807,334.29,1.3198,1.1624
15.997,0.19,-0.088,0.99971,132180,334.22,1.3136,1.1621
15.997,0.19,-0.088,0.99978,131563,334.14,1.3075,1.1618
