Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.263,100615.5,100781.9,287.592,287.728,128182.0,131089.0,318.114,318.056,1.2740 ,1.1061 ,1.1054 ,0.6796 
20000,16.247,100615.6,100782.3,287.592,287.728,135995.7,137294.9,320.279,320.221,1.3516 ,1.1137 ,1.1129 ,0.7961 
20000,16.046,100616.1,100788.3,287.591,287.733,149689.5,150205.0,327.210,327.035,1.4877 ,1.1378 ,1.1366 ,0.8799 
20000,16.018,100616.3,100789.2,287.592,287.734,150029.4,150540.2,327.441,327.262,1.4911 ,1.1386 ,1.1374 ,0.8802 
20000,16.006,100616.4,100789.6,287.592,287.734,150169.4,150678.0,327.537,327.356,1.4925 ,1.1389 ,1.1377 ,0.8803 
20000,15.988,100616.4,100790.1,287.592,287.734,150378.6,150883.6,327.682,327.498,1.4946 ,1.1394 ,1.1382 ,0.8804 
20000,15.982,100616.4,100790.3,287.592,287.734,150448.2,150952.0,327.730,327.545,1.4953 ,1.1396 ,1.1384 ,0.8804 
20000,15.891,100616.7,100793.2,287.592,287.737,151412.4,151897.2,328.412,328.215,1.5048 ,1.1419 ,1.1407 ,0.8804 
20000,15.489,100617.8,100806.3,287.591,287.747,154733.7,155169.6,330.951,330.725,1.5378 ,1.1508 ,1.1494 ,0.8760 
20000,14.811,100620.5,100832.7,287.590,287.767,157386.7,158357.8,334.357,333.982,1.5642 ,1.1626 ,1.1606 ,0.8490 
20000,14.774,100620.6,100834.2,287.590,287.768,157300.1,158391.7,334.527,334.107,1.5633 ,1.1632 ,1.1610 ,0.8456 
20000,14.750,100620.7,100835.3,287.590,287.769,157260.5,158428.1,334.640,334.193,1.5629 ,1.1636 ,1.1613 ,0.8435 
20000,14.682,100621.2,100838.3,287.591,287.771,157085.0,158524.8,334.991,334.443,1.5612 ,1.1648 ,1.1622 ,0.8368 
20000,14.662,100621.9,100839.4,287.591,287.772,157334.1,158700.0,335.053,334.541,1.5636 ,1.1650 ,1.1625 ,0.8382 
