Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.006,0.11392931,-0.16569507,0,89.992569,-1.773465712,149426.45,1.48511028
16.006,0.1139323,-0.16569528,3.93728E-05,88.76815,-2.01483249,148289.92,1.473814607
16.006,0.11393689,-0.16569561,9.97128E-05,86.684113,-1.852212857,146963.67,1.460633356
16.006,0.1139439,-0.1656961,0.000191782,84.227646,-1.754922727,145961.44,1.450672455
16.006,0.1139546,-0.16569684,0.000332525,81.429588,-1.608439459,145339.61,1.44449225
16.006,0.11397096,-0.16569798,0.000547502,78.253433,-1.395527602,145129.97,1.442408693
16.006,0.11399594,-0.16569972,0.000875905,74.607811,-1.102077528,145363.17,1.444726406
16.006,0.11403412,-0.16570239,0.001377769,70.44162,-0.70522239,146128.36,1.452331429
16.006,0.11409245,-0.16570646,0.002144564,65.858765,-0.197298322,147499.89,1.465962706
16.006,0.11418155,-0.16571267,0.003315862,61.224072,0.411538905,149434.56,1.485190883
16.006,0.11431768,-0.16572218,0.005105388,57.012131,1.08944977,151689.75,1.507604625
16.006,0.11452571,-0.16573668,0.007840043,53.275089,1.791368742,153866.75,1.529241257
16.006,0.11484361,-0.16575883,0.012019156,49.922306,2.496407421,155551.98,1.545990316
16.006,0.11508072,-0.16577537,0.015136094,48.405819,2.851685108,156007.14,1.550514032
16.006,0.11532953,-0.16579273,0.018406805,46.806404,3.204392053,156488.13,1.555294465
16.006,0.11607206,-0.1658445,0.028167872,43.964725,3.928964977,156792.27,1.558317233
16.006,0.11720655,-0.16592363,0.043081541,41.66967,4.703021973,156904.25,1.559430172
16.006,0.11894006,-0.16604452,0.065869614,40.171661,5.364625817,156891.84,1.559306833
16.006,0.12010448,-0.16612571,0.081176706,39.658482,5.645719439,156598.72,1.55639359
16.006,0.12064655,-0.16616352,0.088302635,39.421368,5.777278405,156461.98,1.555034567
16.006,0.12239449,-0.16628541,0.1112804,39.194077,6.018641902,155659.39,1.547057836
16.006,0.12418495,-0.16641027,0.13481724,39.174618,6.136850931,154804.75,1.538563793
16.006,0.12601914,-0.16653818,0.15892881,39.111294,6.169864566,154106.58,1.531624864
16.006,0.12789822,-0.16666923,0.1836306,38.899818,6.156867027,153602,1.526609976
16.006,0.12982348,-0.16680349,0.20893942,38.556301,6.118339021,153258.86,1.523199598
16.006,0.13179615,-0.16694106,0.23487154,38.141724,6.058710899,153024.84,1.520873734
16.006,0.13381755,-0.16708203,0.26144424,37.707302,5.97652204,152848.73,1.519123423
16.006,0.13588902,-0.16722648,0.28867507,37.274956,5.870368251,152691.22,1.517557973
16.006,0.13801193,-0.16737454,0.31658214,36.84079,5.7396845,152535.53,1.516010611
16.006,0.14018767,-0.16752626,0.34518361,36.393749,5.58802339,152384.94,1.514513936
16.006,0.14241764,-0.16768175,0.3744981,35.92305,5.418539754,152251.02,1.51318294
16.006,0.14470363,-0.16784118,0.40454894,35.42432,5.234868588,152145.53,1.512134503
16.006,0.14704734,-0.16800463,0.43535864,34.900543,5.039805703,152074.28,1.511426368
16.006,0.14945051,-0.16817221,0.46694988,34.362953,4.835023522,152035.09,1.511036869
16.006,0.15191497,-0.16834408,0.49934685,33.828175,4.622229035,152014.44,1.510831634
16.006,0.15437965,-0.16851597,0.53174675,33.318455,4.407129082,151984.3,1.51053208
16.006,0.15684454,-0.16868785,0.56414938,32.872398,4.197754853,151921.69,1.509909816
16.006,0.1593097,-0.16885976,0.59655553,32.526737,3.997152845,151819.84,1.508897555
16.006,0.1597345,-0.16888939,0.60213983,32.48613,3.963208105,151797.45,1.508675027
16.006,0.1617744,-0.16903165,0.6289556,32.291199,3.799485416,151690.03,1.507607408
16.006,0.16423917,-0.16920353,0.66135669,32.154858,3.588780025,151593.13,1.506644344
16.006,0.16670458,-0.16937546,0.69376612,32.138756,3.350917825,151646.61,1.507175868
16.006,0.16917065,-0.16954744,0.72618425,32.349308,3.087763617,151953.81,1.510229048
16.006,0.17163745,-0.16971947,0.75861192,32.958473,2.832400428,152532.03,1.515975825
16.006,0.17410517,-0.16989155,0.79105181,34.075516,2.652529148,153240.94,1.523021496
16.006,0.1765739,-0.17006372,0.82350498,35.646214,2.603709956,153715.28,1.527735836
16.006,0.17904386,-0.17023596,0.8559742,37.527203,2.6448979,153503.77,1.525633694
16.006,0.18151514,-0.17040831,0.88846093,39.624237,2.626171078,152371.97,1.514385031
16.006,0.18398781,-0.17058073,0.92096579,41.849384,2.436563747,150382.25,1.494609726
16.006,0.18567221,-0.1706982,0.94310832,44.144665,2.198438091,147745.13,1.468400082
16.006,0.18681945,-0.1707782,0.95818955,46.600258,2.06099367,144925.63,1.440377811
16.006,0.18760081,-0.17083269,0.96846104,49.263878,1.985135916,142468.77,1.415959724
16.006,0.18813297,-0.17086981,0.97545677,51.935303,1.915090413,140607.34,1.39745946
16.006,0.18849544,-0.17089508,0.98022169,54.307293,1.824116911,139318.2,1.384647036
16.006,0.18874234,-0.17091231,0.98346734,56.180592,1.712302962,138468.86,1.376205668
16.006,0.18891051,-0.17092404,0.98567814,57.531013,1.59795816,137917.55,1.370726343
16.006,0.18902509,-0.17093201,0.98718423,58.448929,1.496517327,137556.83,1.367141241
16.006,0.18910316,-0.17093748,0.98821056,59.056839,1.415058395,137316.23,1.364749981
16.006,0.18915635,-0.17094117,0.98890984,59.458469,1.353942082,137152.64,1.363124103
16.006,0.18919259,-0.17094371,0.98938626,59.725548,1.309943833,137040.16,1.362006194
16.006,0.1892173,-0.17094544,0.98971105,59.904533,1.278846394,136962.53,1.36123465
16.006,0.18923414,-0.1709466,0.9899323,60.025383,1.257205655,136909.36,1.360706207
16.006,0.1892456,-0.1709474,0.99008298,60.106918,1.242808185,136873.44,1.360349207
16.006,0.18925343,-0.17094795,0.99018604,60.167328,1.232635067,136846.23,1.360078774
16.006,0.18926135,-0.17094849,0.99029005,60.226398,1.222344124,136818.25,1.359800689
16.006,0.18927224,-0.17094925,0.99043328,60.302532,1.208123667,136782.59,1.359446273
16.006,0.18928726,-0.17095031,0.99063075,60.407249,1.187972623,136733.16,1.358955001
16.006,0.18930796,-0.17095174,0.99090284,60.551155,1.159848226,136663.45,1.358262172
16.006,0.18933648,-0.17095374,0.99127775,60.749184,1.120383979,136563.53,1.357269093
16.006,0.18937576,-0.17095648,0.99179411,61.018917,1.064623492,136418.31,1.35582579
16.006,0.18942991,-0.17096026,0.99250597,61.375587,0.979891767,136204.34,1.353699198
16.006,0.18950452,-0.17096545,0.99348676,61.801357,0.864006965,135912.31,1.350796789
16.006,0.18957914,-0.17097066,0.99446774,62.250832,0.739045623,135531.72,1.347014204
16.006,0.18965374,-0.17097586,0.99544829,62.693588,0.613471095,135025.22,1.341980234
16.006,0.18972835,-0.17098106,0.99642909,63.115032,0.483388327,134329.28,1.335063469
16.006,0.18980296,-0.17098628,0.99740982,63.497242,0.342683906,133356.72,1.32539745
16.006,0.18987757,-0.17099147,0.99839061,63.811249,0.203627576,132076.23,1.312670996
16.006,0.18992464,-0.17099476,0.99900937,64.037086,0.109016885,130531.66,1.29731992
16.006,0.18995433,-0.17099683,0.9993996,64.18338,0.057926804,128814.99,1.280258387
16.006,0.18997307,-0.17099813,0.99964601,64.271637,0.028870965,127065.48,1.262870466
16.006,0.18998487,-0.17099896,0.99980116,64.321152,0.007383589,125485.26,1.247165074
16.006,0.18999234,-0.17099947,0.99989927,64.346748,9.39482E-05,124298.92,1.235374352
16.006,0.18999703,-0.1709998,0.99996102,64.356583,0.15681926,123624.13,1.228667792
16.006,0.19,-0.171,1,0.67001581,-1.314531276,123484.16,1.227276667
14.774,0.11392931,-0.16569507,0,89.992546,-1.801929973,158058.7,1.570838377
14.774,0.1139323,-0.16569528,3.93728E-05,88.79451,-1.983166853,156925.17,1.55957299
14.774,0.11393689,-0.16569561,9.97128E-05,86.695671,-1.849195864,155754.81,1.547941575
14.774,0.1139439,-0.1656961,0.000191782,84.247078,-1.7640243,154899.58,1.539442023
14.774,0.1139546,-0.16569684,0.000332525,81.503105,-1.634325471,154422.66,1.534702238
14.774,0.11397096,-0.16569798,0.000547502,78.426598,-1.443527861,154346.88,1.533949112
14.774,0.11399594,-0.16569972,0.000875905,74.981071,-1.177873987,154699.48,1.537453364
14.774,0.11403412,-0.16570239,0.001377769,71.098099,-0.81827536,155530.33,1.54571062
14.774,0.11409245,-0.16570646,0.002144564,66.899307,-0.356080529,156881.52,1.559139182
14.774,0.11418155,-0.16571267,0.003315862,62.681915,0.202044643,158672.3,1.576936532
14.774,0.11431768,-0.16572218,0.005105388,58.939072,0.836439562,160629.41,1.596386923
14.774,0.11452571,-0.16573668,0.007840043,55.773159,1.504791965,162367.5,1.613660622
14.774,0.11484361,-0.16575883,0.012019156,53.059689,2.199259087,163532.63,1.62524006
14.774,0.11508072,-0.16577537,0.015136094,51.914761,2.556887882,163716.41,1.627066525
14.774,0.11532953,-0.16579273,0.018406805,50.705994,2.917862479,163912.22,1.629012548
14.774,0.11607206,-0.1658445,0.028167872,48.673347,3.670586595,163662,1.626525781
14.774,0.11720655,-0.16592363,0.043081541,47.051472,4.498264179,163330.56,1.623231823
14.774,0.11894006,-0.16604452,0.065869614,45.955193,5.233954049,163128.72,1.621225872
