Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.006,0.12008104,-0.088,0,129674.92,331.20804,1.288805006,1.151659434
16.006,0.12008405,-0.088,4.31569E-05,129832.27,331.29437,1.290368866,1.151959616
16.006,0.1200879,-0.088,9.8142E-05,130325.31,331.41272,1.295269062,1.152371137
16.006,0.12009281,-0.088,0.000168365,131121.36,331.54144,1.303180794,1.152818715
16.006,0.12009908,-0.088,0.000257982,132114.22,331.66571,1.313048569,1.153250821
16.006,0.12010705,-0.088,0.000372108,133174.83,331.7677,1.323589693,1.153605455
16.006,0.12011724,-0.088,0.000517776,134231.63,331.84018,1.334092951,1.153857479
16.006,0.12013023,-0.088,0.000703617,135263.44,331.88516,1.34434784,1.154013881
16.006,0.1201468,-0.088,0.000940607,136267.23,331.90717,1.354324245,1.154090413
16.006,0.12016793,-0.088,0.001242812,137260.58,331.91095,1.36419689,1.154103556
16.006,0.1201949,-0.088,0.001628453,138255.7,331.89951,1.374087127,1.154063778
16.006,0.12022928,-0.088,0.002120229,139265.59,331.87357,1.384124159,1.153973581
16.006,0.12027314,-0.088,0.002747549,140294.77,331.83221,1.394352909,1.153829766
16.006,0.1203291,-0.088,0.003547816,141350.34,331.77234,1.404843942,1.153621589
16.006,0.12040047,-0.088,0.004568663,142433.92,331.68945,1.415613359,1.153333368
16.006,0.12049151,-0.088,0.005870722,143561.5,331.57614,1.426820081,1.152939372
16.006,0.12060765,-0.088,0.007531782,144745.39,331.42319,1.438586453,1.152407543
16.006,0.12075581,-0.088,0.009650732,145999.61,331.21982,1.451051817,1.151700395
16.006,0.12094481,-0.088,0.012353845,147329.33,330.95642,1.464267555,1.150784514
16.006,0.12118591,-0.088,0.01580224,148720.34,330.6279,1.478092438,1.149642201
16.006,0.12149356,-0.088,0.020202324,150116.63,330.23828,1.491969798,1.148287435
16.006,0.12179826,-0.088,0.024560209,151435.28,329.80203,1.505075515,1.146770529
16.006,0.12213852,-0.088,0.029426709,152610.27,329.33078,1.516753432,1.145131923
16.006,0.12251858,-0.088,0.034862451,153594.94,328.83914,1.526539809,1.143422418
16.006,0.12294301,-0.088,0.04093276,154345.5,328.3432,1.533999428,1.141697961
16.006,0.12341706,-0.088,0.047712654,154833.19,327.86499,1.53884645,1.140035154
16.006,0.1239465,-0.088,0.05528482,155065.25,327.42224,1.541152834,1.138495647
16.006,0.12453783,-0.088,0.063742183,155079,327.03067,1.541289492,1.1371341
16.006,0.12519827,-0.088,0.073188111,154927.53,326.69867,1.539784071,1.135979687
16.006,0.12593593,-0.088,0.083738208,154667.83,326.42651,1.537202981,1.135033346
16.006,0.1267598,-0.088,0.09552142,154336.17,326.20947,1.533906699,1.134278666
16.006,0.12767994,-0.088,0.10868161,153951.14,326.03827,1.530079987,1.133683378
16.006,0.12870757,-0.088,0.12337903,153532.95,325.90289,1.525923706,1.133212642
16.006,0.1298552,-0.088,0.13979271,153100.38,325.79291,1.521624507,1.132830225
16.006,0.13113676,-0.088,0.15812193,152680.66,325.6991,1.51745302,1.132504033
16.006,0.13256782,-0.088,0.17858937,152285.08,325.61273,1.513521454,1.132203712
16.006,0.13416564,-0.088,0.20144184,151926.25,325.52902,1.509955137,1.13191264
16.006,0.1359496,-0.088,0.22695641,151619.98,325.44699,1.506911199,1.13162741
16.006,0.13794115,-0.088,0.25544018,151374.8,325.36945,1.50447442,1.131357792
16.006,0.14016445,-0.088,0.28723836,151192.28,325.30222,1.502660401,1.131124023
16.006,0.1423873,-0.088,0.3190302,151061.16,325.25165,1.501357234,1.130948184
16.006,0.1446097,-0.088,0.35081559,150969.63,325.22287,1.500447541,1.130848111
16.006,0.14683163,-0.088,0.3825942,150906.63,325.21707,1.499821401,1.130827944
16.006,0.14905313,-0.088,0.41436663,150861.03,325.23053,1.499368194,1.130874746
16.006,0.15127449,-0.088,0.44613713,150816.81,325.25586,1.498928703,1.130962822
16.006,0.153496,-0.088,0.47790974,150762.7,325.28461,1.498390918,1.13106279
16.006,0.15571764,-0.088,0.50968432,150700.34,325.31165,1.497771139,1.131156812
16.006,0.15793943,-0.088,0.54146099,150640.91,325.3407,1.49718048,1.131257824
16.006,0.16016139,-0.088,0.57323998,150606.56,325.38818,1.496839084,1.131422919
16.006,0.16238333,-0.088,0.60501879,150618.81,325.48178,1.496960833,1.13174838
