Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.022,100581.6,100730.3,287.592,287.725,139291.2,140145.4,322.269,322.169,1.3849 ,1.1206 ,1.1197 ,0.8144 
20000,16.003,100581.8,100730.8,287.592,287.725,140052.4,140873.2,322.688,322.576,1.3924 ,1.1220 ,1.1211 ,0.8190 
20000,15.934,100582.2,100732.5,287.592,287.727,141907.9,142655.4,323.774,323.634,1.4109 ,1.1258 ,1.1248 ,0.8281 
20000,15.452,100585.8,100745.2,287.593,287.737,147772.8,148318.1,327.826,327.599,1.4691 ,1.1399 ,1.1385 ,0.8386 
20000,15.194,100587.8,100752.5,287.594,287.744,149726.4,150223.3,329.379,329.134,1.4885 ,1.1453 ,1.1438 ,0.8368 
20000,14.767,100591.8,100765.1,287.597,287.757,152233.6,152713.2,331.587,331.332,1.5134 ,1.1530 ,1.1514 ,0.8299 
20000,14.692,100592.4,100767.3,287.597,287.759,152594.3,153079.9,331.942,331.684,1.5170 ,1.1542 ,1.1526 ,0.8283 
20000,14.666,100592.7,100768.1,287.597,287.760,152712.8,153201.3,332.062,331.804,1.5181 ,1.1546 ,1.1531 ,0.8277 
20000,14.641,100593.2,100769.0,287.598,287.761,152849.6,153340.6,332.188,331.931,1.5195 ,1.1550 ,1.1535 ,0.8272 
20000,14.791,100591.6,100764.3,287.597,287.756,152111.6,152590.0,331.471,331.216,1.5122 ,1.1526 ,1.1510 ,0.8304 
20000,14.779,100591.6,100764.7,287.596,287.757,152172.8,152651.7,331.528,331.273,1.5128 ,1.1528 ,1.1512 ,0.8302 
20000,16.037,100581.5,100730.0,287.592,287.724,138523.5,139414.3,321.853,321.764,1.3772 ,1.1191 ,1.1183 ,0.8094 
20000,16.049,100581.5,100729.7,287.592,287.724,137751.8,138682.7,321.450,321.372,1.3696 ,1.1177 ,1.1169 ,0.8039 
20000,16.085,100581.2,100728.8,287.592,287.723,133871.2,135062.0,319.551,319.529,1.3310 ,1.1111 ,1.1105 ,0.7700 
20000,16.104,100581.1,100728.4,287.592,287.723,129997.3,131557.9,317.930,317.949,1.2925 ,1.1055 ,1.1051 ,0.7239 
20000,16.111,100581.1,100728.1,287.592,287.723,127669.3,129523.7,317.206,317.233,1.2693 ,1.1030 ,1.1026 ,0.6875 
