Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.003,0.11393008,-0.16569513,0,89.285622,-0.738035948,141672.88,1.408533949
16.003,0.11393309,-0.16569534,3.95E-05,87.74762,-1.454464608,140607.5,1.397941775
16.003,0.11394119,-0.16569591,0.000146034,81.184669,-1.332753699,138453.5,1.37652637
16.003,0.11396309,-0.16569743,0.000433885,73.405151,-1.166073601,137590.22,1.367943505
16.003,0.11402226,-0.16570157,0.00121177,64.839905,-0.749513675,138277.73,1.374778837
16.003,0.11418215,-0.16571273,0.003313655,56.164215,0.07440898,140448.81,1.396364054
16.003,0.11461418,-0.16574284,0.008993016,48.176964,1.583634007,143558.06,1.427276704
16.003,0.11578221,-0.16582429,0.02434767,41.450905,3.820618028,147351.69,1.464993567
16.003,0.11894001,-0.1660445,0.065859504,36.633018,5.550040218,150432.05,1.495618989
16.003,0.12204881,-0.1662613,0.10672718,33.646355,6.176112705,151116.92,1.502428073
16.003,0.12547101,-0.16649996,0.15171474,32.014156,6.308184945,149877.13,1.490101887
16.003,0.12923935,-0.16676275,0.20125259,31.228739,6.200582866,148082.5,1.472259395
16.003,0.13339019,-0.16705222,0.25581869,30.789486,5.964706811,146397.7,1.45550885
16.003,0.13796359,-0.16737115,0.31593975,30.393723,5.664369228,144924.47,1.440861766
16.003,0.14300378,-0.16772263,0.38219699,29.964878,5.311312664,143644.19,1.428133022
16.003,0.14856118,-0.16811019,0.45525351,29.521591,4.850777543,142623.89,1.41798904
16.003,0.1546931,-0.16853783,0.53586251,29.064964,4.222596039,142034.47,1.412128934
16.003,0.16082655,-0.16896553,0.61649162,28.706184,3.500371658,141845.05,1.410245691
16.003,0.16696237,-0.16939344,0.6971519,28.940289,2.905218794,141630.5,1.408112601
16.003,0.17310175,-0.16982158,0.77785903,30.592484,2.635150132,140717.84,1.399038792
16.003,0.17924626,-0.17025007,0.85863358,34.408203,2.57646294,138883.05,1.380797023
16.003,0.18222745,-0.17045797,0.89782363,37.149529,2.431238968,137771.13,1.36974214
16.003,0.18539768,-0.17067905,0.9394989,40.069172,2.258069957,136586.88,1.357968141
16.003,0.18776983,-0.17084448,0.97068268,46.166019,1.662665077,134215.98,1.334396282
16.003,0.18868428,-0.17090826,0.98270386,51.488472,1.287462795,132133.55,1.313692437
16.003,0.18903688,-0.17093284,0.98733896,55.404354,1.140595159,130728.74,1.299725596
16.003,0.18917286,-0.17094232,0.98912662,57.743706,1.065333878,129946.3,1.291946456
