Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.003,0.12008104,-0.088,0,117582.39,326.98071,1.169022527,1.136960381
16.003,0.12008405,-0.088,4.31569E-05,117770.91,327.01794,1.170896822,1.137089836
16.003,0.12009072,-0.088,0.000138528,118745.56,327.08356,1.180586945,1.137318006
16.003,0.12010544,-0.088,0.000348985,120556.45,327.12805,1.198591097,1.137472704
16.003,0.12013794,-0.088,0.000813907,123105.03,327.11401,1.223929478,1.137423885
16.003,0.12020976,-0.088,0.001841041,126256.16,327.00067,1.255258506,1.137029785
16.003,0.12036843,-0.088,0.004110348,130000.81,326.75577,1.292488402,1.136178232
16.003,0.12071896,-0.088,0.009123794,134254.64,326.36353,1.334780646,1.134814355
16.003,0.12149356,-0.088,0.020202328,138761.11,325.83487,1.379584676,1.132976126
16.003,0.12226098,-0.088,0.031178139,143078.63,325.20154,1.422510136,1.130773944
16.003,0.12322349,-0.088,0.044944227,146418.39,324.5563,1.455714553,1.128530349
16.003,0.12443077,-0.088,0.062211037,148311.56,323.98083,1.474536745,1.126529354
16.003,0.12594506,-0.088,0.083868869,148805.03,323.56409,1.479442901,1.125080287
16.003,0.12784438,-0.088,0.11103342,148222.72,323.33936,1.473653484,1.124298868
16.003,0.13022633,-0.088,0.14510073,146997.52,323.25781,1.461472354,1.124015306
16.003,0.13321277,-0.088,0.18781368,145523.75,323.2637,1.446819902,1.124035787
16.003,0.13695599,-0.088,0.24135019,144122.13,323.26413,1.432884776,1.124037282
16.003,0.14164647,-0.088,0.30843475,142861,323.16168,1.420346425,1.123681048
16.003,0.14633496,-0.088,0.37549075,141846.19,322.87906,1.410257025,1.122698337
16.003,0.15102167,-0.088,0.44252142,141132.73,322.39908,1.403163694,1.121029375
16.003,0.15570864,-0.088,0.5095557,140664.84,321.78336,1.398511858,1.118888425
16.003,0.16039629,-0.088,0.57659978,140293.5,321.16736,1.394819938,1.116746502
16.003,0.16508378,-0.088,0.64364147,139905.31,320.70581,1.390960492,1.115141624
16.003,0.16977021,-0.088,0.71066809,139476.53,320.51837,1.386697494,1.114489868
16.003,0.17445536,-0.088,0.77767634,139020.22,320.68222,1.382160789,1.115059598
16.003,0.17811075,-0.088,0.82995671,138569.52,321.1998,1.377679859,1.116859301
16.003,0.17983292,-0.088,0.85458767,138258.84,321.70087,1.374591029,1.118601595
16.003,0.18096229,-0.088,0.87074029,138054.28,322.02911,1.372557262,1.119742934
16.003,0.18318686,-0.088,0.90255666,137312.03,323.11267,1.365177696,1.123510633
16.003,0.18492226,-0.088,0.92737687,136175.8,324.35843,1.35388112,1.127842325
16.003,0.18627612,-0.088,0.94674015,134529.09,325.66385,1.337509271,1.132381464
16.003,0.18733239,-0.088,0.96184719,132430.84,326.91956,1.316648141,1.136747754
16.003,0.18815653,-0.088,0.97363424,130075.27,328.02606,1.293228695,1.140595218
16.003,0.18879959,-0.088,0.98283142,127657.3,328.9245,1.269188859,1.143719227
16.003,0.18944465,-0.088,0.9920572,125318.42,329.60345,1.245935348,1.146080037
16.003,0.1897438,-0.088,0.9963358,123175.39,330.08417,1.224629008,1.147751572
16.003,0.18988256,-0.088,0.9983204,121283.08,330.40012,1.205815366,1.148850177
16.003,0.18994692,-0.088,0.99924088,119657.77,330.59338,1.18965628,1.14952217
16.003,0.18997675,-0.088,0.99966753,118354.98,330.7019,1.176703738,1.14989951
16.003,0.18999061,-0.088,0.99986571,117459.32,330.758,1.167798946,1.150094578
16.003,0.18999703,-0.088,0.99995756,116993.06,330.78574,1.163163316,1.150191035
16.003,0.19,-0.088,1,116905.59,330.7724,1.162293675,1.150144649
14.767,0.12008104,-0.088,0,134979.97,331.21155,1.341858581,1.151651617
14.767,0.12008405,-0.088,4.31569E-05,135129.41,331.13367,1.343344189,1.151380821
14.767,0.12009072,-0.088,0.000138528,135907.97,331.17148,1.351083985,1.15151229
