Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,15.140,100637.0,100844.8,287.601,287.772,158314.8,158894.8,333.520,333.376,1.5731 ,1.1597 ,1.1585 ,0.8721 
20000,14.898,100634.3,100852.1,287.598,287.777,158998.2,159857.3,334.690,334.509,1.5800 ,1.1637 ,1.1624 ,0.8597 
20000,14.988,100634.0,100848.2,287.598,287.774,158800.1,159532.8,334.273,334.109,1.5780 ,1.1623 ,1.1610 ,0.8646 
20000,14.760,100635.1,100858.6,287.598,287.782,159169.2,160244.7,335.271,335.055,1.5816 ,1.1658 ,1.1643 ,0.8520 
20000,14.693,100635.0,100861.5,287.597,287.785,159329.4,160491.4,335.590,335.355,1.5832 ,1.1669 ,1.1653 ,0.8487 
20000,14.796,100634.5,100856.6,287.597,287.781,159155.1,160178.0,335.151,334.944,1.5815 ,1.1653 ,1.1639 ,0.8538 
20000,16.246,100627.1,100800.1,287.597,287.739,135963.7,137257.5,320.056,320.026,1.3512 ,1.1129 ,1.1122 ,0.8002 
20000,16.236,100627.8,100801.1,287.597,287.739,139959.7,140864.5,321.976,321.858,1.3909 ,1.1195 ,1.1186 ,0.8337 
20000,16.214,100628.4,100802.1,287.598,287.740,143949.9,144604.0,323.976,323.808,1.4305 ,1.1265 ,1.1253 ,0.8593 
20000,16.162,100630.2,100805.3,287.599,287.743,147889.3,148404.2,326.096,325.925,1.4696 ,1.1339 ,1.1327 ,0.8763 
20000,16.017,100630.3,100809.0,287.599,287.745,151713.9,152220.3,328.292,328.123,1.5076 ,1.1415 ,1.1403 ,0.8869 
20000,15.640,100629.9,100820.9,287.596,287.754,155100.5,155596.9,330.813,330.632,1.5413 ,1.1503 ,1.1490 ,0.8830 
