Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.017,0.11392894,-0.16569504,0,89.99720243,-1.724846207,149506.88,1.485699976
16.017,0.11393194,-0.16569528,3.95E-05,88.57132247,-1.904360309,148285.22,1.473559931
16.017,0.11393534,-0.1656955,8.41E-05,86.73555997,-1.843827985,147036.28,1.461148796
16.017,0.11393917,-0.16569577,0.00013459,84.78990416,-1.819143832,146005.84,1.450908968
16.017,0.11394351,-0.16569607,0.000191588,82.82654968,-1.785863448,145232.41,1.443223135
16.017,0.11394841,-0.16569641,0.000256035,80.95175729,-1.742099364,144716.17,1.438093085
16.017,0.11395394,-0.1656968,0.00032871,79.21292206,-1.691117956,144411.27,1.435063192
16.017,0.11396021,-0.16569723,0.000411075,77.59242552,-1.629963603,144260.69,1.433566828
16.017,0.11396728,-0.16569774,0.000504035,76.04955331,-1.556177122,144222.2,1.43318434
16.017,0.11397527,-0.16569827,0.000609108,74.53774688,-1.468367916,144272.13,1.433680511
16.017,0.11398431,-0.16569892,0.000727922,73.02286365,-1.366077109,144402.44,1.434975445
16.017,0.11399452,-0.16569963,0.000862106,71.48598458,-1.249529747,144611.31,1.437051056
16.017,0.11400606,-0.16570044,0.001013916,69.9137712,-1.119182563,144901.25,1.439932287
16.017,0.1140191,-0.16570134,0.001185315,68.31164943,-0.976602051,145272.95,1.443625994
16.017,0.11403384,-0.16570237,0.001379045,66.68678696,-0.8230607,145723.47,1.448102963
16.017,0.1140505,-0.16570354,0.001598045,65.06348866,-0.660550245,146247,1.453305456
16.017,0.11406933,-0.16570485,0.001845544,63.45935008,-0.490706903,146831.19,1.459110748
16.017,0.11409061,-0.16570634,0.002125273,61.89464244,-0.315440416,147463.11,1.465390348
16.017,0.11411466,-0.16570801,0.002441423,60.38288184,-0.136479327,148127.63,1.471993906
16.017,0.11414184,-0.1657099,0.002798714,58.94696366,0.044471191,148811.13,1.478786075
16.017,0.11417255,-0.16571204,0.003202436,57.59648495,0.226586748,149506.02,1.48569143
16.017,0.11420728,-0.16571446,0.003658938,56.3645174,0.408741123,150211.94,1.492706393
16.017,0.1142465,-0.1657172,0.00417461,55.30018929,0.590876627,150936.41,1.499905695
16.017,0.11429084,-0.16572028,0.004757457,54.46410922,0.773759021,151694.86,1.507442667
16.017,0.11434095,-0.16572379,0.005416127,53.78000448,0.959240414,152461.97,1.515065696
16.017,0.11439759,-0.16572773,0.006160781,53.14822913,1.151099939,153207.36,1.522472886
16.017,0.11446163,-0.1657322,0.007002599,52.51282009,1.355561644,153919.73,1.529551945
16.017,0.11453399,-0.16573724,0.007953807,51.83239661,1.583292447,154595.63,1.53626859
16.017,0.11460581,-0.16574226,0.008897983,51.17322184,1.816063907,155157.28,1.541849895
16.017,0.11461578,-0.16574296,0.009029034,51.08146151,1.848010013,155235.28,1.542625007
16.017,0.11470828,-0.1657494,0.010244976,50.26491586,2.150768179,155832.92,1.548563956
16.017,0.11481282,-0.1657567,0.011619215,49.41350573,2.474776274,156368.45,1.553885697
16.017,0.11493095,-0.16576493,0.01317208,48.56059618,2.807150553,156811.91,1.558292507
16.017,0.11506446,-0.16577424,0.014927208,47.71736101,3.132939173,157140.77,1.561560499
16.017,0.11521535,-0.16578476,0.016910639,46.85917508,3.444544448,157360.25,1.563741546
16.017,0.11538588,-0.16579667,0.019152453,45.95045256,3.738975845,157502.78,1.565157914
16.017,0.11557862,-0.16581009,0.021686109,44.97370162,4.017923065,157620.06,1.566323365
16.017,0.11579645,-0.16582529,0.024549657,43.95351359,4.282208171,157765.78,1.567771433
16.017,0.11604268,-0.16584246,0.02778645,42.96515452,4.526437121,157969.13,1.56979219
16.017,0.11632095,-0.16586186,0.031444494,42.11683149,4.74206101,158215.73,1.572242737
16.017,0.11663546,-0.16588379,0.035578936,41.500793,4.924808689,158449.28,1.574563602
16.017,0.11699092,-0.16590859,0.040251575,41.14604331,5.079442155,158602.78,1.576088983
16.017,0.11739264,-0.1659366,0.045532528,41.00781381,5.216629262,158641.11,1.576469881
16.017,0.11784673,-0.16596827,0.051501818,40.99829583,5.349588236,158579.09,1.575853567
16.017,0.11835999,-0.16600406,0.05824887,41.03277815,5.489786432,158464.19,1.574711768
16.017,0.11894006,-0.1660445,0.065874264,41.05584371,5.630011241,158313.19,1.57321123
16.017,0.11951106,-0.16608435,0.073380388,41.03973787,5.760632262,158095.45,1.571047475
16.017,0.12009809,-0.16612527,0.081097253,40.99239437,5.879438344,157807.41,1.568185125
16.017,0.12070154,-0.16616735,0.08902999,40.92893184,5.979913184,157476.95,1.564901233
16.017,0.12132191,-0.16621061,0.09718506,40.85843397,6.062198197,157123.08,1.561384708
16.017,0.12195972,-0.16625509,0.10556941,40.78287172,6.129060077,156758.58,1.557762549
16.017,0.12261539,-0.16630082,0.11418863,40.6981708,6.182959394,156391.31,1.554112864
16.017,0.12328951,-0.16634783,0.12305035,40.59772213,6.225824268,156026.55,1.550488122
16.017,0.12398256,-0.16639617,0.13216096,40.47662979,6.259175507,155669.73,1.546942282
16.017,0.12406076,-0.16640162,0.13318896,40.46086944,6.261906553,155632.2,1.546569334
16.017,0.1246951,-0.16644585,0.14152767,40.33322992,6.284166447,155328.03,1.543546695
16.017,0.12542774,-0.16649695,0.15115863,40.16992033,6.301430941,155009.38,1.540380163
16.017,0.12618095,-0.16654947,0.16106002,39.99231831,6.311725137,154722.05,1.537524868
16.017,0.12695542,-0.16660348,0.17124091,39.80738759,6.315955618,154474.06,1.535060508
16.017,0.12775169,-0.16665901,0.18170841,39.62108749,6.315002516,154272.25,1.533055055
16.017,0.12857045,-0.16671611,0.19247149,39.43684604,6.309598613,154120,1.531542096
16.017,0.12941231,-0.16677481,0.20353818,39.25477724,6.299906278,154015.5,1.530503644
16.017,0.13027793,-0.16683517,0.21491732,39.07202204,6.285479744,153950.78,1.5298605
16.017,0.13116804,-0.16689725,0.2266183,38.8847038,6.265357713,153912.94,1.529484471
16.017,0.1320833,-0.16696107,0.23864992,38.68977726,6.23822627,153886.84,1.529225106
16.017,0.13302445,-0.16702671,0.25102198,38.48608045,6.202762961,153859,1.528948451
16.017,0.13399227,-0.1670942,0.2637445,38.27449516,6.157999081,153820.14,1.528562286
16.017,0.13498747,-0.16716361,0.27682707,38.05722326,6.103478007,153766.06,1.528024875
16.017,0.1360109,-0.16723499,0.29028064,37.83702813,6.039234462,153697.16,1.527340193
16.017,0.13706334,-0.16730838,0.30411556,37.61649839,5.965685349,153617.28,1.526546398
16.017,0.13814563,-0.16738385,0.31834286,37.39763539,5.883517489,153532.19,1.525700831
16.017,0.13925862,-0.16746147,0.3329739,37.18208122,5.793871272,153448.47,1.524868877
16.017,0.14040326,-0.16754128,0.34802076,36.96994245,5.697800595,153372.39,1.524112844
16.017,0.14158043,-0.16762339,0.36349544,36.75952484,5.596040424,153308.59,1.523478842
16.017,0.14279114,-0.16770782,0.37941089,36.54836297,5.489136211,153260.05,1.522996484
16.017,0.14403635,-0.16779464,0.39578,36.3341203,5.377435013,153228.23,1.522680278
16.017,0.14531712,-0.16788396,0.41261646,36.11555065,5.261242389,153213.92,1.522538075
16.017,0.1466345,-0.16797583,0.42993423,35.88954974,5.141276991,153214.08,1.522539665
16.017,0.1479519,-0.16806771,0.44725221,35.65068478,5.020204686,153218.75,1.522586072
16.017,0.14926919,-0.16815957,0.46456882,35.39886238,4.900101562,153222.89,1.522627213
16.017,0.15058647,-0.16825144,0.48188525,35.13869714,4.780582976,153229.7,1.522694886
16.017,0.15190375,-0.16834331,0.49920166,34.87450516,4.661580019,153241.08,1.522807973
16.017,0.15322112,-0.16843516,0.51651919,34.61068273,4.543752743,153256.72,1.522963393
16.017,0.15453836,-0.16852702,0.53383523,34.35008319,4.427005425,153275.31,1.523148128
16.017,0.15457807,-0.16852979,0.53435725,34.34241988,4.423517272,153275.92,1.52315419
16.017,0.15585549,-0.16861887,0.55114967,34.09610647,4.31134283,153295.95,1.523353235
16.017,0.15717265,-0.16871074,0.56846452,33.85226537,4.196603287,153317.72,1.52356957
16.017,0.15848984,-0.16880259,0.58577973,33.62189623,4.082656779,153340.03,1.523791272
16.017,0.15980697,-0.16889445,0.60309422,33.4087502,3.970358069,153364.16,1.52403106
16.017,0.1611242,-0.16898629,0.62040997,33.21693138,3.860311173,153391.06,1.524298374
16.017,0.16244146,-0.16907816,0.63772619,33.05066361,3.750631185,153416.3,1.524549193
16.017,0.16375883,-0.16917004,0.65504378,32.91725325,3.641602563,153446.69,1.524851188
16.017,0.16507623,-0.1692619,0.67236179,32.81616287,3.535726309,153483.28,1.525214795
16.017,0.16639377,-0.16935378,0.68968171,32.76188028,3.433526889,153523.3,1.525612488
16.017,0.16771145,-0.16944568,0.70700336,32.76888125,3.336564328,153568.75,1.52606414
16.017,0.16902922,-0.16953757,0.72432625,32.85275883,3.245800554,153617.53,1.526548883
16.017,0.17034711,-0.16962948,0.74165064,33.02456252,3.160743095,153673.53,1.527105374
