Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.017,0.12008104,-0.088,0,131308.08,328.56146,1.304856291,1.142429077
16.017,0.12008412,-0.088,4.41E-05,131466.48,328.6058,1.306430369,1.14258325
16.017,0.12008739,-0.088,9.09E-05,131865.11,328.72528,1.310391701,1.142998689
16.017,0.12009087,-0.088,0.00014066,132438.42,328.85178,1.316088892,1.143438538
16.017,0.12009463,-0.088,0.000194472,133075.45,328.96786,1.322419291,1.143842155
16.017,0.12009869,-0.088,0.000252441,133685.88,329.05972,1.328485357,1.144161558
16.017,0.12010309,-0.088,0.000315418,134250.5,329.12793,1.334096192,1.144398729
16.017,0.12010783,-0.088,0.000383191,134764.34,329.17697,1.339202407,1.144569244
16.017,0.12011296,-0.088,0.000456611,135240.81,329.21298,1.343937263,1.144694453
16.017,0.12011849,-0.088,0.000535678,135689.14,329.24023,1.348392482,1.144789203
16.017,0.12012445,-0.088,0.000620927,136120.36,329.26193,1.352677673,1.144864655
16.017,0.12013089,-0.088,0.000712994,136542.64,329.28006,1.356874023,1.144927694
16.017,0.12013782,-0.088,0.000812096,136958.11,329.29562,1.3610027,1.144981798
16.017,0.1201453,-0.088,0.000919082,137367.45,329.30908,1.365070461,1.145028599
16.017,0.12015336,-0.088,0.00103438,137770.36,329.32074,1.369074325,1.145069141
16.017,0.12016207,-0.088,0.001158949,138167.05,329.33072,1.373016378,1.145103843
16.017,0.12017144,-0.088,0.001293002,138557.47,329.33917,1.376896124,1.145133224
16.017,0.12018157,-0.088,0.001437817,138942.55,329.34619,1.380722804,1.145157633
16.017,0.12019249,-0.088,0.001594035,139323.38,329.35184,1.384507251,1.145177278
16.017,0.12020427,-0.088,0.001762506,139699.53,329.35617,1.388245191,1.145192334
16.017,0.12021697,-0.088,0.001944085,140072.19,329.35931,1.391948449,1.145203252
16.017,0.12023067,-0.088,0.002140049,140440.97,329.36111,1.39561315,1.14520951
16.017,0.12024545,-0.088,0.002351465,140807.25,329.36166,1.399253008,1.145211423
16.017,0.12026139,-0.088,0.002579397,141169.56,329.36096,1.402853415,1.145208989
16.017,0.12027858,-0.088,0.002825338,141529.34,329.35876,1.40642868,1.145201339
16.017,0.12029713,-0.088,0.003090673,141886.66,329.35516,1.409979499,1.145188822
16.017,0.12031713,-0.088,0.003376681,142241.5,329.34995,1.413505674,1.145170706
16.017,0.12033871,-0.088,0.003685279,142594.33,329.34302,1.417011874,1.14514661
16.017,0.12036198,-0.088,0.004018173,142945.27,329.33429,1.420499293,1.145116256
16.017,0.12038709,-0.088,0.004377281,143295.25,329.32346,1.423977172,1.145078599
16.017,0.12041417,-0.088,0.004764521,143643.13,329.31052,1.427434182,1.145033606
16.017,0.12044337,-0.088,0.005182237,143990.81,329.29514,1.430889205,1.144980129
16.017,0.12047487,-0.088,0.005632774,144338.67,329.2771,1.434346017,1.144917402
16.017,0.12050886,-0.088,0.006118795,144687.14,329.25601,1.437808891,1.144844071
16.017,0.12054551,-0.088,0.006642965,145037.2,329.23166,1.441287564,1.144759405
16.017,0.12058505,-0.088,0.007208587,145389.91,329.20358,1.444792572,1.144661769
16.017,0.1206277,-0.088,0.007818538,145745.84,329.17151,1.448329579,1.144550259
16.017,0.1206737,-0.088,0.00847644,146106.59,329.13474,1.451914483,1.144422408
16.017,0.12072334,-0.088,0.009186344,146473.92,329.0928,1.455564775,1.14427658
16.017,0.12077685,-0.088,0.00995166,146847.77,329.04523,1.459279859,1.144111176
16.017,0.12083453,-0.088,0.010776649,147230.3,328.99142,1.463081199,1.143924075
16.017,0.12089676,-0.088,0.011666641,147624.78,328.93033,1.467001291,1.143711661
16.017,0.12096394,-0.088,0.012627494,148033.59,328.8613,1.471063785,1.143471639
16.017,0.1210366,-0.088,0.013666776,148460.25,328.78351,1.475303661,1.143201159
16.017,0.1211153,-0.088,0.014792372,148908.94,328.69629,1.479762457,1.142897889
16.017,0.1212005,-0.088,0.016010888,149382.7,328.59927,1.484470383,1.142560544
16.017,0.12129232,-0.088,0.017324137,149884.81,328.49246,1.489460033,1.142189159
16.017,0.12139037,-0.088,0.018726362,150418.69,328.37671,1.494765394,1.141786689
16.017,0.12149366,-0.088,0.020203713,150974.7,328.25363,1.500290668,1.141358732
16.017,0.12160144,-0.088,0.021745214,151536.28,328.1239,1.505871293,1.140907653
16.017,0.12171583,-0.088,0.023381233,152093.83,327.98819,1.511411871,1.14043578
16.017,0.12183891,-0.088,0.025141608,152642.81,327.84604,1.516867285,1.139941516
