Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.115663041,-0.165920188,0.025088803,47.26779595,6.10400173,155490.5762,1.534572674
16,0.11948924,-0.166116351,0.075092185,41.7744018,6.822446072,156506.0487,1.544594608
16,0.123311767,-0.166338395,0.125092069,41.55040523,7.235730868,156350.6919,1.543061356
16,0.127129235,-0.166604145,0.175038843,41.02108859,7.400820345,156029.3547,1.539890004
16,0.130945945,-0.166870672,0.225096431,40.27596687,7.314763842,155608.1587,1.535733123
16,0.134761964,-0.167137144,0.275064983,39.38236295,7.026741704,155196.0042,1.531665475
16,0.13857728,-0.167403567,0.325135273,38.47892114,6.629690941,154719.6632,1.526964355
16,0.14239188,-0.167669937,0.374994834,37.65953293,6.16630667,154268.6382,1.522513084
16,0.14620575,-0.167936256,0.425101403,36.87726292,5.735531377,153936.5988,1.519236109
16,0.150018874,-0.16820253,0.475122434,36.21072478,5.270139397,153687.8313,1.516780966
16,0.153831236,-0.168468751,0.525045185,35.5601764,4.828009738,153600.4118,1.515918202
16,0.157642818,-0.168734912,0.57514342,34.91731696,4.447444183,153473.4626,1.514665311
16,0.161453596,-0.169001016,0.624985684,34.41661718,4.052788133,153351.3945,1.513460592
16,0.165263546,-0.169267064,0.675004233,34.1226587,3.704572092,153262.2137,1.512580446
16,0.169072639,-0.169533052,0.725119973,34.16027019,3.410643465,153159.2566,1.511564339
16,0.172880852,-0.169798981,0.775104199,34.46371786,3.140880751,152954.6172,1.509544705
16,0.176688163,-0.170064855,0.825182004,35.27085611,3.021530908,152613.0775,1.506173969
16,0.180494552,-0.170330671,0.875180418,38.51823878,2.860588297,152483.3704,1.50489386
16,0.184300003,-0.170596423,0.925132487,45.22617822,2.499991179,151276.9637,1.492987552
16,0.18810464,-0.170881233,0.975130402,57.47317254,3.219336517,144445.7846,1.425569056
