Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.121730563,-0.088,0.025266646,151742.1251,329.1576131,1.497578338,1.142313424
16,0.125231363,-0.088,0.075197177,154829.513,327.4599844,1.528048488,1.136421948
16,0.128732196,-0.088,0.125288804,154872.2602,327.1436484,1.52847037,1.135324131
16,0.132233025,-0.088,0.174799268,154761.0439,327.0940497,1.52737275,1.135152003
16,0.135733799,-0.088,0.225076957,154513.1389,326.9203798,1.524926118,1.134549297
16,0.1392345,-0.088,0.275102702,154126.8699,326.6819744,1.521113939,1.133721931
16,0.142735174,-0.088,0.324950486,153732.9762,326.477589,1.517226511,1.133012629
16,0.146235863,-0.088,0.375303359,153344.1058,326.295889,1.513388658,1.132382054
16,0.149736568,-0.088,0.425066645,153043.0051,326.1991649,1.510417025,1.132046382
16,0.153237252,-0.088,0.474944101,152845.1881,326.2382754,1.508464723,1.132182111
16,0.156737879,-0.088,0.525168205,152719.5498,326.3998139,1.50722477,1.132742717
16,0.160238445,-0.088,0.575203963,152626.4405,326.5221028,1.506305852,1.13316711
16,0.163738972,-0.088,0.625020627,152476.5462,326.6767865,1.504826511,1.133703927
16,0.167239471,-0.088,0.675156994,152288.9803,327.0597577,1.502975379,1.135032996
16,0.170739943,-0.088,0.725037736,151970.1546,327.686519,1.499828814,1.137208117
16,0.174240385,-0.088,0.775054733,151326.6145,328.5584841,1.493477567,1.140234198
16,0.177740795,-0.088,0.825157955,150823.4558,329.9051654,1.488511777,1.14490774
16,0.181241168,-0.088,0.87510005,150385.4509,331.9264995,1.484189005,1.151922608
16,0.184741502,-0.088,0.925005155,149150.9227,334.9271066,1.472005159,1.162335959
16,0.188241788,-0.088,0.975344835,143982.8027,338.490839,1.42099978,1.174703588
