Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.14797,100628.0912,100809.0525,287.54189,287.69412,131140.3037,131986.0711,317.84526,317.93463,1.30322,1.10539,1.10511,0.7478
20000,16.13767,100627.0055,100808.7184,287.53783,287.6908,134341.6214,135240.4361,319.01203,319.08683,1.33505,1.10946,1.10913,0.78864
20000,16.11972,100625.0859,100808.0229,287.53077,287.68493,138234.89,139011.1847,320.87885,320.84857,1.37376,1.11598,1.11528,0.82386
20000,16.0669,100621.0379,100806.5226,287.51597,287.67244,145251.138,145686.5867,324.54852,324.37263,1.44355,1.1288,1.12758,0.86681
20000,16.03737,100619.9969,100806.2829,287.51216,287.66921,147610.5292,147944.3495,325.80896,325.61637,1.46701,1.1332,1.13191,0.87719
20000,15.96191,100619.7821,100806.89,287.51134,287.6685,149904.2142,150194.1622,327.08787,326.88043,1.48981,1.13765,1.13631,0.88504
20000,15.81933,100625.749,100811.0026,287.53293,287.68669,151970.4235,152217.2253,328.43985,328.21103,1.51025,1.14227,1.14086,0.88747
20000,15.59099,100646.9758,100827.9599,287.61026,287.75747,153726.9993,153927.5595,329.81663,329.56555,1.52739,1.14675,1.14529,0.88543
20000,15.34413,100664.9363,100847.5313,287.67493,287.82205,155480.8181,155627.7425,331.25531,330.99027,1.54454,1.15149,1.14998,0.88177
20000,15.07026,100660.4833,100860.9808,287.65884,287.82237,157145.4965,157253.0503,332.62813,332.36439,1.56114,1.15633,1.15476,0.87697
20000,14.9015,100642.961,100863.1169,287.59662,287.77955,157845.2362,157934.1422,333.28415,333.02294,1.56837,1.15886,1.15722,0.87278
20000,14.69941,100621.479,100863.1471,287.52097,287.72521,158351.3563,158426.8082,333.91037,333.64477,1.57373,1.16134,1.1596,0.86672
20000,14.50123,100610.7147,100864.5086,287.483,287.69787,158853.9525,158919.1645,334.62296,334.34949,1.5789,1.16397,1.16215,0.85961
20000,14.29115,100612.3651,100871.2033,287.48853,287.70556,159147.5235,159218.4755,335.43309,335.10451,1.58179,1.16677,1.16475,0.8497
20000,14.02725,100625.6708,100886.6197,287.53452,287.74961,159081.4865,159191.1539,336.41442,335.95814,1.58092,1.17,1.16754,0.83449
