Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.96191,0.11397,-0.16570,0.00000,66.43901,0.34576,145531.73087,1.44632
15.96191,0.11398,-0.16570,0.00075,66.26296,0.38333,145499.49750,1.44600
15.96191,0.11404,-0.16570,0.00167,63.83624,0.59873,146808.47974,1.45901
15.96191,0.11411,-0.16571,0.00279,61.46852,0.82844,147982.34897,1.47067
15.96191,0.11420,-0.16572,0.00414,59.43866,1.08942,149082.88509,1.48161
15.96191,0.11431,-0.16572,0.00579,57.58994,1.40556,150220.15950,1.49291
15.96191,0.11445,-0.16573,0.00779,55.79623,1.76242,151313.50879,1.50378
15.96191,0.11461,-0.16574,0.01022,54.03046,2.13753,152321.29688,1.51379
15.96191,0.11481,-0.16576,0.01317,52.27224,2.52708,153269.79755,1.52322
15.96191,0.11504,-0.16577,0.01676,50.49750,2.93132,154166.32880,1.53213
15.96191,0.11533,-0.16580,0.02113,48.69075,3.34273,155003.37500,1.54045
15.96191,0.11569,-0.16582,0.02644,46.84405,3.75201,155751.11719,1.54788
15.96191,0.11611,-0.16585,0.03273,44.99809,4.15323,156338.09375,1.55371
15.96191,0.11663,-0.16589,0.04038,43.29847,4.54318,156670.41406,1.55702
15.96191,0.11726,-0.16593,0.04968,41.97089,4.91709,156678.10938,1.55709
15.96191,0.11803,-0.16599,0.06080,41.18145,5.26774,156370.54688,1.55404
15.96191,0.11891,-0.16605,0.07434,40.88117,5.58129,155865.73438,1.54902
15.96191,0.11986,-0.16611,0.08772,40.82456,5.84428,155318.50000,1.54358
15.96191,0.12085,-0.16618,0.10222,40.77172,6.06246,154826.73438,1.53869
15.96191,0.12193,-0.16626,0.11776,40.63255,6.24821,154428.85156,1.53474
15.96191,0.12310,-0.16634,0.13461,40.42371,6.40374,154131.92969,1.53179
15.96191,0.12437,-0.16643,0.15271,40.17501,6.52439,153925.31250,1.52974
15.96191,0.12573,-0.16653,0.17220,39.89437,6.60483,153789.42188,1.52839
15.96191,0.12721,-0.16663,0.19318,39.57845,6.64541,153699.38281,1.52749
15.96191,0.12880,-0.16674,0.21576,39.22713,6.65117,153628.32812,1.52678
15.96191,0.13053,-0.16687,0.24005,38.84443,6.62525,153551.39844,1.52602
15.96191,0.13239,-0.16700,0.26614,38.43518,6.56634,153450.70312,1.52502
15.96191,0.13441,-0.16714,0.29416,38.00118,6.47148,153315.89062,1.52368
15.96191,0.13655,-0.16729,0.32422,37.54949,6.34242,153143.78125,1.52197
15.96191,0.13872,-0.16744,0.35409,37.09514,6.18718,152941.94464,1.51996
15.96191,0.14090,-0.16760,0.38369,36.64488,6.01308,152726.94332,1.51783
15.96191,0.14308,-0.16775,0.41303,36.19543,5.82482,152515.42056,1.51572
15.96191,0.14526,-0.16790,0.44215,35.74427,5.62693,152316.07812,1.51374
15.96191,0.14743,-0.16806,0.47106,35.29649,5.42398,152130.68750,1.51190
15.96191,0.14961,-0.16821,0.49980,34.86557,5.21996,151958.51562,1.51019
15.96191,0.15179,-0.16836,0.52833,34.46600,5.01801,151798.49204,1.50860
