Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.96191,0.12005,-0.088,0,137610.1172,331.9261,1.367592389,1.154445497
15.96191,0.12005,-0.088,0.00071,137710.2266,331.91399,1.368587292,1.154403378
15.96191,0.12011,-0.088,0.00151,139298.7266,331.88591,1.384374071,1.154305715
15.96191,0.12017,-0.088,0.00239,140831.8594,331.83653,1.399610602,1.154133971
15.96191,0.12024,-0.088,0.00338,142040,331.77359,1.411617306,1.153915064
15.96191,0.12032,-0.088,0.00447,142989.5078,331.70279,1.421053674,1.15366882
15.96191,0.1204,-0.088,0.00569,143811.1953,331.62433,1.429219741,1.153395935
15.96191,0.1205,-0.088,0.00704,144573.0938,331.53609,1.436791616,1.153089034
15.96191,0.1206,-0.088,0.00854,145296.3203,331.43556,1.443979162,1.152739389
15.96191,0.12072,-0.088,0.01022,145989.7891,331.32092,1.450870971,1.152340669
15.96191,0.12085,-0.088,0.01208,146666.4844,331.19052,1.457596082,1.151887135
15.96191,0.12099,-0.088,0.01415,147340.3359,331.04243,1.464292932,1.151372075
15.96191,0.12116,-0.088,0.01646,148021.6797,330.8744,1.47106424,1.150787664
15.96191,0.12134,-0.088,0.01902,148716.4766,330.68381,1.477969248,1.150124788
15.96191,0.12154,-0.088,0.02187,149427.9531,330.4678,1.485040021,1.149373501
15.96191,0.12176,-0.088,0.02504,150158.5703,330.22363,1.492301017,1.148524273
15.96191,0.122,-0.088,0.02857,150888.9141,329.95657,1.499559296,1.147595433
15.96191,0.12226,-0.088,0.0321,151610.4766,329.66412,1.506730305,1.146578286
15.96191,0.12258,-0.088,0.03654,152350.7813,329.31969,1.514087577,1.145380352
15.96191,0.12297,-0.088,0.04212,153078.3125,328.90637,1.521317904,1.143942817
15.96191,0.12347,-0.088,0.04914,153683.1719,328.43367,1.527329098,1.142298757
15.96191,0.1241,-0.088,0.05797,154047.9297,327.93176,1.530954122,1.140553104
15.96191,0.12489,-0.088,0.06907,154100.5859,327.44672,1.531477429,1.138866125
15.96191,0.12588,-0.088,0.08304,153862.5625,327.02475,1.529111912,1.137398505
15.96191,0.12712,-0.088,0.1006,153451.875,326.69339,1.525030431,1.136246029
15.96191,0.12869,-0.088,0.1227,153018.7969,326.44992,1.520726428,1.135399235
15.96191,0.13066,-0.088,0.15049,152670.6563,326.27313,1.517266548,1.134784356
15.96191,0.13298,-0.088,0.18544,152442.6016,326.1353,1.515000102,1.134304981
15.96191,0.13543,-0.088,0.22039,152305.1719,326.01021,1.513634303,1.133869915
15.96191,0.13787,-0.088,0.25534,152199.0547,325.88193,1.512579693,1.133423755
15.96191,0.14032,-0.088,0.29029,152076.8828,325.74493,1.511365528,1.132947266
15.96191,0.14277,-0.088,0.32524,151918.6484,325.60141,1.509792968,1.132448101
15.96191,0.14521,-0.088,0.3602,151728.1484,325.45923,1.507899747,1.131953596
15.96191,0.14766,-0.088,0.39515,151523.0859,325.33038,1.505861802,1.131505453
15.96191,0.15011,-0.088,0.4301,151321.5313,325.2292,1.503858718,1.131153547
15.96191,0.15255,-0.088,0.46505,151132.9531,325.16762,1.501984597,1.130939371
15.96191,0.155,-0.088,0.5,150956.9688,325.14655,1.500235635,1.130866089
15.96191,0.15745,-0.088,0.53495,150789.4375,325.15112,1.498570681,1.130881983
15.96191,0.15989,-0.088,0.5699,150631.2969,325.15622,1.496999053,1.130899721
15.96191,0.16234,-0.088,0.60485,150491.7813,325.14331,1.495612523,1.13085482
15.96191,0.16479,-0.088,0.63981,150381.4531,325.12442,1.494516064,1.13078912
15.96191,0.16723,-0.088,0.67476,150300.4375,325.15733,1.493710917,1.130903582
15.96191,0.16968,-0.088,0.70971,150225.1094,325.33546,1.492962294,1.131523121
15.96191,0.17213,-0.088,0.74466,150097.9688,325.74898,1.491698749,1.132961352
15.96191,0.17457,-0.088,0.77961,149841.2813,326.43867,1.489147745,1.135360108
15.96191,0.17702,-0.088,0.81456,149381.9219,327.38956,1.484582555,1.138667322
15.96191,0.17934,-0.088,0.84951,148687.5938,328.51361,1.477682206,1.14257679
15.96191,0.18131,-0.088,0.8773,147794.7266,329.66072,1.468808742,1.146566461
15.96191,0.18288,-0.088,0.8994,146787.0391,330.70985,1.458794175,1.150215355
15.96191,0.18412,-0.088,0.91696,145758.8125,331.59828,1.448575487,1.153305332
15.96191,0.18511,-0.088,0.93093,144787.9141,332.30489,1.438926536,1.155762936
15.96191,0.1859,-0.088,0.94203,143920.9297,332.84558,1.4303103,1.157643466
15.96191,0.18653,-0.088,0.95086,143173.1328,333.25354,1.42287857,1.159062359
15.96191,0.18703,-0.088,0.95788,142541.8359,333.55879,1.416604635,1.160124025
15.96191,0.18742,-0.088,0.96346,142013.8281,333.78709,1.411357205,1.160918057
15.96191,0.18774,-0.088,0.9679,141571.5938,333.96127,1.406962206,1.161523858
15.96191,0.188,-0.088,0.97143,141182.0625,334.10223,1.403090979,1.16201412
15.96191,0.18824,-0.088,0.97496,140805.6797,334.22704,1.399350424,1.162448211
15.96191,0.18846,-0.088,0.97813,140435.9844,334.33847,1.39567633,1.162835767
15.96191,0.18866,-0.088,0.98098,140078.4609,334.43556,1.392123202,1.163173448
15.96191,0.18884,-0.088,0.98354,139729.1406,334.52109,1.388651598,1.163470923
15.96191,0.18901,-0.088,0.98585,139384.1563,334.59732,1.385223086,1.163736053
15.96191,0.18915,-0.088,0.98792,139038.625,334.66599,1.381789139,1.163974888
15.96191,0.18928,-0.088,0.98978,138685.6406,334.72833,1.378281121,1.164191708
15.96191,0.1894,-0.088,0.99146,138316.6094,334.78513,1.374613626,1.164389259
15.96191,0.1895,-0.088,0.99296,137923.5313,334.8367,1.37070715,1.164568621
15.96191,0.1896,-0.088,0.99431,137500.6094,334.88364,1.366504082,1.164731879
15.96191,0.18969,-0.088,0.99553,137034.5156,334.92688,1.361871964,1.164882269
15.96191,0.18976,-0.088,0.99662,136484.75,334.96671,1.356408301,1.165020798
15.96191,0.18983,-0.088,0.99761,135777.5078,335.00172,1.34937961,1.165142564
15.96191,0.18989,-0.088,0.99849,134881.3828,335.02754,1.340473769,1.165232366
15.96191,0.18995,-0.088,0.99929,133959.625,335.04062,1.331313186,1.165277859
15.96191,0.19,-0.088,1,133100.25,335.04715,1.322772573,1.16530057
14.69941,0.12005,-0.088,0,148514.8125,334.437,1.475951166,1.163151433
14.69941,0.12005,-0.088,0.00071,148598.0781,334.42804,1.476778666,1.16312027
14.69941,0.12011,-0.088,0.00151,149844.0625,334.40517,1.489161351,1.16304073
14.69941,0.12017,-0.088,0.00239,151055.375,334.36647,1.501199464,1.162906134
14.69941,0.12024,-0.088,0.00338,152014.6328,334.31754,1.510732639,1.162735958
14.69941,0.12032,-0.088,0.00447,152765.2578,334.26244,1.518192406,1.162544324
14.69941,0.1204,-0.088,0.00569,153406.2188,334.20135,1.524562323,1.162331856
14.69941,0.1205,-0.088,0.00704,153991.3047,334.13268,1.53037695,1.162093026
14.69941,0.1206,-0.088,0.00854,154537.4297,334.05411,1.535804381,1.161819765
14.69941,0.12072,-0.088,0.01022,155050.625,333.96432,1.540904553,1.161507481
14.69941,0.12085,-0.088,0.01208,155539.5469,333.86246,1.545763495,1.161153218
14.69941,0.12099,-0.088,0.01415,156014.0234,333.7475,1.550478878,1.160753394
14.69941,0.12116,-0.088,0.01646,156482.4141,333.61922,1.555133779,1.160307244
14.69941,0.12134,-0.088,0.01902,156950.8438,333.47749,1.559789068,1.159814316
14.69941,0.12154,-0.088,0.02187,157423.4063,333.32062,1.564485429,1.159268731
14.69941,0.12176,-0.088,0.02504,157902.7344,333.14479,1.569249027,1.158657205
14.69941,0.122,-0.088,0.02857,158376.5781,332.95047,1.573958121,1.157981372
14.69941,0.12226,-0.088,0.0321,158839.5391,332.73143,1.578559061,1.157219565
14.69941,0.12258,-0.088,0.03654,159309.3203,332.4631,1.583227782,1.156286329
14.69941,0.12297,-0.088,0.04212,159765.1406,332.12927,1.587757758,1.155125289
14.69941,0.12347,-0.088,0.04914,160134.3594,331.73776,1.591427081,1.153763641
14.69941,0.1241,-0.088,0.05797,160337.8281,331.31773,1.593449168,1.152302802
14.69941,0.12489,-0.088,0.06907,160325.0625,330.91154,1.593322302,1.150890098
14.69941,0.12588,-0.088,0.08304,160107.1094,330.55719,1.591156268,1.149657691
14.69941,0.12712,-0.088,0.1006,159762.7656,330.27658,1.587734155,1.148681746
14.69941,0.12869,-0.088,0.1227,159401.6719,330.07193,1.584145578,1.147969986
14.69941,0.13066,-0.088,0.15049,159115.7344,329.93399,1.58130391,1.147490239
14.69941,0.13298,-0.088,0.18544,158951.4688,329.84622,1.579671426,1.147184981
14.69941,0.13543,-0.088,0.22039,158901.5781,329.78784,1.57917561,1.146981939
14.69941,0.13787,-0.088,0.25534,158922.4688,329.74333,1.579383222,1.146827136
14.69941,0.14032,-0.088,0.29029,158967.0781,329.70442,1.579826553,1.146691809
14.69941,0.14277,-0.088,0.32524,159003.3672,329.66736,1.580187197,1.146562917
14.69941,0.14521,-0.088,0.3602,159018.8984,329.63297,1.580341548,1.14644331
14.69941,0.14766,-0.088,0.39515,159015.8984,329.60748,1.580311733,1.146354658
14.69941,0.15011,-0.088,0.4301,158999.9844,329.60289,1.580153578,1.146338694
14.69941,0.15255,-0.088,0.46505,158974.3672,329.6375,1.579898993,1.146459065
14.69941,0.155,-0.088,0.5,158940.625,329.7359,1.57956366,1.146801294
14.69941,0.15745,-0.088,0.53495,158899.5859,329.93042,1.579155811,1.147477823
14.69941,0.15989,-0.088,0.5699,158850.0547,330.26691,1.578663566,1.148648115
14.69941,0.16234,-0.088,0.60485,158786.5234,330.79932,1.578032188,1.150499804
14.69941,0.16479,-0.088,0.63981,158697.3672,331.55948,1.577146146,1.153143594
14.69941,0.16723,-0.088,0.67476,158570.7188,332.53241,1.575887505,1.156527385
14.69941,0.16968,-0.088,0.70971,158407.8203,333.66811,1.574268608,1.16047728
14.69941,0.17213,-0.088,0.74466,158231.2266,334.91798,1.572513606,1.164824252
14.69941,0.17457,-0.088,0.77961,158076.5,336.26031,1.570975922,1.169492793
14.69941,0.17702,-0.088,0.81456,157966.9219,337.70425,1.569886927,1.174514728
14.69941,0.17934,-0.088,0.84951,157890.6094,339.22253,1.569128528,1.179795213
14.69941,0.18131,-0.088,0.8773,157806.6719,340.71899,1.568294351,1.18499981
14.69941,0.18288,-0.088,0.8994,157676.7422,342.11021,1.5670031,1.189838388
14.69941,0.18412,-0.088,0.91696,157485.6797,343.35054,1.565104307,1.19415218
14.69941,0.18511,-0.088,0.93093,157241.9766,344.42068,1.562682367,1.197874061
14.69941,0.1859,-0.088,0.94203,156967.8125,345.33186,1.559957704,1.20104309
14.69941,0.18653,-0.088,0.95086,156683.3516,346.10719,1.55713071,1.20373964
14.69941,0.18703,-0.088,0.95788,156401.5859,346.76315,1.554330503,1.206021029
14.69941,0.18742,-0.088,0.96346,156130.5703,347.31519,1.55163713,1.20794099
14.69941,0.18774,-0.088,0.9679,155875.1641,347.78084,1.549098883,1.209560492
14.69941,0.188,-0.088,0.97143,155625.0078,348.19191,1.546612812,1.210990168
14.69941,0.18824,-0.088,0.97496,155360.4531,348.58542,1.543983648,1.212358772
14.69941,0.18846,-0.088,0.97813,155079.7188,348.96338,1.541193689,1.213673294
14.69941,0.18866,-0.088,0.98098,154786.8906,349.31676,1.538283542,1.214902328
14.69941,0.18884,-0.088,0.98354,154480.0469,349.6479,1.535234106,1.216054013
14.69941,0.18901,-0.088,0.98585,154157.7188,349.95911,1.532030785,1.217136382
14.69941,0.18915,-0.088,0.98792,153816.7109,350.25186,1.528641824,1.218154549
14.69941,0.18928,-0.088,0.98978,153450.625,350.52684,1.525003635,1.219110912
