Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.17252378,101325,101325,288.15,288.15,135108.1012,134772.2812,319.5188918,319.4954,1.333413286,1.108863064,1.108781537,0.787688464
20000,16.16514225,101325,101325,288.15,288.15,137205.5338,136992.3119,320.4298661,320.401,1.354113336,1.112024522,1.111924345,0.808358655
20000,16.15503509,101325,101325,288.15,288.15,139388.4882,139246.6919,321.4665615,321.4313,1.375657421,1.115622285,1.115499913,0.82601032
20000,16.14181217,101325,101325,288.15,288.15,141635.2688,141525.3898,322.5564064,322.5149,1.397831421,1.119404499,1.119260455,0.842023438
20000,16.12199807,101325,101325,288.15,288.15,143910.0812,143809.3566,323.7516249,323.7046,1.420282075,1.123552403,1.123389207,0.854540586
20000,16.08681296,101325,101325,288.15,288.15,146233.3476,146125.9501,325.00777,324.9598,1.443210931,1.127911747,1.127745272,0.865087527
20000,16.01281025,101325,101325,288.15,288.15,148537.539,148423.6971,326.2820782,326.2332,1.465951532,1.132334125,1.132164498,0.87377823
20000,15.8540897,101325,101325,288.15,288.15,150670.3591,150547.3678,327.6627758,327.6043,1.48700083,1.137125718,1.136922783,0.876665392
20000,15.63746699,101325,101325,288.15,288.15,152671.823,152534.351,329.1330689,329.06,1.506753743,1.142228245,1.141974666,0.875271487
20000,15.38286259,101325,101325,288.15,288.15,154659.3934,154496.7123,330.6836172,330.5929,1.526369538,1.147609291,1.147294465,0.871919335
20000,15.08306725,101325,101325,288.15,288.15,156625.1217,156415.4025,332.3406432,332.2275,1.545769768,1.153359858,1.152967205,0.866252665
20000,14.84342856,101325,101325,288.15,288.15,157920.3229,157642.5496,333.5630762,333.4298,1.55855241,1.157602208,1.157139684,0.860229272
20000,14.54580157,101325,101325,288.15,288.15,159189.992,158764.6226,334.9794174,334.8172,1.571083069,1.162517499,1.161954538,0.850709988
20000,14.33824744,101325,101325,288.15,288.15,159812.9361,159190.3903,335.9190071,335.7323,1.57723105,1.165778265,1.165130314,0.842042073
