Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,,,
16.01281025,0.113926,-0.16559516,0,89.99903225,1,147652.1376,1.4572133,,,,,,,
16.01281025,0.11392899,-0.16559538,3.97E-05,87.2893463,1,144843.9456,1.4294986,,,,,,,
16.01281025,0.1139327,-0.16559564,8.90E-05,84.17541493,1,143268.8283,1.4139534,,,,,,,
16.01281025,0.11393729,-0.16559596,0.000149979,81.0541612,1,142128.2127,1.4026964,,,,,,,
16.01281025,0.11394297,-0.16559637,0.000225433,78.19803488,1,141455.2222,1.3960545,,,,,,,
16.01281025,0.11395001,-0.16559687,0.000318954,75.85102223,1,141163.1732,1.3931722,,,,,,,
16.01281025,0.11395872,-0.1655975,0.00043466,73.98726016,1,141107.7788,1.3926255,,,,,,,
16.01281025,0.11396952,-0.16559826,0.000578129,72.45040995,1,141180.8037,1.3933462,,,,,,,
16.01281025,0.11398289,-0.16559921,0.00075574,71.06698019,1,141331.2004,1.3948305,,,,,,,
16.01281025,0.11399946,-0.1656004,0.000975859,69.72482955,1,141565.859,1.3971464,,,,,,,
16.01281025,0.11401995,-0.16560183,0.001248053,68.36543606,1,141874.6672,1.4001941,,,,,,,
16.01281025,0.11404534,-0.16560367,0.001585339,66.94600739,1,142282.5003,1.4042191,,,,,,,
16.01281025,0.11407679,-0.16560589,0.002003128,65.44425862,1,142797.7683,1.4093044,,,,,,,
16.01281025,0.11411574,-0.16560864,0.002520549,63.85601469,1,143408.5149,1.415332,,,,,,,
16.01281025,0.11416395,-0.16561207,0.003160981,62.18498029,1,144175.2006,1.4228986,,,,,,,
16.01281025,0.11422367,-0.1656163,0.003954315,60.46765419,1,145012.5403,1.4311625,,,,,,,
16.01281025,0.11429765,-0.16562159,0.004937082,58.72008693,1,146006.2042,1.4409692,,,,,,,
16.01281025,0.11438926,-0.16562809,0.00615405,57.01943114,1,147033.7208,1.45111,,,,,,,
16.01281025,0.11450269,-0.16563615,0.007660879,55.39778974,1,148041.7626,1.4610586,,,,,,,
16.01281025,0.11464319,-0.16564612,0.009527313,53.86743293,1,149128.9596,1.4717884,,,,,,,
16.01281025,0.11481716,-0.16565849,0.011838369,52.49260327,1,150001.7529,1.4804022,,,,,,,
16.01281025,0.11503263,-0.16567381,0.014700721,51.15731282,1,150890.9102,1.4891775,,,,,,,
16.01281025,0.11529946,-0.16569275,0.018245351,49.82101759,1,151613.0433,1.4963044,,,,,,,
16.01281025,0.1156299,-0.16571626,0.02263499,48.35772707,1,152251.2186,1.5026027,,,,,,,
16.01281025,0.11603913,-0.16574532,0.028071293,46.79627771,1,152794.4726,1.5079642,,,,,,,
16.01281025,0.11654593,-0.16578133,0.034803738,45.16471694,1,153026.6791,1.5102559,,,,,,,
16.01281025,0.11717357,-0.16582593,0.043141448,43.35325682,1,153285.4226,1.5128095,,,,,,,
16.01281025,0.11795084,-0.16588117,0.053466877,41.6375931,1,153388.3992,1.5138258,,,,,,,
16.01281025,0.11891342,-0.16594957,0.066254006,40.25844022,1,153318.5964,1.5131369,,,,,,,
16.01281025,0.119876,-0.16601796,0.079041134,39.27840082,1,152930.5824,1.5093075,,,,,,,
16.01281025,0.12087049,-0.16608864,0.092252162,38.72001332,1,152494.9153,1.5050078,,,,,,,
16.01281025,0.12189793,-0.16616164,0.105900906,38.45739164,1,152050.21,1.5006189,,,,,,,
16.01281025,0.12295944,-0.16623707,0.120002242,38.28718735,1,151547.8103,1.4956606,,,,,,,
16.01281025,0.12405611,-0.166315,0.134570653,38.17056145,1,151195.6451,1.492185,,,,,,,
16.01281025,0.12518913,-0.16639552,0.149621944,38.05677336,1,151022.501,1.4904762,,,,,,,
16.01281025,0.12635972,-0.16647869,0.165172324,37.91552078,1,150937.0131,1.4896325,,,,,,,
16.01281025,0.12756908,-0.16656463,0.181237734,37.73554305,1,150883.7972,1.4891073,,,,,,,
16.01281025,0.12881853,-0.16665339,0.197835708,37.52795231,1,150849.3365,1.4887672,,,,,,,
16.01281025,0.13010935,-0.16674513,0.21498325,37.32377429,1,150843.4293,1.4887089,,,,,,,
16.01281025,0.13144301,-0.1668399,0.232699888,37.09395095,1,150820.692,1.4884845,,,,,,,
16.01281025,0.13282083,-0.1669378,0.251003158,36.83508967,1,150762.3389,1.4879086,,,,,,,
16.01281025,0.13424434,-0.16703896,0.269913384,36.57879684,1,150700.2571,1.4872959,,,,,,,
16.01281025,0.13571501,-0.16714346,0.289450094,36.31389336,1,150639.6242,1.4866975,,,,,,,
16.01281025,0.13723443,-0.16725142,0.30963441,36.0389171,1,150580.3491,1.4861125,,,,,,,
16.01281025,0.1388042,-0.16736297,0.330487587,35.7487195,1,150522.1682,1.4855383,,,,,,,
