Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30,
16.01281025,0.12,-0.088,0,127368.2608,331.76468,1.257027,1.151361027,
16.01281025,0.12000301,-0.088,4.30E-05,127368.2608,331.76468,1.257027,1.151361027,
16.01281025,0.12000652,-0.088,9.31E-05,127816.1477,331.85797,1.2614473,1.151684782,
16.01281025,0.12001061,-0.088,0.000151571,128540.8342,331.95795,1.2685994,1.152031754,
16.01281025,0.12001542,-0.088,0.000220286,129460.8753,332.05576,1.2776795,1.152371196,
16.01281025,0.12002104,-0.088,0.000300571,130425.6717,332.13721,1.2872013,1.152653861,
16.01281025,0.12002761,-0.088,0.000394429,131306.2873,332.19385,1.2958923,1.152850425,
16.01281025,0.12003531,-0.088,0.000504429,132059.9528,332.22757,1.3033304,1.152967448,
16.01281025,0.12004431,-0.088,0.000633,132702.8599,332.24457,1.3096754,1.153026445,
16.01281025,0.12005483,-0.088,0.000783286,133275.3664,332.25092,1.3153256,1.153048482,
16.01281025,0.12006716,-0.088,0.000959429,133810.0686,332.2504,1.3206027,1.153046677,
16.01281025,0.12008157,-0.088,0.001165286,134326.8666,332.245,1.3257031,1.153027937,
16.01281025,0.12009845,-0.088,0.001406429,134837.7574,332.2356,1.3307452,1.152995315,
16.01281025,0.12011816,-0.088,0.001688,135348.1618,332.22247,1.3357825,1.152949748,
16.01281025,0.12014125,-0.088,0.002017857,135863.1664,332.20551,1.3408652,1.15289089,
16.01281025,0.12016826,-0.088,0.002403714,136382.2746,332.18445,1.3459884,1.152817803,
16.01281025,0.12019984,-0.088,0.002854857,136911.3229,332.15863,1.3512097,1.152728197,
16.01281025,0.12023681,-0.088,0.003383,137457.728,332.12708,1.3566023,1.152618706,
16.01281025,0.12028006,-0.088,0.004000857,138020.325,332.08875,1.3621547,1.152485685,
16.01281025,0.12033065,-0.088,0.004723571,138601.3935,332.04218,1.3678894,1.152324067,
16.01281025,0.12038983,-0.088,0.005569,139203.2133,331.9856,1.3738289,1.152127711,
16.01281025,0.12045909,-0.088,0.006558429,139830.5265,331.91675,1.38002,1.151888773,
16.01281025,0.1205401,-0.088,0.007715714,140486.3019,331.83246,1.386492,1.151596252,
16.01281025,0.12063489,-0.088,0.009069857,141170.043,331.72925,1.39324,1.15123807,
16.01281025,0.12074579,-0.088,0.010654143,141881.233,331.60242,1.4002589,1.150797918,
16.01281025,0.12087553,-0.088,0.012507571,142626.5291,331.44678,1.4076144,1.150257782,
16.01281025,0.12102732,-0.088,0.014676,143416.6918,331.25839,1.4154127,1.149603991,
16.01281025,0.12120492,-0.088,0.017213143,144241.4267,331.03513,1.4235522,1.148829186,
16.01281025,0.12141266,-0.088,0.020180857,145075.7063,330.77194,1.4317859,1.147915808,
