Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000.101862169548,16.21391526789429,101253.171445801,101318.55011306,288.147006742016,288.147064864008,135838.8974176,137148.151132256,320.743538775968,320.670362092646,1.3415767178247069,1.1131246595358053,1.1128704789826247,0.7759416691007436
20000.102124332363,16.184373467018677,101253.175649972,101318.83982517,288.147005289359,288.147057309902,143703.664207855,144437.485919878,324.600973179459,324.30965016969,1.4192509349497595,1.1265117013917694,1.1255004760326084,0.8383372369859021
20000.102355012667,16.153051752688,101253.181811806,101319.151263142,288.147005247,288.147050662951,147750.988164652,148211.102761309,326.60171888359,326.312613752247,1.4592231623818896,1.1334551910530064,1.1324516874335069,0.8608214757331859
20000.10265037465,16.046508535085543,101253.191058692,101320.211959518,288.147012975597,288.147042152226,151687.693077945,152074.453560754,328.585757996886,328.307310196574,1.4981028399393197,1.1403406705615016,1.1393742158322473,0.878342739264371
20000.10274998834,16.004500681388233,101253.196475598,101320.638048593,288.147014639654,288.147039281902,152295.160799619,152676.626162698,328.949645383832,328.662993301198,1.5041022515898756,1.1416035172018153,1.1406086077450832,0.8797524007274439
20000.103237718067,15.933297833841262,101253.204635465,101321.371044075,288.147012608256,288.147025228187,153113.823526619,153485.265431321,329.501994697092,329.19805777846,1.5121874322680873,1.143520426307731,1.1424655781810145,0.8803759951820007
20000.104677187748,15.718365368832476,101253.239940448,101323.670933625,288.147023547993,288.146983750515,155180.186497533,155511.90681679,330.974692852523,330.644822766431,1.532594775128204,1.1486313090351834,1.1474866696946295,0.8796856731583251
20000.10620634093,15.468512664938793,101253.298082948,101326.493612446,288.147019244059,288.146939688663,157214.033757685,157501.20646538,332.486153672511,332.14998763579,1.5526806211180724,1.153876776323329,1.1527104469499885,0.8771671276137718
20000.10658748416,15.272027665233512,101253.339971705,101328.812738738,288.147017360598,288.146928706196,158536.235277775,158794.372744052,333.557107381738,333.225828867042,1.565738328454919,1.1575934758481712,1.1564441459197712,0.87359673788224
20000.107240791986,15.044445059456471,101253.375287271,101331.622271859,288.147008042196,288.146909881433,159826.129067374,160061.45748622,334.704763377198,334.386063175264,1.5784770494210518,1.1615763968931585,1.160470758866918,0.8680939558419959
20000.107634570184,14.771199480053108,101253.397276361,101335.195622002,288.147023280389,288.146898534897,161148.574684185,161374.182877907,336.008798811623,335.710522089064,1.5915374596700802,1.166101925976382,1.1650672757402825,0.8601893168914946
20000.10766854547,14.86020470360896,101253.392170219,101334.006580811,288.147011658647,288.146897555915,160736.617901227,160963.403531585,335.583127227756,335.277975702556,1.5874689672718283,1.1646247007597086,1.1635661481918096,0.8629796606909125
20000.107785912485,14.804795508686304,101253.395664584,101334.746156892,288.147014139798,288.146894174039,160973.478964673,161199.281821731,335.834050388549,335.533322314922,1.5898082025606344,1.1654955071844508,1.1644523300406002,0.8612492923184184
20000.107789738715,14.674983681912837,101253.400056966,101336.511997259,288.147030892175,288.146894063788,161551.73907115,161778.604693103,336.433767204457,336.145876162186,1.5955191527421266,1.167576726932685,1.166578169285324,0.8572832210178579
20000.10784476758,14.575690255514369,101253.403511028,101337.904774182,288.147043566056,288.146892478157,161948.052593537,162179.111642935,336.884806284394,336.606762499946,1.5994331743712542,1.1691419842979065,1.168177659682596,0.8538884144594998
20000.10820757016,14.355517843710262,101253.406627943,101341.12066858,288.147062422555,288.14688202417,162682.938296002,162934.843208838,337.820931952284,337.567172402526,1.6066910113334023,1.1723906852011716,1.1715107587879805,0.8459250323918738
