Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.77409374,0.113929,-0.165682874,1.33E-05,85.36363897,-0.048459088,159504.5301,1.575300394
14.77409374,0.115204746,-0.165772043,0.016961988,53.3478758,3.058257779,166912.4156,1.648462234
14.77409374,0.116480492,-0.165861212,0.03391069,49.54138443,4.318670659,166412.0059,1.643520082
14.77409374,0.117756237,-0.165950381,0.050859392,48.48858172,5.100571905,165571.6052,1.635220108
14.77409374,0.119031983,-0.16603955,0.067808094,48.42804113,5.650717615,164811.8009,1.62771612
14.77409374,0.120307729,-0.166128719,0.084756796,48.37137784,6.081153576,164101.9289,1.620705275
14.77409374,0.121583475,-0.166217888,0.101705498,48.29404651,6.416309714,163492.6421,1.61468783
14.77409374,0.12285922,-0.166307056,0.118654201,48.19421561,6.662675692,163012.9772,1.609950558
14.77409374,0.124134966,-0.166396225,0.135602903,48.04630665,6.843417029,162667.1062,1.606534662
14.77409374,0.125410712,-0.166485394,0.152551605,47.84095276,6.974633117,162445.3386,1.604344439
14.77409374,0.126686458,-0.166574563,0.169500307,47.60092508,7.070442507,162329.0488,1.603195936
14.77409374,0.127962203,-0.166663732,0.186449009,47.33436496,7.140356716,162296.2078,1.602871592
14.77409374,0.129237949,-0.166752901,0.203397712,47.04437581,7.186721368,162317.9899,1.603086717
14.77409374,0.130513695,-0.16684207,0.220346414,46.73838682,7.213414372,162368.4368,1.603584941
14.77409374,0.131789441,-0.166931239,0.237295116,46.41643919,7.222990198,162428.1306,1.604174489
14.77409374,0.133065186,-0.167020408,0.254243818,46.08327595,7.216756635,162488.3756,1.604769481
14.77409374,0.134340932,-0.167109577,0.27119252,45.74258678,7.197012058,162546.7211,1.605345714
14.77409374,0.135616678,-0.167198745,0.288141223,45.39830945,7.165649029,162605.0301,1.605921586
14.77409374,0.136892424,-0.167287914,0.305089925,45.05377529,7.125666429,162663.559,1.606499629
14.77409374,0.138168169,-0.167377083,0.322038627,44.71029292,7.07930236,162717.678,1.60703412
14.77409374,0.139443915,-0.167466252,0.338987329,44.36802854,7.027031404,162764.708,1.607498598
14.77409374,0.140719661,-0.167555421,0.355936031,44.02925288,6.969208198,162803.2579,1.607879326
14.77409374,0.141995407,-0.16764459,0.372884734,43.6998609,6.905754,162831.384,1.608157105
14.77409374,0.143271153,-0.167733759,0.389833436,43.36775478,6.832092459,162844.7638,1.608289247
14.77409374,0.144546898,-0.167822928,0.406782138,43.0406331,6.752122402,162850.1934,1.60834287
14.77409374,0.145822644,-0.167912097,0.42373084,42.71859852,6.66652766,162849.4238,1.60833527
14.77409374,0.14709839,-0.168001266,0.440679542,42.40131718,6.573291856,162842.9441,1.608271275
14.77409374,0.148374136,-0.168090434,0.457628245,42.08810577,6.474980892,162829.8806,1.608142257
