Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
14.77409374,0.120082,-0.088,1.43E-05,151722.6328,334.71394,1.498444734,1.161608269
14.77409374,0.121267034,-0.088,0.01696297,159538.1628,334.344313,1.575632557,1.160325497
14.77409374,0.122452068,-0.088,0.033911638,161935.4386,333.4568728,1.599308559,1.157245679
14.77409374,0.123637102,-0.088,0.050860305,162845.5233,332.5480772,1.608296748,1.154091749
14.77409374,0.124822136,-0.088,0.067808973,162674.3439,331.926292,1.606606143,1.151933874
14.77409374,0.126007169,-0.088,0.084757641,162262.2149,331.5589827,1.602535871,1.150659145
14.77409374,0.127192203,-0.088,0.101706309,161884.2325,331.3267572,1.598802836,1.149853218
14.77409374,0.128377237,-0.088,0.118654976,161554.1648,331.1661766,1.595543018,1.149295931
14.77409374,0.129562271,-0.088,0.135603644,161278.7297,331.0441578,1.592822763,1.148872471
14.77409374,0.130747305,-0.088,0.152552312,161087.5566,330.9603256,1.590934697,1.148581535
14.77409374,0.131932339,-0.088,0.169500979,160973.362,330.9054325,1.589806887,1.148391031
14.77409374,0.133117373,-0.088,0.186449647,160929.1917,330.8746597,1.589370653,1.148284236
14.77409374,0.134302407,-0.088,0.203398315,160941.3037,330.8641072,1.589490273,1.148247614
14.77409374,0.135487441,-0.088,0.220346983,160989.0381,330.8640721,1.589961708,1.148247492
14.77409374,0.136672475,-0.088,0.23729565,161055.3698,330.8678101,1.590616814,1.148260465
14.77409374,0.137857508,-0.088,0.254244318,161128.7445,330.8711838,1.591341478,1.148272173
14.77409374,0.139042542,-0.088,0.271192986,161204.5636,330.8737109,1.592090284,1.148280943
14.77409374,0.140227576,-0.088,0.288141654,161282.1103,330.8761898,1.592856151,1.148289546
14.77409374,0.14141261,-0.088,0.305090321,161360.8495,330.8790196,1.593633795,1.148299366
14.77409374,0.142597644,-0.088,0.322038989,161441.1988,330.8822329,1.594427342,1.148310518
14.77409374,0.143782678,-0.088,0.338987657,161519.7887,330.8850537,1.595203513,1.148320307
