Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.79759502,0.113929,-0.165682874,1.33E-05,86.59062445,-0.04770574,159876.342,1.578972602
14.79759502,0.115204746,-0.165772043,0.016961988,52.87099599,2.961583048,167094.7487,1.650263116
14.79759502,0.116480492,-0.165861212,0.03391069,48.95920306,4.226922141,166383.6005,1.643239666
14.79759502,0.117756237,-0.165950381,0.050859392,48.23351763,4.991010208,165775.4663,1.637233603
14.79759502,0.119031983,-0.16603955,0.067808094,48.1525818,5.541687561,165263.7405,1.632179691
14.79759502,0.120307729,-0.166128719,0.084756796,48.08296166,5.9896442,164723.3988,1.626843163
14.79759502,0.121583475,-0.166217888,0.101705498,48.03538156,6.344087582,164192.4118,1.621599022
14.79759502,0.12285922,-0.166307056,0.118654201,47.97001507,6.609164425,163695.3664,1.616690096
14.79759502,0.124134966,-0.166396225,0.135602903,47.84978892,6.801964239,163253.0019,1.612321211
14.79759502,0.125410712,-0.166485394,0.152551605,47.66387129,6.936968054,162892.8994,1.608764763
14.79759502,0.126686458,-0.166574563,0.169500307,47.43537961,7.031711546,162630.9377,1.606177573
14.79759502,0.127962203,-0.166663732,0.186449009,47.17479061,7.101100726,162468.2259,1.604570597
14.79759502,0.129237949,-0.166752901,0.203397712,46.88729161,7.151211244,162390.3715,1.603801691
14.79759502,0.130513695,-0.16684207,0.220346414,46.58255411,7.186718279,162374.3564,1.603643522
14.79759502,0.131789441,-0.166931239,0.237295116,46.26244438,7.209199031,162394.4561,1.603842031
14.79759502,0.133065186,-0.167020408,0.254243818,45.93304897,7.218041713,162431.3288,1.604206194
14.79759502,0.134340932,-0.167109577,0.27119252,45.59833498,7.212719642,162472.734,1.60461512
14.79759502,0.135616678,-0.167198745,0.288141223,45.26130104,7.192041634,162512.0799,1.605003708
14.79759502,0.136892424,-0.167287914,0.305089925,44.92456281,7.157320076,162548.4594,1.605363
14.79759502,0.138168169,-0.167377083,0.322038627,44.58913644,7.112130423,162584.0245,1.605714249
14.79759502,0.139443915,-0.167466252,0.338987329,44.25350996,7.05857069,162619.7389,1.606066972
14.79759502,0.140719661,-0.167555421,0.355936031,43.91885066,6.998576914,162655.6264,1.606421404
14.79759502,0.141995407,-0.16764459,0.372884734,43.58997771,6.934208919,162690.4613,1.606765441
14.79759502,0.143271153,-0.167733759,0.389833436,43.25371162,6.863423134,162718.9239,1.607046543
14.79759502,0.144546898,-0.167822928,0.406782138,42.92074149,6.78878861,162741.3582,1.60726811
14.79759502,0.145822644,-0.167912097,0.42373084,42.59222052,6.710687344,162758.42,1.607436616
14.79759502,0.14709839,-0.168001266,0.440679542,42.27040675,6.627295401,162769.7139,1.607548156
14.79759502,0.148374136,-0.168090434,0.457628245,41.95577928,6.539778136,162773.6056,1.607586592
14.79759502,0.149649881,-0.168179603,0.474576947,41.64790229,6.448864666,162773.9262,1.607589758
14.79759502,0.150925627,-0.168268772,0.491525649,41.35065813,6.352989722,162772.006,1.607570794
14.79759502,0.152201373,-0.168357941,0.508474351,41.07141769,6.251316921,162770.7287,1.607558179
14.79759502,0.153477119,-0.16844711,0.525423053,40.81393128,6.147354528,162770.918,1.607560049
14.79759502,0.154752864,-0.168536279,0.542371755,40.58699418,6.041665144,162773.1028,1.607581626
14.79759502,0.15602861,-0.168625448,0.559320458,40.43563561,5.938050192,162777.2658,1.60762274
14.79759502,0.157304356,-0.168714617,0.57626916,40.34806313,5.834772228,162784.7385,1.607696543
14.79759502,0.158580102,-0.168803786,0.593217862,40.32792727,5.731532864,162795.9269,1.607807042
14.79759502,0.159855847,-0.168892955,0.610166564,40.44651742,5.622299925,162818.9259,1.608034185
14.79759502,0.161131593,-0.168982124,0.627115266,40.64168813,5.512403732,162853.6807,1.60837743
14.79759502,0.162407339,-0.169071292,0.644063969,40.90263688,5.402121642,162899.5591,1.608830535
14.79759502,0.163683085,-0.169160461,0.661012671,41.22352292,5.29265136,162961.9426,1.609446647
14.79759502,0.164958831,-0.16924963,0.677961373,41.5570689,5.181511709,163035.6986,1.610175078
14.79759502,0.166234576,-0.169338799,0.694910075,41.8944915,5.069447104,163116.8114,1.610976165
14.79759502,0.167510322,-0.169427968,0.711858777,42.22437653,4.957029459,163204.3027,1.611840248
14.79759502,0.168786068,-0.169517137,0.72880748,42.53649767,4.844239227,163292.823,1.612714493
14.79759502,0.170061814,-0.169606306,0.745756182,42.8345576,4.7305661,163386.1897,1.613636602
14.79759502,0.171337559,-0.169695475,0.762704884,43.11437035,4.615392106,163488.8341,1.61465034
14.79759502,0.172613305,-0.169784644,0.779653586,43.37237263,4.502349877,163606.6538,1.615813952
14.79759502,0.173889051,-0.169873813,0.796602288,43.63662052,4.395773032,163732.6729,1.617058544
14.79759502,0.175164797,-0.169962981,0.813550991,43.91290242,4.297248435,163866.8261,1.618383469
14.79759502,0.176440542,-0.17005215,0.830499693,44.38626618,4.234780724,163992.5868,1.619625508
14.79759502,0.177716288,-0.170141319,0.847448395,45.19188322,4.211124807,164125.475,1.62093794
14.79759502,0.178992034,-0.170230488,0.864397097,46.36588055,4.225349131,164270.2427,1.622367697
14.79759502,0.18026778,-0.170319657,0.881345799,48.40729395,4.28991279,164469.9486,1.624340034
14.79759502,0.181543525,-0.170408826,0.898294502,50.96176013,4.34590244,164579.8093,1.625425042
14.79759502,0.182819271,-0.170497995,0.915243204,53.81906564,4.374023235,164563.3801,1.625262784
14.79759502,0.184095017,-0.170587164,0.932191906,56.73596616,4.291953317,164186.8129,1.621543726
14.79759502,0.185370763,-0.170676333,0.949140608,59.74552522,4.059498867,163373.5934,1.613512199
14.79759502,0.186646508,-0.170765502,0.96608931,63.11357821,3.666116652,162181.3422,1.601737273
14.79759502,0.187922254,-0.17085467,0.983038012,67.08829929,2.984760874,160261.9428,1.582780878
14.79759502,0.189198,-0.170943839,0.999986715,70.63414544,0.414842882,134569.4394,1.329036275
16.0063969,0.113929,-0.165682874,1.33E-05,86.5409814,-0.033218834,151206.2683,1.493348109
16.0063969,0.115204746,-0.165772043,0.016961988,48.89066482,3.083761982,159549.2094,1.575744927
16.0063969,0.116480492,-0.165861212,0.03391069,43.21104407,4.342409865,160042.2177,1.580613991
16.0063969,0.117756237,-0.165950381,0.050859392,42.3532323,5.065615417,159351.9419,1.573796667
16.0063969,0.119031983,-0.16603955,0.067808094,42.21786752,5.597715807,158633.5951,1.566702108
16.0063969,0.120307729,-0.166128719,0.084756796,42.05961568,6.026104369,157946.8831,1.559919982
16.0063969,0.121583475,-0.166217888,0.101705498,41.90618262,6.342653718,157336.8142,1.5538948
16.0063969,0.12285922,-0.166307056,0.118654201,41.72890848,6.555280452,156840.7828,1.548995878
16.0063969,0.124134966,-0.166396225,0.135602903,41.5174398,6.686909529,156485.6165,1.545488174
16.0063969,0.125410712,-0.166485394,0.152551605,41.27400259,6.758621683,156263.6837,1.543296315
16.0063969,0.126686458,-0.166574563,0.169500307,41.01353864,6.789830016,156138.0016,1.542055049
16.0063969,0.127962203,-0.166663732,0.186449009,40.73898739,6.792549628,156072.1905,1.541405083
16.0063969,0.129237949,-0.166752901,0.203397712,40.45274304,6.773003675,156035.346,1.541041199
16.0063969,0.130513695,-0.16684207,0.220346414,40.16092847,6.738831451,156007.9979,1.540771102
16.0063969,0.131789441,-0.166931239,0.237295116,39.86345773,6.69503585,155981.0605,1.540505062
