Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
14.79759502,0.120082,-0.088,1.43E-05,152329.3251,334.8111844,1.504436666,1.161945687
14.79759502,0.121267034,-0.088,0.01696297,160528.4689,334.2321986,1.585413146,1.159936345
14.79759502,0.122452068,-0.088,0.033911638,163175.3677,333.1144405,1.611554479,1.156057221
14.79759502,0.123637102,-0.088,0.050860305,163635.2456,332.2593928,1.616096331,1.15308982
14.79759502,0.124822136,-0.088,0.067808973,163215.7189,331.8504038,1.611952996,1.151670444
14.79759502,0.126007169,-0.088,0.084757641,162886.0386,331.5969018,1.608697004,1.150790678
14.79759502,0.127192203,-0.088,0.101706309,162580.701,331.4112006,1.605681425,1.150146211
14.79759502,0.128377237,-0.088,0.118654976,162233.5897,331.2558226,1.60225328,1.14960698
14.79759502,0.129562271,-0.088,0.135603644,161893.2512,331.1129716,1.598892025,1.149111222
14.79759502,0.130747305,-0.088,0.152552312,161606.3561,330.9885579,1.596058588,1.148679451
14.79759502,0.131932339,-0.088,0.169500979,161384.2954,330.8860662,1.59386547,1.148323758
14.79759502,0.133117373,-0.088,0.186449647,161235.5798,330.8100679,1.592396723,1.14806001
14.79759502,0.134302407,-0.088,0.203398315,161160.4447,330.7625404,1.591654673,1.147895068
14.79759502,0.135487441,-0.088,0.220346983,161144.5525,330.7360241,1.591497718,1.147803044
14.79759502,0.136672475,-0.088,0.23729565,161171.7492,330.7243182,1.591766319,1.14776242
14.79759502,0.137857508,-0.088,0.254244318,161218.6198,330.7187111,1.592229223,1.147742961
14.79759502,0.139042542,-0.088,0.271192986,161271.8523,330.715198,1.592754958,1.147730769
14.79759502,0.140227576,-0.088,0.288141654,161328.0667,330.713054,1.593310143,1.147723328
14.79759502,0.14141261,-0.088,0.305090321,161385.8893,330.7120307,1.593881211,1.147719776
14.79759502,0.142597644,-0.088,0.322038989,161445.0974,330.7123968,1.594465964,1.147721047
14.79759502,0.143782678,-0.088,0.338987657,161505.4683,330.7143969,1.595062199,1.147727988
14.79759502,0.144967712,-0.088,0.355936324,161565.361,330.7171928,1.595653712,1.147737691
14.79759502,0.146152746,-0.088,0.372884992,161623.4098,330.7197047,1.596227015,1.147746409
14.79759502,0.14733778,-0.088,0.38983366,161677.4606,330.7209843,1.596760831,1.14775085
14.79759502,0.148522814,-0.088,0.406782328,161726.0583,330.7211255,1.597240793,1.14775134
14.79759502,0.149707847,-0.088,0.423730995,161767.7671,330.7209877,1.597652718,1.147750861
14.79759502,0.150892881,-0.088,0.440679663,161801.1216,330.7218164,1.597982133,1.147753737
14.79759502,0.152077915,-0.088,0.457628331,161825.1957,330.7252316,1.598219894,1.14776559
14.79759502,0.153262949,-0.088,0.474576998,161840.6223,330.7337958,1.598372251,1.147795311
14.79759502,0.154447983,-0.088,0.491525666,161847.8574,330.7536486,1.598443706,1.147864209
14.79759502,0.155633017,-0.088,0.508474334,161848.1825,330.798194,1.598446917,1.148018802
14.79759502,0.156818051,-0.088,0.525423002,161843.3413,330.8848494,1.598399105,1.148319535
14.79759502,0.158003085,-0.088,0.542371669,161835.7186,331.0341744,1.598323821,1.14883776
14.79759502,0.159188119,-0.088,0.559320337,161829.4884,331.263098,1.59826229,1.149632228
14.79759502,0.160373153,-0.088,0.576269005,161829.3478,331.578951,1.598260902,1.150728381
14.79759502,0.161558186,-0.088,0.593217672,161838.3986,331.9779197,1.598350289,1.152112982
14.79759502,0.16274322,-0.088,0.61016634,161856.8167,332.4477578,1.598532191,1.153743532
14.79759502,0.163928254,-0.088,0.627115008,161882.0633,332.9722124,1.598781532,1.155563625
