Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
19992,16.28,101312.984,101314.656,288,288,120756.219,121290.672,317.086,317.099,1.191912569,1.197168078,1.100993056,1.101038194,0.509105279
19992,16.279,101312.953,101314.898,288,288.001,127980.781,128650.641,317.858,317.909,1.263222295,1.269809708,1.103673611,1.103846862,0.664831452
19992,16.265,101312.992,101315.383,288,288.002,135832.891,136667.312,320.296,320.246,1.340725294,1.34892953,1.112138889,1.111957556,0.780506995
19992,16.227,101313.031,101315.484,288,288.002,143858.016,144322.656,324.052,323.858,1.419935961,1.424487653,1.125180556,1.124499135,0.84630395
19992,16.181,101313.039,101315.57,288,288.002,147947.984,148248.219,326.118,325.932,1.46030546,1.463232344,1.132354167,1.131700474,0.867523595
19992,15.998,101313.242,101314.781,288,288,151836.75,152096.703,328.312,328.11,1.498686124,1.501229154,1.139972222,1.139270833,0.87989115
19992,15.594,101314.062,101316.219,288.001,288.002,155299.844,155517.719,330.864,330.639,1.532855765,1.534973576,1.148829344,1.148044111,0.8767446
19992,15.01,101314.453,101316.211,288,288.001,158509.562,158665.984,333.69,333.509,1.564530601,1.566047352,1.158645833,1.15801334,0.863335473
19992,14.854,101314.328,101315.812,288,288,159098.078,159242.609,334.34,334.176,1.570341344,1.571744882,1.160902778,1.160333333,0.858354536
19992,14.771,101314.289,101315.93,288,288.001,159385.422,159524.5,334.68,334.527,1.573178113,1.574525349,1.162083333,1.16154805,0.855532644
19992,14.667,101314.227,101315.5,288,287.999,159639.406,159774.625,335.087,334.935,1.57568597,1.577000804,1.163496528,1.162972788,0.851232613
19992,14.625,101314.25,101315.852,288,288.001,159743.016,159877.703,335.251,335.101,1.576708272,1.578012718,1.164065972,1.163541099,0.84956498
19992,14.581,101314.211,101315.484,288,288,159840.953,159974.766,335.429,335.278,1.577675544,1.578976477,1.164684028,1.164159722,0.847579277
