Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0073,0.11394,-0.16567,0.00006,87.98369,0.12717,149451.359,1.47512
16.0073,0.11395,-0.16567,0.00019,83.60398,0.12174,146422.656,1.44523
16.0073,0.11396,-0.16567,0.00034,79.24676,0.1535,144814.562,1.42935
16.0073,0.11397,-0.16567,0.00051,75.82174,0.20781,144289.734,1.42417
16.0073,0.11398,-0.16567,0.0007,73.23438,0.27841,144308.547,1.42436
16.0073,0.114,-0.16567,0.00093,71.08062,0.3683,144575.906,1.427
16.0073,0.11402,-0.16567,0.0012,69.10022,0.47927,145003.156,1.43121
16.0073,0.11405,-0.16567,0.00151,67.17382,0.61101,145567.906,1.43679
16.0073,0.11407,-0.16567,0.00188,65.26104,0.76374,146264.25,1.44366
16.0073,0.1141,-0.16568,0.0023,63.37075,0.93491,147077.266,1.45169
16.0073,0.11414,-0.16568,0.00279,61.5361,1.12162,147980,1.4606
16.0073,0.11418,-0.16568,0.00336,59.79335,1.31437,148929.969,1.46997
16.0073,0.11423,-0.16568,0.00402,58.17616,1.5102,149886.578,1.47941
16.0073,0.11429,-0.16569,0.0048,56.69134,1.70581,150813.984,1.48857
16.0073,0.11436,-0.16569,0.00569,55.33507,1.90088,151694.109,1.49726
16.0073,0.11444,-0.16569,0.00674,54.08397,2.10076,152517.5,1.50538
16.0073,0.11453,-0.1657,0.00795,52.91333,2.30177,153280.078,1.51291
16.0073,0.11464,-0.16571,0.00937,51.79456,2.51291,153989.25,1.51991
16.0073,0.11476,-0.16572,0.01101,50.69441,2.73871,154657.344,1.5265
16.0073,0.1149,-0.16573,0.01291,49.58679,2.97732,155289.984,1.53275
16.0073,0.11507,-0.16574,0.01512,48.43359,3.23208,155892.297,1.53869
16.0073,0.11526,-0.16575,0.01768,47.23942,3.5008,156472.031,1.54441
16.0073,0.11549,-0.16576,0.02064,45.9984,3.7776,157017.234,1.5498
16.0073,0.11574,-0.16578,0.02408,44.76499,4.06032,157521.172,1.55477
16.0073,0.11604,-0.1658,0.02805,43.62061,4.34078,157952.25,1.55902
16.0073,0.11639,-0.16583,0.03264,42.70861,4.61681,158248.797,1.56195
16.0073,0.11679,-0.16585,0.03794,42.14325,4.87883,158326.734,1.56272
16.0073,0.11725,-0.16588,0.04403,41.88848,5.1353,158216.469,1.56163
16.0073,0.11777,-0.16592,0.05104,41.79911,5.38835,157993.891,1.55944
16.0073,0.11838,-0.16596,0.05908,41.77787,5.63517,157686.078,1.5564
16.0073,0.11907,-0.16601,0.06826,41.7872,5.87412,157305.453,1.55264
16.0073,0.11986,-0.16606,0.07873,41.80955,6.10215,156861.312,1.54826
16.0073,0.12075,-0.16612,0.09061,41.81687,6.31647,156367.5,1.54338
16.0073,0.12176,-0.16618,0.10406,41.7932,6.50994,155861.109,1.53838
16.0073,0.12291,-0.16626,0.11922,41.72044,6.67657,155406.516,1.5339
16.0073,0.12419,-0.16635,0.13622,41.57504,6.80334,155068.016,1.53056
16.0073,0.12561,-0.16644,0.15519,41.36714,6.89568,154872.062,1.52862
16.0073,0.1272,-0.16655,0.17624,41.09613,6.94482,154796.688,1.52788
16.0073,0.12894,-0.16667,0.19945,40.76661,6.95152,154785.609,1.52777
16.0073,0.13086,-0.1668,0.22484,40.37622,6.91414,154785.047,1.52776
16.0073,0.13293,-0.16694,0.25242,39.92501,6.83207,154779,1.5277
16.0073,0.13517,-0.16709,0.28212,39.4189,6.7139,154770.922,1.52762
16.0073,0.13755,-0.16726,0.31381,38.87289,6.56014,154751.891,1.52744
16.0073,0.14008,-0.16743,0.34731,38.31448,6.37332,154702.812,1.52695
16.0073,0.14271,-0.16762,0.38236,37.75401,6.15348,154617.828,1.52611
16.0073,0.14544,-0.16781,0.41863,37.20941,5.90763,154497,1.52492
16.0073,0.14824,-0.168,0.45576,36.632,5.62574,154353.094,1.5235
