Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0073,0.12,-0.088,0.00006,132422.969,329.39182,1.307064767,1.143721597
16.0073,0.12001,-0.088,0.0002,133599.141,329.57602,1.318674029,1.144361181
16.0073,0.12003,-0.088,0.00036,135356,329.80026,1.336014891,1.145139792
16.0073,0.12004,-0.088,0.00054,137005.719,329.97083,1.352298242,1.145732049
16.0073,0.12005,-0.088,0.00076,138310.812,330.08084,1.365180003,1.146114028
16.0073,0.12007,-0.088,0.00101,139345.328,330.15347,1.375391067,1.146366215
16.0073,0.12009,-0.088,0.0013,140215.328,330.20551,1.383978296,1.14654691
16.0073,0.12011,-0.088,0.00164,140994.5,330.24524,1.391669018,1.146684861
16.0073,0.12014,-0.088,0.00203,141725.922,330.27618,1.39888843,1.146792292
16.0073,0.12017,-0.088,0.00249,142434.094,330.30032,1.405878355,1.146876111
16.0073,0.12021,-0.088,0.00302,143133.75,330.31769,1.412784224,1.146936424
16.0073,0.12025,-0.088,0.00363,143834.047,330.32767,1.41969642,1.146971076
16.0073,0.1203,-0.088,0.00434,144540.938,330.33069,1.426673702,1.146981563
16.0073,0.12036,-0.088,0.00517,145257.469,330.3244,1.433746134,1.146959722
16.0073,0.12043,-0.088,0.00613,145986.188,330.30847,1.440938866,1.14690441
16.0073,0.12051,-0.088,0.00724,146727.922,330.28033,1.448260061,1.146806701
16.0073,0.1206,-0.088,0.00853,147483.875,330.2392,1.455721603,1.146663889
16.0073,0.1207,-0.088,0.01002,148254.578,330.18234,1.463328732,1.146466458
16.0073,0.12082,-0.088,0.01175,149040.75,330.10812,1.471088547,1.14620875
16.0073,0.12096,-0.088,0.01376,149842.609,330.01389,1.479003199,1.145881563
16.0073,0.12113,-0.088,0.01608,150659.094,329.89639,1.487062214,1.145473576
16.0073,0.12131,-0.088,0.01876,151486.141,329.7522,1.495225481,1.144972917
16.0073,0.12153,-0.088,0.02185,152313.438,329.57755,1.503391215,1.144366493
16.0073,0.12178,-0.088,0.02543,153122.516,329.36661,1.511377121,1.143634063
16.0073,0.12207,-0.088,0.02955,153883.781,329.11435,1.518891094,1.14275816
16.0073,0.1224,-0.088,0.03429,154554.828,328.81915,1.525514582,1.14173316
