Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
19992,16.245,101312.688,101315.242,288,288.002,120672.188,121156.672,317.168,317.042,1.191086629,1.195838549,1.101277778,1.100832633,0.50807813
19992,16.24,101312.688,101315.234,288,288.002,127850.43,128436.906,318.12,317.965,1.261938978,1.267695893,1.104583333,1.104037472,0.660629742
19992,16.224,101312.719,101315.211,288,288.002,135614.062,136285.25,320.442,320.222,1.338568971,1.345160797,1.112645833,1.111874223,0.776619398
19992,16.177,101312.758,101315.203,288,288.002,143689.625,144066.641,324.265,323.99,1.418277696,1.421964688,1.125920139,1.124957466,0.840246951
19992,16.103,101312.961,101314.766,288,288,147768.703,148064.266,326.376,326.121,1.458537008,1.461428298,1.13325,1.132364583,0.860257047
19992,16.017,101312.906,101314.414,288,287.999,149722.969,150003.969,327.489,327.232,1.477827208,1.480578756,1.137114583,1.136226167,0.866624175
19992,15.865,101313.273,101315.039,288,288,151543.344,151817.75,328.715,328.441,1.495789639,1.498472009,1.141371528,1.140420139,0.868272054
19992,15.459,101314.07,101315.688,288.001,288,155036.781,155271.109,331.321,331.039,1.530259134,1.532547546,1.150416144,1.149440972,0.864888159
19992,14.843,101314.102,101315.773,288,288,158264.578,158463.656,334.44,334.172,1.562117957,1.564057119,1.16125,1.160319444,0.847792008
19992,14.776,101314.125,101315.477,288,288,158495.938,158691.266,334.742,334.474,1.564401193,1.566308235,1.162298611,1.161368056,0.845220971
19992,14.666,101314.109,101315.727,288,288,158828.266,159016.609,335.216,334.951,1.567681615,1.56951555,1.163944444,1.163024306,0.840807078
19992,14.545,101314.016,101315.484,288,288,159049.391,159234.234,335.683,335.415,1.569865625,1.571667308,1.165565972,1.164635417,0.835326747
19992,14.439,101314.047,101315.562,288,288,159121.562,159307.797,336.08,335.798,1.570577494,1.572392176,1.166944444,1.165965278,0.829521224
19992,14.367,101314.102,101315.953,288,288.001,159076.719,159265.094,336.304,336.005,1.570134027,1.571964624,1.167722222,1.166679977,0.825413666
