Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0272,0.11394,-0.16567,0.00006,87.87476,0.14257,146589.469,1.44688
16.0272,0.11395,-0.16567,0.00019,83.1584,0.15756,143828.484,1.41963
16.0272,0.11396,-0.16567,0.00034,78.51933,0.20245,142420.641,1.40573
16.0272,0.11397,-0.16567,0.00051,75.2575,0.26488,142013.234,1.40171
16.0272,0.11398,-0.16567,0.0007,73.09764,0.34263,142050.781,1.40208
16.0272,0.114,-0.16567,0.00093,71.36055,0.43786,142278.406,1.40433
16.0272,0.11402,-0.16567,0.0012,69.74216,0.55072,142638.578,1.40788
16.0272,0.11405,-0.16567,0.00151,68.13893,0.68214,143115.609,1.41259
16.0272,0.11407,-0.16567,0.00188,66.5129,0.83375,143710.312,1.41846
16.0272,0.1141,-0.16568,0.0023,64.85991,1.00456,144420.125,1.42546
16.0272,0.11414,-0.16568,0.00279,63.19398,1.19375,145237.5,1.43353
16.0272,0.11418,-0.16568,0.00336,61.53541,1.39399,146140.359,1.44244
16.0272,0.11423,-0.16568,0.00402,59.91324,1.60267,147104.781,1.45196
16.0272,0.11429,-0.16569,0.0048,58.34207,1.81629,148102.766,1.46181
16.0272,0.11436,-0.16569,0.00569,56.83211,2.03131,149111.234,1.47177
16.0272,0.11444,-0.16569,0.00674,55.37838,2.2508,150111.297,1.48164
16.0272,0.11453,-0.1657,0.00795,53.96819,2.4689,151084.312,1.49124
16.0272,0.11464,-0.16571,0.00937,52.587,2.69322,152017.203,1.50045
16.0272,0.11476,-0.16572,0.01101,51.2188,2.92813,152903.266,1.5092
16.0272,0.1149,-0.16573,0.01291,49.84447,3.17054,153725.312,1.51731
16.0272,0.11507,-0.16574,0.01512,48.43823,3.4251,154481.531,1.52477
16.0272,0.11526,-0.16575,0.01768,47.0098,3.69062,155170.641,1.53158
16.0272,0.11549,-0.16576,0.02064,45.54409,3.96345,155793.266,1.53772
16.0272,0.11574,-0.16578,0.02408,44.09144,4.24067,156350.359,1.54322
16.0272,0.11604,-0.1658,0.02805,42.73958,4.51702,156802.703,1.54768
16.0272,0.11639,-0.16583,0.03264,41.67774,4.78803,157111.797,1.55073
16.0272,0.11679,-0.16585,0.03794,41.04697,5.04364,157252.547,1.55212
16.0272,0.11725,-0.16588,0.04403,40.7808,5.29377,157244.391,1.55204
16.0272,0.11777,-0.16592,0.05104,40.69805,5.53974,157096.031,1.55058
16.0272,0.11838,-0.16596,0.05908,40.69888,5.77839,156795.391,1.54761
16.0272,0.11907,-0.16601,0.06826,40.74634,6.00719,156355.75,1.54327
16.0272,0.11986,-0.16606,0.07873,40.81911,6.22177,155808.438,1.53787
16.0272,0.12075,-0.16612,0.09061,40.87997,6.42209,155187.594,1.53174
