Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0272,0.12,-0.088,0.00006,130066.203,335.44614,1.283806853,1.164743542
16.0272,0.12001,-0.088,0.0002,131642.422,335.57916,1.299364782,1.165205417
16.0272,0.12003,-0.088,0.00036,133691.594,335.51263,1.319590951,1.16497441
16.0272,0.12004,-0.088,0.00054,135255.438,335.22009,1.335026734,1.163958646
16.0272,0.12005,-0.088,0.00076,136335.25,334.86102,1.345684922,1.162711875
16.0272,0.12007,-0.088,0.00101,137196.219,334.5144,1.35418304,1.161508333
16.0272,0.12009,-0.088,0.0013,137961.938,334.18277,1.361741001,1.16035684
16.0272,0.12011,-0.088,0.00164,138681.266,333.86084,1.368841064,1.159239028
16.0272,0.12014,-0.088,0.00203,139375.938,333.54492,1.375697762,1.158142083
16.0272,0.12017,-0.088,0.00249,140057.328,333.23373,1.382423361,1.157061563
16.0272,0.12021,-0.088,0.00302,140732.281,332.92584,1.389085424,1.1559925
16.0272,0.12025,-0.088,0.00363,141405.484,332.62061,1.395730214,1.154932674
16.0272,0.1203,-0.088,0.00434,142080.031,332.31714,1.40238827,1.153878958
16.0272,0.12036,-0.088,0.00517,142758.562,332.01294,1.40908565,1.152822708
16.0272,0.12043,-0.088,0.00613,143444.547,331.7048,1.415856604,1.151752778
16.0272,0.12051,-0.088,0.00724,144142.156,331.38712,1.422742291,1.150649722
16.0272,0.1206,-0.088,0.00853,144858.016,331.05307,1.429808123,1.149489826
16.0272,0.1207,-0.088,0.01002,145600.469,330.69296,1.437136439,1.148239444
16.0272,0.12082,-0.088,0.01175,146380.172,330.29849,1.444832428,1.146869757
16.0272,0.12096,-0.088,0.01376,147208.031,329.86426,1.453003737,1.145362014
16.0272,0.12113,-0.088,0.01608,148091.625,329.39215,1.461725173,1.143722743
16.0272,0.12131,-0.088,0.01876,149029.953,328.89584,1.470986855,1.141999444
16.0272,0.12153,-0.088,0.02185,150010.719,328.40186,1.480667419,1.140284236
16.0272,0.12178,-0.088,0.02543,151007.719,327.95044,1.490508218,1.138716806
16.0272,0.12207,-0.088,0.02955,151983.109,327.58685,1.500135718,1.13745434
16.0272,0.1224,-0.088,0.03429,152881.453,327.34814,1.509002742,1.136625486
16.0272,0.12278,-0.088,0.03975,153618.047,327.24487,1.516273228,1.13626691
16.0272,0.12322,-0.088,0.04601,154092.828,327.23282,1.520959511,1.136225069
16.0272,0.12372,-0.088,0.05318,154257.344,327.21909,1.522583352,1.136177396
16.0272,0.1243,-0.088,0.06139,154181.922,327.11551,1.521838906,1.135817743
16.0272,0.12495,-0.088,0.07074,154000.609,326.90189,1.520049272,1.135076007
16.0272,0.1257,-0.088,0.08137,153773.109,326.64066,1.517803753,1.134168958
16.0272,0.12654,-0.088,0.09342,153453.891,326.39417,1.514652941,1.13331309
16.0272,0.12749,-0.088,0.10703,153018.406,326.16397,1.510354525,1.132513785
16.0272,0.12856,-0.088,0.12233,152541.75,325.93491,1.505649734,1.131718438
