Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
19992,16.256,101312.727,101314.766,288,288.001,120797.461,121482.633,317.059,317.058,1.192322668,1.199061477,1.100899306,1.100892011,0.510867284
19992,16.252,101312.734,101315.016,288,288.002,127921.898,128611.039,318.003,317.965,1.262643825,1.269417349,1.104177083,1.104037472,0.662268746
19992,16.234,101312.734,101315.18,288,288.002,135709.781,136471.422,320.348,320.238,1.33951356,1.346998762,1.112319444,1.111929778,0.778191253
19992,16.184,101312.812,101315.266,288,288.002,143742.422,144182.125,324.109,323.902,1.418798069,1.423103652,1.125378472,1.124651912,0.843235768
19992,16.103,101312.914,101314.539,288,288,147785.953,148125.531,326.22,326.014,1.458707949,1.462036273,1.132708333,1.131993056,0.862961027
19992,15.97,101313.219,101314.812,288.001,288,150058.922,150380.516,327.605,327.374,1.481138626,1.484289543,1.137513411,1.136715278,0.868755203
19992,15.834,101313.477,101315.398,288.001,288.001,151473.922,151781.75,328.598,328.35,1.495101407,1.498111373,1.140961316,1.140100208,0.869201917
19992,15.387,101314.18,101315.969,288.001,288.001,154847.906,155083.938,331.175,330.927,1.528393222,1.530695897,1.149909202,1.149048094,0.864527284
19992,15.037,101314.258,101316.094,288.001,288.001,156771.219,156959.438,332.858,332.651,1.547375681,1.549205381,1.155752931,1.155034184,0.856870947
19992,14.894,101314.195,101315.781,288,288.001,157376.891,157552.391,333.486,333.294,1.553354799,1.555062691,1.1579375,1.157266815,0.852648017
19992,14.69,101314.133,101315.641,288,288,157890.969,158071.156,334.335,334.131,1.558429849,1.560185125,1.160885417,1.160177083,0.843757717
19992,14.428,101314.117,101315.828,288,288.001,158305.438,158496.188,335.382,335.149,1.562521026,1.564377365,1.164520833,1.163707765,0.830756429
19992,14.182,101314.281,101316.07,288,288.001,158292.047,158498.625,336.206,335.927,1.562386323,1.564397681,1.167381944,1.166409144,0.817102311
