Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9801,0.11394,-0.16567,0.00006,87.434,0.12287,148198.312,1.46275
15.9801,0.11395,-0.16567,0.00019,81.97967,0.13904,145417.969,1.43531
15.9801,0.11396,-0.16567,0.00034,77.0098,0.1826,144169.891,1.42299
15.9801,0.11397,-0.16567,0.00051,73.72397,0.24089,143900.5,1.42033
15.9801,0.11398,-0.16567,0.0007,71.59051,0.31159,144011.641,1.42143
15.9801,0.114,-0.16567,0.00093,69.884,0.39608,144284.125,1.42412
15.9801,0.11402,-0.16567,0.0012,68.31508,0.49638,144668.891,1.42791
15.9801,0.11405,-0.16567,0.00151,66.78567,0.61339,145151.516,1.43268
15.9801,0.11407,-0.16567,0.00188,65.25917,0.74796,145730.234,1.43839
15.9801,0.1141,-0.16568,0.0023,63.72713,0.89997,146400.938,1.44501
15.9801,0.11414,-0.16568,0.00279,62.19667,1.06928,147156.734,1.45247
15.9801,0.11418,-0.16568,0.00336,60.67876,1.25037,147979.016,1.46059
15.9801,0.11423,-0.16568,0.00402,59.19206,1.44211,148850.25,1.46919
15.9801,0.11429,-0.16569,0.0048,57.74311,1.64183,149744.891,1.47802
15.9801,0.11436,-0.16569,0.00569,56.3426,1.84663,150643.422,1.48688
15.9801,0.11444,-0.16569,0.00674,54.98411,2.05908,151524.312,1.49558
15.9801,0.11453,-0.1657,0.00795,53.65886,2.27436,152365.984,1.50389
15.9801,0.11464,-0.16571,0.00937,52.3591,2.49834,153152.547,1.51165
15.9801,0.11476,-0.16572,0.01101,51.06778,2.73552,153871.453,1.51875
15.9801,0.1149,-0.16573,0.01291,49.77976,2.98,154513.25,1.52508
15.9801,0.11507,-0.16574,0.01512,48.46471,3.23768,155084.688,1.53072
15.9801,0.11526,-0.16575,0.01768,47.12645,3.50806,155603.344,1.53584
15.9801,0.11549,-0.16576,0.02064,45.74902,3.78673,156078.953,1.54053
15.9801,0.11574,-0.16578,0.02408,44.3779,4.07165,156530.484,1.54499
15.9801,0.11604,-0.1658,0.02805,43.08935,4.35821,156937.016,1.549
15.9801,0.11639,-0.16583,0.03264,42.06352,4.63941,157253.172,1.55212
15.9801,0.11679,-0.16585,0.03794,41.4459,4.90365,157420.031,1.55377
15.9801,0.11725,-0.16588,0.04403,41.17778,5.16269,157442.422,1.55399
15.9801,0.11777,-0.16592,0.05104,41.08267,5.41717,157319.266,1.55278
15.9801,0.11838,-0.16596,0.05908,41.05526,5.6628,157029.938,1.54992
15.9801,0.11907,-0.16601,0.06826,41.06222,5.89641,156584.797,1.54553
15.9801,0.11986,-0.16606,0.07873,41.08835,6.1156,156030.5,1.54006
15.9801,0.12075,-0.16612,0.09061,41.10098,6.32091,155425.891,1.53409
15.9801,0.12176,-0.16618,0.10406,41.08226,6.50673,154835.547,1.52826
15.9801,0.12291,-0.16626,0.11922,41.00917,6.66959,154324.266,1.52322
15.9801,0.12419,-0.16635,0.13622,40.85411,6.79463,153944.047,1.51946
15.9801,0.12561,-0.16644,0.15519,40.63109,6.8866,153712.266,1.51717
15.9801,0.1272,-0.16655,0.17624,40.34716,6.93557,153610,1.51617
15.9801,0.12894,-0.16667,0.19945,40.0106,6.94257,153579.594,1.51587
15.9801,0.13086,-0.1668,0.22484,39.61848,6.90344,153545.625,1.51553
15.9801,0.13293,-0.16694,0.25242,39.16843,6.81511,153481.875,1.5149
15.9801,0.13517,-0.16709,0.28212,38.66577,6.68676,153402.438,1.51412
15.9801,0.13755,-0.16726,0.31381,38.12683,6.52155,153317.156,1.51327
15.9801,0.14008,-0.16743,0.34731,37.57471,6.32539,153224.062,1.51236
15.9801,0.14271,-0.16762,0.38236,37.01445,6.10394,153113.141,1.51126
15.9801,0.14544,-0.16781,0.41863,36.46723,5.86829,152967.688,1.50983
15.9801,0.14824,-0.168,0.45576,35.88403,5.59793,152802.734,1.5082
15.9801,0.15107,-0.1682,0.49334,35.29313,5.31848,152643.906,1.50663
15.9801,0.1539,-0.16841,0.53093,34.76209,5.06126,152496.609,1.50518
15.9801,0.1567,-0.16861,0.5681,34.27053,4.80834,152363.125,1.50386
15.9801,0.15943,-0.16881,0.60444,33.82578,4.55614,152231.016,1.50255
15.9801,0.16208,-0.169,0.63958,33.47824,4.33183,152097.812,1.50124
15.9801,0.16461,-0.16919,0.67319,33.22743,4.13885,151967.75,1.49996
15.9801,0.167,-0.16936,0.705,33.05786,3.97496,151857.297,1.49887
15.9801,0.16925,-0.16953,0.73483,32.97654,3.84406,151772.766,1.49803
15.9801,0.17133,-0.16968,0.76254,32.95488,3.72793,151717.688,1.49749
15.9801,0.17325,-0.16982,0.78807,33.04421,3.63861,151706.219,1.49737
15.9801,0.17501,-0.16995,0.8114,33.3274,3.58344,151781.094,1.49811
15.9801,0.1766,-0.17007,0.83257,33.95883,3.56224,152008.281,1.50036
15.9801,0.17804,-0.17018,0.85166,35.16831,3.57004,152521.531,1.50542
15.9801,0.17933,-0.17027,0.86877,36.8492,3.57772,153396.25,1.51406
15.9801,0.18048,-0.17036,0.88402,38.44587,3.57567,154277.734,1.52276
15.9801,0.1815,-0.17043,0.89756,39.5802,3.57339,154586.812,1.52581
15.9801,0.1824,-0.1705,0.90953,40.37134,3.59024,154170.297,1.5217
15.9801,0.18319,-0.17056,0.92006,41.10161,3.61554,153232.062,1.51243
15.9801,0.18389,-0.17061,0.92931,41.91413,3.63379,151963.516,1.49991
15.9801,0.1845,-0.17065,0.9374,42.81645,3.64758,150519.234,1.48566
15.9801,0.18503,-0.17069,0.94447,43.80798,3.66152,149051.391,1.47117
15.9801,0.18549,-0.17072,0.95063,44.90878,3.67082,147622.828,1.45707
15.9801,0.18589,-0.17075,0.95598,46.11035,3.67609,146273.078,1.44375
15.9801,0.18624,-0.17078,0.96063,47.35023,3.6752,145048.359,1.43166
15.9801,0.18655,-0.1708,0.96466,48.56697,3.66477,143972.234,1.42104
15.9801,0.18681,-0.17082,0.96814,49.71712,3.64018,143044.406,1.41188
15.9801,0.18704,-0.17084,0.97116,50.77725,3.60105,142252.328,1.40406
15.9801,0.18723,-0.17085,0.97377,51.73693,3.54912,141578.703,1.39741
15.9801,0.1874,-0.17086,0.97602,52.59439,3.48715,141005.656,1.39176
15.9801,0.18755,-0.17087,0.97796,53.35454,3.41858,140516.859,1.38693
15.9801,0.18767,-0.17088,0.97963,54.02343,3.34686,140097.984,1.3828
15.9801,0.18778,-0.17089,0.98107,54.61012,3.27476,139737.25,1.37924
15.9801,0.18788,-0.1709,0.98232,55.12301,3.20394,139425.625,1.37616
15.9801,0.18796,-0.1709,0.98339,55.57102,3.13656,139154.984,1.37349
15.9801,0.18803,-0.17091,0.98431,55.96195,3.07348,138919.547,1.37117
15.9801,0.18809,-0.17091,0.9851,56.30215,3.01552,138714.234,1.36914
15.9801,0.18814,-0.17091,0.98578,56.59797,2.96293,138534.781,1.36737
15.9801,0.18818,-0.17092,0.98637,56.85491,2.91555,138378.516,1.36583
15.9801,0.18822,-0.17092,0.98687,57.07815,2.87332,138241.984,1.36448
15.9801,0.18825,-0.17092,0.98731,57.27179,2.83606,138122.484,1.3633
15.9801,0.18828,-0.17092,0.98768,57.43928,2.80305,138018.688,1.36228
15.9801,0.1883,-0.17093,0.988,57.5845,2.77395,137928.172,1.36138
15.9801,0.18832,-0.17093,0.98828,57.70981,2.74861,137849.141,1.3606
15.9801,0.18834,-0.17093,0.98851,57.81889,2.72635,137780.672,1.35993
15.9801,0.18836,-0.17093,0.98872,57.9124,2.70688,137721.328,1.35934
15.9801,0.18837,-0.17093,0.98889,57.99348,2.69021,137669.328,1.35883
15.9801,0.18838,-0.17093,0.98904,58.06341,2.67555,137624.828,1.35839
15.9801,0.18839,-0.17093,0.98917,58.12475,2.66287,137585,1.35799
15.9801,0.1884,-0.17093,0.98929,58.18336,2.6502,137547.672,1.35763
15.9801,0.18841,-0.17093,0.98943,58.24923,2.63671,137503.594,1.35719
15.9801,0.18842,-0.17093,0.9896,58.333,2.61885,137449.656,1.35666
15.9801,0.18844,-0.17094,0.98983,58.44021,2.59593,137379.609,1.35597
15.9801,0.18846,-0.17094,0.99011,58.57505,2.56716,137289.938,1.35508
15.9801,0.18849,-0.17094,0.99046,58.74442,2.53084,137176.25,1.35396
15.9801,0.18852,-0.17094,0.99089,58.95286,2.48589,137033.75,1.35255
15.9801,0.18856,-0.17094,0.9914,59.20556,2.43114,136857.266,1.35081
15.9801,0.1886,-0.17095,0.99199,59.50466,2.36623,136641.047,1.34868
15.9801,0.18866,-0.17095,0.99267,59.85055,2.29118,136379.719,1.3461
15.9801,0.18871,-0.17095,0.99341,60.23908,2.20687,136068.047,1.34302
15.9801,0.18877,-0.17096,0.9942,60.66194,2.11554,135701,1.3394
15.9801,0.18883,-0.17096,0.995,61.10526,2.02131,135273.938,1.33518
15.9801,0.18889,-0.17097,0.99578,61.55212,1.92753,134782.875,1.33034
15.9801,0.18895,-0.17097,0.99652,61.98316,1.83809,134222.984,1.32481
15.9801,0.189,-0.17098,0.9972,62.38009,1.75759,133590.578,1.31857
15.9801,0.18904,-0.17098,0.99779,62.72678,1.68934,132885.641,1.31161
15.9801,0.18908,-0.17098,0.99831,63.01186,1.63481,132107.031,1.30393
15.9801,0.18911,-0.17099,0.99873,63.23131,1.59364,131249.062,1.29546
15.9801,0.18914,-0.17099,0.99908,63.38683,1.566,130283.453,1.28593
15.9801,0.18916,-0.17099,0.99937,63.48204,1.55047,129102.523,1.27427
15.9801,0.18918,-0.17099,0.99959,63.51401,1.54919,127424.711,1.25771
15.9801,0.18919,-0.17099,0.99976,63.48919,1.56986,125246.023,1.23621
15.9801,0.1892,-0.17099,0.9999,63.45027,1.6754,123605.008,1.22001
14.6972,0.11394,-0.16567,0.00006,87.52803,0.12193,156989.25,1.54952
14.6972,0.11395,-0.16567,0.00019,82.3114,0.13527,154437.422,1.52433
14.6972,0.11396,-0.16567,0.00034,77.5748,0.17498,153273.938,1.51285
14.6972,0.11397,-0.16567,0.00051,74.43219,0.22858,153017.281,1.51031
14.6972,0.11398,-0.16567,0.0007,72.41051,0.29422,153118.5,1.51131
14.6972,0.114,-0.16567,0.00093,70.81264,0.37323,153371.172,1.51381
14.6972,0.11402,-0.16567,0.0012,69.35496,0.46707,153730.797,1.51736
14.6972,0.11405,-0.16567,0.00151,67.94066,0.57673,154182.406,1.52182
14.6972,0.11407,-0.16567,0.00188,66.53422,0.70313,154722.938,1.52715
