Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9801,0.12,-0.088,0.00006,130693.047,329.30264,1.289990075,1.143407974
15.9801,0.12001,-0.088,0.0002,132314.281,329.53778,1.305992271,1.14422443
15.9801,0.12003,-0.088,0.00036,134378.219,329.7695,1.326364124,1.14502901
15.9801,0.12004,-0.088,0.00054,135921.75,329.91278,1.341599362,1.145526509
15.9801,0.12005,-0.088,0.00076,136985.344,329.99442,1.35209744,1.14580998
15.9801,0.12007,-0.088,0.00101,137837.594,330.05109,1.360509471,1.14600675
15.9801,0.12009,-0.088,0.0013,138597.188,330.09528,1.368006953,1.146160187
15.9801,0.12011,-0.088,0.00164,139310.922,330.1315,1.375051779,1.14628595
15.9801,0.12014,-0.088,0.00203,140000.156,330.16052,1.38185478,1.146386714
15.9801,0.12017,-0.088,0.00249,140676.172,330.18356,1.388527315,1.146466714
15.9801,0.12021,-0.088,0.00302,141346.062,330.19974,1.395139385,1.146522894
15.9801,0.12025,-0.088,0.00363,142014.469,330.20871,1.401736816,1.14655404
15.9801,0.1203,-0.088,0.00434,142685.328,330.20996,1.408358449,1.14655838
15.9801,0.12036,-0.088,0.00517,143361.031,330.20197,1.415027895,1.146530637
15.9801,0.12043,-0.088,0.00613,144044.844,330.18393,1.421777389,1.146467998
15.9801,0.12051,-0.088,0.00724,144740.094,330.15408,1.428639771,1.146364353
15.9801,0.1206,-0.088,0.00853,145451.516,330.11111,1.435661777,1.146215152
15.9801,0.1207,-0.088,0.01002,146184.438,330.05273,1.442895996,1.146012444
15.9801,0.12082,-0.088,0.01175,146945.375,329.97693,1.450406733,1.145749251
15.9801,0.12096,-0.088,0.01376,147740.734,329.88086,1.458257229,1.145415676
15.9801,0.12113,-0.088,0.01608,148575.625,329.76028,1.466497921,1.144996997
15.9801,0.12131,-0.088,0.01876,149452.062,329.61035,1.475148687,1.144476408
15.9801,0.12153,-0.088,0.02185,150366.125,329.42557,1.484170837,1.143834813
15.9801,0.12178,-0.088,0.02543,151305.891,329.19821,1.493446684,1.143045371
15.9801,0.12207,-0.088,0.02955,152244.391,328.9213,1.502710036,1.142083882
15.9801,0.1224,-0.088,0.03429,153130.547,328.59024,1.511456733,1.140934372
15.9801,0.12278,-0.088,0.03975,153894.422,328.20953,1.51899647,1.139612467
15.9801,0.12322,-0.088,0.04601,154453.016,327.80566,1.524510005,1.138210145
15.9801,0.12372,-0.088,0.05318,154743.609,327.44131,1.527378268,1.136945045
15.9801,0.1243,-0.088,0.06139,154779.984,327.17117,1.527737303,1.136007062
15.9801,0.12495,-0.088,0.07074,154634.422,326.96964,1.526300551,1.135307308
15.9801,0.1257,-0.088,0.08137,154353.25,326.76733,1.523525277,1.134604845
15.9801,0.12654,-0.088,0.09342,153950.062,326.53546,1.519545658,1.133799744
15.9801,0.12749,-0.088,0.10703,153476.953,326.29181,1.514875892,1.13295374
15.9801,0.12856,-0.088,0.12233,153021.734,326.06229,1.510382707,1.132156798
15.9801,0.12976,-0.088,0.13946,152655.828,325.8721,1.506771076,1.131496418
15.9801,0.1311,-0.088,0.15853,152410.438,325.73752,1.504348983,1.131029128
15.9801,0.13258,-0.088,0.17965,152275.016,325.65628,1.503012317,1.130747046
15.9801,0.1342,-0.088,0.20287,152206.391,325.6062,1.502334962,1.130573158
15.9801,0.13598,-0.088,0.22824,152156.359,325.56235,1.501841127,1.130420901
15.9801,0.1379,-0.088,0.25573,152098.641,325.51254,1.501271428,1.130247951
15.9801,0.13997,-0.088,0.28527,152032.375,325.45886,1.500617358,1.130061562
15.9801,0.14217,-0.088,0.31675,151966.297,325.40863,1.499965143,1.129887153
15.9801,0.1445,-0.088,0.34996,151900.016,325.36566,1.499310924,1.129737952
15.9801,0.14693,-0.088,0.38465,151818.734,325.32376,1.49850864,1.129592467
15.9801,0.14944,-0.088,0.4205,151711.391,325.27185,1.497449124,1.129412224
15.9801,0.152,-0.088,0.45717,151587.25,325.20895,1.496223805,1.129193822
