Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.3622,0.1143,-0.16017,0.00006,76.26732,4.16877,123809.031,1.22197
14.3622,0.11431,-0.16017,0.00019,74.90981,4.28106,134202.656,1.32455
14.3622,0.11432,-0.16017,0.00034,73.51106,4.32883,143613.469,1.41744
14.3622,0.11433,-0.16017,0.00051,72.19756,4.38133,148782.5,1.46845
14.3622,0.11435,-0.16018,0.00072,71.05103,4.43673,151509.031,1.49536
14.3622,0.11436,-0.16018,0.00096,70.01822,4.47764,153026.781,1.51034
14.3622,0.11438,-0.16018,0.00123,69.05014,4.49981,153921.438,1.51917
14.3622,0.11441,-0.16018,0.00155,68.11624,4.50836,154499.547,1.52488
14.3622,0.11444,-0.16018,0.00193,67.1957,4.50733,154930.469,1.52913
14.3622,0.11447,-0.16018,0.00236,66.27215,4.49951,155305.812,1.53284
14.3622,0.11451,-0.16019,0.00286,65.33031,4.48745,155678.047,1.53651
14.3622,0.11455,-0.16019,0.00345,64.35638,4.47383,156077.656,1.54046
14.3622,0.1146,-0.1602,0.00413,63.33979,4.46127,156523.688,1.54486
14.3622,0.11466,-0.1602,0.00492,62.27567,4.45232,157025.844,1.54981
14.3622,0.11473,-0.16021,0.00585,61.16889,4.44922,157585.766,1.55534
14.3622,0.11481,-0.16022,0.00691,60.03707,4.45234,158194.641,1.56135
14.3622,0.1149,-0.16022,0.00816,58.91008,4.46066,158831.688,1.56764
14.3622,0.11501,-0.16024,0.0096,57.82316,4.47432,159467.531,1.57391
14.3622,0.11514,-0.16025,0.01127,56.80032,4.49166,160073.453,1.57989
14.3622,0.11528,-0.16026,0.01321,55.83926,4.51151,160632.172,1.58541
14.3622,0.11545,-0.16028,0.01546,54.91532,4.53707,161134.969,1.59037
14.3622,0.11565,-0.1603,0.01806,54.00067,4.57202,161577.719,1.59474
14.3622,0.11587,-0.16032,0.02107,53.07927,4.62012,161956.453,1.59848
14.3622,0.11614,-0.16035,0.02456,52.15416,4.6852,162270.125,1.60157
14.3622,0.11644,-0.16038,0.02859,51.25392,4.76887,162521.312,1.60405
14.3622,0.11679,-0.16042,0.03323,50.42871,4.86923,162717.297,1.60599
14.3622,0.11719,-0.16046,0.03858,49.73798,4.98206,162875.547,1.60755
14.3622,0.11765,-0.1605,0.04473,49.22719,5.10409,163021.938,1.60899
14.3622,0.11818,-0.16056,0.05179,48.90266,5.23408,163172.75,1.61048
14.3622,0.11879,-0.16062,0.05987,48.72548,5.37573,163317.797,1.61191
14.3622,0.11948,-0.16069,0.06911,48.64433,5.53424,163422.328,1.61295
14.3622,0.12027,-0.16077,0.07963,48.62582,5.70721,163437.562,1.6131
14.3622,0.12117,-0.16086,0.09158,48.63796,5.89519,163324.844,1.61198
14.3622,0.12218,-0.16096,0.1051,48.64057,6.09274,163067.469,1.60944
14.3622,0.12333,-0.16108,0.12033,48.5955,6.29073,162672.922,1.60555
14.3622,0.12461,-0.16121,0.13741,48.48003,6.48456,162169.281,1.60058
14.3622,0.12604,-0.16136,0.15646,48.28357,6.66667,161611.375,1.59507
14.3622,0.12762,-0.16152,0.17758,47.99841,6.8318,161082.75,1.58986
14.3622,0.12937,-0.1617,0.20086,47.62876,6.97719,160670.781,1.58579
14.3622,0.13128,-0.1619,0.22633,47.18864,7.0975,160430.281,1.58342
14.3622,0.13336,-0.16211,0.25396,46.68918,7.18266,160357.953,1.5827
14.3622,0.13559,-0.16235,0.28371,46.13206,7.22603,160391.281,1.58303
14.3622,0.13797,-0.1626,0.31544,45.52273,7.22475,160459.938,1.58371
14.3622,0.14049,-0.16286,0.34895,44.87485,7.17881,160530.391,1.5844
14.3622,0.14312,-0.16314,0.38398,44.19668,7.09186,160596.5,1.58506
14.3622,0.14584,-0.16343,0.42022,43.49385,6.97114,160666.312,1.58575
14.3622,0.14862,-0.16373,0.45728,42.77305,6.82398,160764.875,1.58672
14.3622,0.15143,-0.16404,0.49477,42.08296,6.65813,160900.859,1.58806
14.3622,0.15425,-0.16435,0.53226,41.57359,6.48646,161079.344,1.58982
14.3622,0.15703,-0.16465,0.56932,41.43169,6.3147,161330.047,1.5923
14.3622,0.15975,-0.16495,0.60554,41.73997,6.13578,161655.625,1.59551
14.3622,0.16238,-0.16524,0.64056,42.34489,5.93977,162031.281,1.59922
14.3622,0.16489,-0.16552,0.67405,42.95476,5.72968,162431.094,1.60316
14.3622,0.16727,-0.16579,0.70576,43.44729,5.51094,162845.031,1.60725
14.3622,0.1695,-0.16604,0.73548,43.89504,5.29525,163288.453,1.61163
14.3622,0.17158,-0.16627,0.7631,44.44,5.12039,163728.078,1.61596
14.3622,0.17349,-0.16649,0.78854,45.22368,5.02038,164011.781,1.61876
14.3622,0.17523,-0.16668,0.8118,46.2618,4.99347,163970.203,1.61835
14.3622,0.17682,-0.16686,0.83291,47.45398,5.01404,163572.5,1.61443
14.3622,0.17825,-0.16702,0.85195,48.72826,5.04914,162931,1.6081
14.3622,0.17953,-0.16716,0.86901,50.1303,5.07482,162243.375,1.60131
14.3622,0.18067,-0.16729,0.88423,51.74048,5.08968,161741.078,1.59635
14.3622,0.18168,-0.1674,0.89773,53.53698,5.09064,161585.375,1.59482
14.3622,0.18258,-0.1675,0.90967,55.41652,5.06958,161815.734,1.59709
14.3622,0.18337,-0.16759,0.92019,57.25374,5.02751,162369.594,1.60256
14.3622,0.18406,-0.16766,0.92942,58.94408,4.96591,163132.891,1.61009
14.3622,0.18467,-0.16773,0.9375,60.43807,4.88535,163997,1.61862
14.3622,0.1852,-0.16779,0.94455,61.72708,4.79231,164876.25,1.6273
14.3622,0.18566,-0.16784,0.9507,62.82474,4.69352,165711.531,1.63554
14.3622,0.18606,-0.16788,0.95604,63.75355,4.59302,166466.406,1.64299
14.3622,0.18641,-0.16792,0.96068,64.53764,4.49432,167119.672,1.64944
14.3622,0.18671,-0.16795,0.96471,65.19922,4.40017,167663,1.6548
14.3622,0.18697,-0.16798,0.96819,65.7578,4.31232,168096.078,1.65908
14.3622,0.1872,-0.16801,0.9712,66.23021,4.23168,168424.609,1.66232
14.3622,0.18739,-0.16803,0.9738,66.63032,4.1586,168658.109,1.66462
14.3622,0.18756,-0.16805,0.97605,66.96984,4.09305,168806.406,1.66609
14.3622,0.18771,-0.16806,0.97799,67.25838,4.03478,168882.781,1.66684
14.3622,0.18783,-0.16807,0.97966,67.50378,3.98339,168898.719,1.667
14.3622,0.18794,-0.16809,0.9811,67.71267,3.93842,168865.5,1.66667
14.3622,0.18804,-0.1681,0.98234,67.89051,3.89921,168794.641,1.66597
14.3622,0.18812,-0.16811,0.98341,68.04183,3.86522,168695.906,1.665
14.3622,0.18818,-0.16811,0.98433,68.17054,3.83581,168577.75,1.66383
14.3622,0.18824,-0.16812,0.98513,68.28,3.81041,168448.219,1.66255
14.3622,0.1883,-0.16812,0.98581,68.37297,3.78853,168313.016,1.66122
14.3622,0.18834,-0.16813,0.9864,68.45201,3.76973,168177.609,1.65988
14.3622,0.18838,-0.16813,0.9869,68.5192,3.75354,168045.719,1.65858
14.3622,0.18841,-0.16814,0.98733,68.5763,3.73962,167919.516,1.65733
14.3622,0.18844,-0.16814,0.98771,68.62504,3.72766,167801.734,1.65617
14.3622,0.18846,-0.16814,0.98802,68.66655,3.71735,167692.594,1.65509
14.3622,0.18848,-0.16814,0.9883,68.70186,3.70842,167593.031,1.65411
14.3622,0.1885,-0.16815,0.98854,68.73214,3.70077,167503.281,1.65322
14.3622,0.18852,-0.16815,0.98874,68.75798,3.6942,167422.594,1.65243
14.3622,0.18853,-0.16815,0.98892,68.78015,3.68842,167350.703,1.65172
14.3622,0.18854,-0.16815,0.98907,68.79907,3.6835,167286.984,1.65109
14.3622,0.18855,-0.16815,0.98919,68.81568,3.67905,167229.703,1.65052
14.3622,0.18856,-0.16815,0.98931,68.83131,3.67468,167173.797,1.64997
14.3622,0.18857,-0.16815,0.98945,68.84911,3.66985,167109.188,1.64934
14.3622,0.18858,-0.16816,0.98962,68.87144,3.66406,167025.547,1.64851
14.3622,0.1886,-0.16816,0.98985,68.8996,3.65676,166914.547,1.64741
14.3622,0.18862,-0.16816,0.99013,68.93506,3.64763,166767.578,1.64596
14.3622,0.18865,-0.16816,0.99048,68.97892,3.6364,166573.625,1.64405
14.3622,0.18868,-0.16817,0.99091,69.03245,3.6229,166317.953,1.64153
14.3622,0.18872,-0.16817,0.99142,69.0962,3.60713,165982.562,1.63822
14.3622,0.18876,-0.16817,0.99202,69.17034,3.58916,165546.188,1.63391
14.3622,0.18881,-0.16818,0.9927,69.25399,3.56916,164984.234,1.62836
14.3622,0.18887,-0.16819,0.99344,69.34515,3.54772,164270.859,1.62132
14.3622,0.18893,-0.16819,0.99422,69.44051,3.52562,163382.453,1.61255
14.3622,0.18899,-0.1682,0.99503,69.53609,3.50351,162301.594,1.60189
14.3622,0.18905,-0.16821,0.99581,69.62817,3.48262,161020.312,1.58924
14.3622,0.1891,-0.16821,0.99656,69.7135,3.46296,159545.453,1.57468
14.3622,0.18915,-0.16822,0.99723,69.78956,3.44496,157895.828,1.5584
14.3622,0.1892,-0.16822,0.99783,69.85526,3.42928,156097.484,1.54065
14.3622,0.18924,-0.16823,0.99834,69.91037,3.4152,154174.969,1.52168
14.3622,0.18927,-0.16823,0.99877,69.95532,3.40278,152139.578,1.50159
14.3622,0.18929,-0.16824,0.99912,69.99046,3.39212,149967.203,1.48015
14.3622,0.18932,-0.16824,0.9994,70.01698,3.38391,147529.938,1.45609
14.3622,0.18933,-0.16824,0.99963,70.03829,3.38084,144330.141,1.42451
14.3622,0.18935,-0.16824,0.9998,70.05808,3.39437,139533.859,1.37717
14.3622,0.18936,-0.16824,0.99994,70.10993,3.45625,135132.547,1.33373
13.5811,0.1143,-0.16017,0.00006,76.03042,4.16983,125235.742,1.23605
13.5811,0.11431,-0.16017,0.00019,74.68141,4.28158,136030.344,1.34259
13.5811,0.11432,-0.16017,0.00034,73.28264,4.33072,145793.5,1.43895
13.5811,0.11433,-0.16017,0.00051,71.95778,4.38413,151175.078,1.49207
13.5811,0.11435,-0.16018,0.00072,70.793,4.43905,154003.359,1.51998
13.5811,0.11436,-0.16018,0.00096,69.74256,4.47866,155549.078,1.53524
13.5811,0.11438,-0.16018,0.00123,68.76095,4.49854,156433.312,1.54397
13.5811,0.11441,-0.16018,0.00155,67.81818,4.50389,156987.484,1.54944
13.5811,0.11444,-0.16018,0.00193,66.89304,4.49918,157393.594,1.55344
13.5811,0.11447,-0.16018,0.00236,65.96865,4.48743,157749.969,1.55696
13.5811,0.11451,-0.16019,0.00286,65.02946,4.47149,158110.969,1.56052
