Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
14.3622,0.12,-0.088,0.00006,143409.062,331.35043,1.415444461,1.150514337
14.3622,0.12001,-0.088,0.0002,144777.484,331.5929,1.428950757,1.151356241
14.3622,0.12003,-0.088,0.00036,146560.141,331.86069,1.446545545,1.152286061
14.3622,0.12004,-0.088,0.00054,147914.156,332.01343,1.459909645,1.152816404
14.3622,0.12005,-0.088,0.00076,148844.031,332.08914,1.469087492,1.153079284
14.3622,0.12007,-0.088,0.00101,149584.5,332.13959,1.476395905,1.153254457
14.3622,0.12009,-0.088,0.0013,150242.781,332.17923,1.482893125,1.153392094
14.3622,0.12011,-0.088,0.00164,150861.016,332.21207,1.488995092,1.153506121
14.3622,0.12014,-0.088,0.00203,151459.109,332.23999,1.494898257,1.153603065
14.3622,0.12017,-0.088,0.00248,152046.703,332.26355,1.500697798,1.15368487
14.3622,0.12021,-0.088,0.00301,152629.5,332.28229,1.506449992,1.153749939
14.3622,0.12025,-0.088,0.00362,153211.328,332.2959,1.512192622,1.153797196
14.3622,0.1203,-0.088,0.00433,153794.109,332.30383,1.517944659,1.15382473
14.3622,0.12036,-0.088,0.00516,154378.188,332.30432,1.523709506,1.153826432
14.3622,0.12043,-0.088,0.00611,154962.594,332.29691,1.529477581,1.153800703
14.3622,0.12051,-0.088,0.00722,155546.547,332.28,1.535241185,1.153741988
14.3622,0.1206,-0.088,0.00851,156129.312,332.25204,1.540993064,1.153644905
14.3622,0.1207,-0.088,0.01,156710.406,332.21198,1.546728449,1.153505809
14.3622,0.12082,-0.088,0.01173,157290.703,332.15796,1.552455969,1.153318241
14.3622,0.12096,-0.088,0.01373,157873.812,332.08945,1.558211242,1.153080361
14.3622,0.12112,-0.088,0.01604,158465.547,332.00552,1.564051654,1.152788939
14.3622,0.12131,-0.088,0.01872,159071.734,331.90622,1.570034708,1.15244415
14.3622,0.12153,-0.088,0.0218,159694.562,331.79166,1.576182007,1.152046375
14.3622,0.12178,-0.088,0.02537,160325.281,331.66214,1.58240719,1.151596656
14.3622,0.12206,-0.088,0.02949,160937.375,331.51871,1.588448545,1.151098638
14.3622,0.1224,-0.088,0.03422,161479.938,331.36612,1.593803631,1.150568815
14.3622,0.12278,-0.088,0.03967,161882.266,331.21634,1.5977746,1.15004875
14.3622,0.12321,-0.088,0.04592,162093.219,331.09024,1.599856702,1.149610905
14.3622,0.12372,-0.088,0.05308,162128.141,331.00757,1.600201381,1.149323859
14.3622,0.12429,-0.088,0.06127,162057.656,330.97983,1.599505696,1.14922754
14.3622,0.12494,-0.088,0.07061,161961.141,331.0108,1.598553095,1.149335074
14.3622,0.12569,-0.088,0.08122,161881.016,331.08331,1.597762263,1.149586843
14.3622,0.12653,-0.088,0.09326,161810.359,331.14587,1.597064879,1.149804064
14.3622,0.12748,-0.088,0.10685,161713.969,331.14691,1.596113512,1.149807675
14.3622,0.12855,-0.088,0.12213,161543.422,331.06714,1.594430217,1.149530698
14.3622,0.12975,-0.088,0.13924,161263.172,330.90878,1.591664155,1.14898084
14.3622,0.13108,-0.088,0.15829,160894.109,330.66745,1.588021511,1.148142895
14.3622,0.13256,-0.088,0.17937,160510.891,330.35406,1.584239157,1.147054743
14.3622,0.13418,-0.088,0.20257,160187.328,330.02884,1.581045597,1.145925514
14.3622,0.13595,-0.088,0.22791,159960.203,329.77444,1.578803878,1.145042187
14.3622,0.13788,-0.088,0.25537,159826.109,329.63254,1.577480373,1.144549482
14.3622,0.13994,-0.088,0.28489,159766.875,329.60098,1.576895735,1.1444399
14.3622,0.14214,-0.088,0.31634,159764.641,329.65454,1.576873685,1.144625871
14.3622,0.14447,-0.088,0.34953,159806.641,329.74927,1.577288224,1.144954792
14.3622,0.14689,-0.088,0.3842,159897.688,329.84555,1.578186856,1.145289095
14.3622,0.1494,-0.088,0.42004,160043.375,329.95377,1.579624784,1.145664856
14.3622,0.15197,-0.088,0.45669,160212.438,330.15961,1.581293432,1.146379574
14.3622,0.15456,-0.088,0.49376,160344.594,330.56619,1.582597809,1.1477913
14.3622,0.15716,-0.088,0.53083,160403.125,331.25302,1.583175509,1.15017611
14.3622,0.15973,-0.088,0.56751,160390.734,332.28488,1.58305321,1.153758932
14.3622,0.16224,-0.088,0.60337,160314.672,333.69357,1.58230248,1.158650183
14.3622,0.16466,-0.088,0.63807,160160.062,335.41522,1.580776482,1.164628093
14.3622,0.16699,-0.088,0.6713,159919.781,337.33002,1.578404914,1.171276658
14.3622,0.1692,-0.088,0.70279,159646.344,339.30853,1.575706096,1.178146436
14.3622,0.17127,-0.088,0.73236,159411.703,341.1326,1.573390195,1.184479969
14.3622,0.17319,-0.088,0.75987,159253.25,342.58713,1.571826267,1.189530385
14.3622,0.17497,-0.088,0.78526,159196.656,343.64542,1.571267685,1.193204978
14.3622,0.1766,-0.088,0.8085,159238.703,344.43311,1.571682688,1.195939993
14.3622,0.17807,-0.088,0.82964,159332.828,345.07492,1.5726117,1.198168485
14.3622,0.17941,-0.088,0.84874,159443.203,345.6409,1.573701099,1.20013368
14.3622,0.18061,-0.088,0.86588,159550.469,346.16327,1.574759812,1.201947452
14.3622,0.18168,-0.088,0.88121,159637.828,346.65518,1.575622044,1.203655461
14.3622,0.18264,-0.088,0.89483,159698.734,347.11694,1.576223185,1.205258783
14.3622,0.18348,-0.088,0.9069,159735.516,347.54813,1.576586222,1.20675596
14.3622,0.18423,-0.088,0.91755,159751.188,347.95471,1.576740904,1.208167686
14.3622,0.18488,-0.088,0.92692,159744.781,348.3436,1.576677667,1.209517989
14.3622,0.18546,-0.088,0.93513,159717.25,348.71649,1.576405937,1.210812737
14.3622,0.18596,-0.088,0.94232,159670.312,349.077,1.57594266,1.2120645
14.3622,0.1864,-0.088,0.94859,159604.422,349.42267,1.575292327,1.213264734
14.3622,0.18678,-0.088,0.95406,159524.609,349.75134,1.574504574,1.214405942
14.3622,0.18712,-0.088,0.95881,159432.547,350.06073,1.573595924,1.215480205
14.3622,0.18741,-0.088,0.96294,159330.922,350.34912,1.572592888,1.216481552
14.3622,0.18766,-0.088,0.96652,159221.766,350.61609,1.57151552,1.217408525
14.3622,0.18787,-0.088,0.96962,159106.469,350.86078,1.570377541,1.218258137
14.3622,0.18806,-0.088,0.9723,158987.219,351.08521,1.569200546,1.219037403
14.3622,0.18822,-0.088,0.97462,158865.125,351.28915,1.567995481,1.219745523
14.3622,0.18836,-0.088,0.97663,158740.859,351.4726,1.566768978,1.220382497
14.3622,0.18849,-0.088,0.97837,158616.078,351.63843,1.565537392,1.220958292
14.3622,0.18859,-0.088,0.97986,158492.438,351.78635,1.564317068,1.2214719
14.3622,0.18868,-0.088,0.98115,158370.547,351.91843,1.563114006,1.221930507
14.3622,0.18876,-0.088,0.98226,158252.375,352.03568,1.561947651,1.222337623
14.3622,0.18883,-0.088,0.98322,158138.047,352.13809,1.560819236,1.22269321
