Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.96793312,0.189,-0.17093,1,57.82251291,1.282775104,132195.7969,1.339282197
15.96793312,0.188,-0.17086,0.986636912,55.06374788,2.419472071,136842.375,1.386356912
15.96793312,0.186,-0.17072,0.959910735,47.2250502,3.014555321,141460.3906,1.433142258
15.96793312,0.184,-0.17058,0.933184558,43.53539606,3.045803873,143586.2344,1.454679287
15.96793312,0.182,-0.17044,0.906458381,41.0568112,3.100211342,144833.7656,1.467318088
15.96793312,0.18,-0.1703,0.879732204,39.28619898,3.134942482,145582.2031,1.474900545
15.96793312,0.178,-0.17016,0.853006027,37.89165535,3.153489731,146089.4063,1.480039046
15.96793312,0.175,-0.16995,0.812916761,36.28087792,3.179532779,147017.9219,1.489445884
15.96793312,0.172,-0.16974,0.772827496,35.21068103,3.245635568,147643.7813,1.495786496
15.96793312,0.1691,-0.16954,0.734074539,34.5132968,3.334624808,148045.1406,1.499852688
15.96793312,0.1661,-0.16933,0.693985274,34.12077675,3.509820902,148283.1719,1.502264194
15.96793312,0.1631,-0.16912,0.653896008,33.84204963,3.728077127,148525.6875,1.504721132
15.96793312,0.1591,-0.16884,0.600443655,33.91263276,4.118786731,148625.0313,1.505727589
15.96793312,0.1551,-0.16856,0.546991301,34.37209734,4.59788792,148609.9688,1.50557499
15.96793312,0.1511,-0.16828,0.493538947,34.87771248,5.082706851,148992.4375,1.5094498
15.96793312,0.1471,-0.168,0.440086593,35.44113017,5.514476516,149262.8906,1.512189774
15.96793312,0.1421,-0.16765,0.37327115,36.10250656,5.949719879,149594.375,1.515548058
15.96793312,0.1371,-0.1673,0.306455708,36.7648593,6.263678543,149931.6094,1.518964597
15.96793312,0.1321,-0.16695,0.239640266,37.65504061,6.478969178,150480.5781,1.524526226
15.96793312,0.1272,-0.16661,0.174161132,38.75826531,6.586625066,151445.6406,1.534303323
15.96793312,0.1182,-0.16598,0.053893336,41.31674254,5.280892367,155844.0313,1.578863637
