Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.96793312,0.1235,-0.088,0.047833332,150404.9531,337.9789734,1.523760066,1.136675073
15.96793312,0.1288,-0.088,0.12385032,150287.8125,337.2883301,1.522573308,1.134352334
15.96793312,0.134,-0.088,0.198433026,149612.4531,337.140625,1.515731209,1.133855579
15.96793312,0.141,-0.088,0.298832822,148957,337.0658569,1.509090781,1.133604123
15.96793312,0.148,-0.088,0.399232619,148412.9063,336.9984436,1.50357854,1.133377401
15.96793312,0.155,-0.088,0.499632415,147902.7813,336.9749146,1.498410438,1.13329827
15.96793312,0.162,-0.088,0.600032211,147264.5625,337.1611328,1.491944612,1.13392455
15.96793312,0.169,-0.088,0.700432007,146420.2813,337.7239075,1.483391157,1.135817248
15.96793312,0.176,-0.088,0.800831804,145387.2969,338.8337708,1.472925941,1.139549888
15.96793312,0.1813,-0.088,0.876848792,143906.7969,340.5845947,1.457926921,1.145438177
15.96793312,0.1865,-0.088,0.951431498,140935.4063,343.6886902,1.427823615,1.155877726
14.74102893,0.1235,-0.088,0.047833332,158680.5625,339.8690186,1.604548199,1.151551812
14.74102893,0.1288,-0.088,0.12385032,158347.4063,339.4441834,1.601179385,1.150112376
14.74102893,0.134,-0.088,0.198433026,157815.875,339.4351501,1.59580464,1.150081769
14.74102893,0.141,-0.088,0.298832822,157356.0156,339.6388245,1.591154628,1.150771863
14.74102893,0.148,-0.088,0.399232619,157002.3438,340.1434631,1.587578364,1.152481691
14.74102893,0.155,-0.088,0.499632415,156687.6094,341.0588989,1.584395829,1.155583391
14.74102893,0.162,-0.088,0.600032211,156329.8906,342.5709534,1.580778644,1.160706568
14.74102893,0.169,-0.088,0.700432007,155975.6719,344.6652527,1.57719685,1.16780252
14.74102893,0.176,-0.088,0.800831804,155760.6719,347.3561401,1.57502281,1.176919845
14.74102893,0.1813,-0.088,0.876848792,155634.2188,350.5003357,1.57374414,1.187573079
14.74102893,0.1865,-0.088,0.951431498,155138.2969,355.101532,1.568729471,1.203162955
