Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9689759,0.189,-0.17093,1,57.01120294,2.428828843,131176.2813,1.328953435
15.9689759,0.188,-0.17086,0.986636912,53.89947365,2.875666324,135690.7188,1.374689426
15.9689759,0.186,-0.17072,0.959910735,46.12350805,3.044600568,140307.8125,1.421465432
15.9689759,0.184,-0.17058,0.933184558,42.45648358,2.994659387,142400.4375,1.44266592
15.9689759,0.182,-0.17044,0.906458381,40.05599732,3.077840456,143624.75,1.455069491
15.9689759,0.18,-0.1703,0.879732204,38.36845153,3.123480791,144343.6563,1.462352766
15.9689759,0.178,-0.17016,0.853006027,37.00785651,3.149258117,144824.8281,1.467227542
15.9689759,0.175,-0.16995,0.812916761,35.43320664,3.16915282,145786.4219,1.476969496
15.9689759,0.172,-0.16974,0.772827496,34.37743857,3.225336367,146407.7188,1.483263886
15.9689759,0.1691,-0.16954,0.734074539,33.67929898,3.302837439,146776.7031,1.487002085
15.9689759,0.1661,-0.16933,0.693985274,33.28414986,3.473020832,146963.8281,1.488897858
15.9689759,0.1631,-0.16912,0.653896008,33.34164756,3.856876575,147578.7813,1.495127978
15.9689759,0.1591,-0.16884,0.600443655,33.50230934,4.291681042,147569.1719,1.495030625
15.9689759,0.1551,-0.16856,0.546991301,33.47035906,4.522361434,147047.4531,1.489745067
15.9689759,0.1511,-0.16828,0.493538947,34.40276292,5.240161468,147703.0156,1.496386603
15.9689759,0.1471,-0.168,0.440086593,34.92255259,5.659276877,147850.3125,1.497878875
15.9689759,0.1421,-0.16765,0.37327115,35.57471697,6.097932359,148055.7656,1.499960331
15.9689759,0.1371,-0.1673,0.306455708,36.27501956,6.438826435,148320.1875,1.502639202
15.9689759,0.1321,-0.16695,0.239640266,37.21618128,6.725747495,148845.9219,1.507965443
15.9689759,0.1272,-0.16661,0.174161132,38.29929416,6.954895999,149844.3438,1.518080505
15.9689759,0.1182,-0.16598,0.053893336,40.59605847,5.245921731,154306.3438,1.563285249
