Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9689759,0.1235,-0.088,0.047833332,149148.9844,337.4646301,1.511035785,1.134945258
15.9689759,0.1288,-0.088,0.12385032,148903.7969,336.6542053,1.508551778,1.132219675
15.9689759,0.134,-0.088,0.198433026,148130.0156,336.4213257,1.500712561,1.131436466
15.9689759,0.141,-0.088,0.298832822,147418.6875,336.2992859,1.493506061,1.131026027
15.9689759,0.148,-0.088,0.399232619,146870.1406,336.2243347,1.487948705,1.130773955
15.9689759,0.155,-0.088,0.499632415,146394.0156,336.223938,1.483125059,1.13077262
15.9689759,0.162,-0.088,0.600032211,145807.5156,336.4449463,1.477183198,1.131515905
15.9689759,0.169,-0.088,0.700432007,145022.5781,337.0201721,1.469230957,1.133450478
15.9689759,0.176,-0.088,0.800831804,144071.3906,338.0915222,1.459594429,1.137053592
15.9689759,0.1813,-0.088,0.876848792,142634.7656,339.7852478,1.44503991,1.142749851
15.9689759,0.1865,-0.088,0.951431498,139781.75,342.7760315,1.416135867,1.152808315
14.739992,0.1235,-0.088,0.047833332,157444.8906,339.396759,1.592053316,1.149951692
14.739992,0.1288,-0.088,0.12385032,156942.0938,338.8548279,1.586969128,1.148115508
14.739992,0.134,-0.088,0.198433026,156306.9375,338.757019,1.580546546,1.14778411
14.739992,0.141,-0.088,0.298832822,155782.9688,338.91745,1.575248272,1.148327686
14.739992,0.148,-0.088,0.399232619,155412,339.4443665,1.571497106,1.150112996
14.739992,0.155,-0.088,0.499632415,155097.5,340.4466553,1.56831694,1.153508974
14.739992,0.162,-0.088,0.600032211,154692.0156,342.0819092,1.564216758,1.159049577
14.739992,0.169,-0.088,0.700432007,154209.6563,344.2709045,1.55933923,1.166466381
14.739992,0.176,-0.088,0.800831804,153885.5781,346.9752502,1.556062213,1.175629305
14.739992,0.1813,-0.088,0.876848792,153822.4688,350.1925659,1.555424063,1.186530286
14.739992,0.1865,-0.088,0.951431498,153596.6406,354.7594604,1.553140531,1.20200394
