Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2898,101327,101327,288.1499,288.1499,129962,130059.3,318.182,317.9547,1.282599899,1.104223878,1.103435052,0.712530325
20000,16.2641,101327.1,101327.1,288.15,288.15,139991,139824.4,322.154,321.7815,1.381575117,1.118007982,1.116715252,0.828926604
20000,16.2241,101327.1,101327.1,288.1501,288.1501,144680,144672.4,324.5,324.2533,1.42785099,1.126149184,1.125293033,0.854964185
20000,16.1711,101327.1,101327.1,288.15,288.15,147534,147155.5,326.01,325.7517,1.456017196,1.131389901,1.130493493,0.868375954
20000,16.0697,101327.1,101327.1,288.1499,288.1499,149736,149606.9,327.163,327.1135,1.477748796,1.135391683,1.135219898,0.872948007
20000,15.9863,101327.1,101327.1,288.15,288.15,151427,151363.7,328.207,327.9615,1.494437322,1.139014402,1.138162415,0.88036233
20000,15.924,101327.1,101327.1,288.15,288.15,152237,151948.3,328.874,328.391,1.502431235,1.141329169,1.139652959,0.88321747
20000,15.6732,101327.1,101327.1,288.1501,288.1501,154214,154110.3,330.295,330.0192,1.521942304,1.14626023,1.14530309,0.877426463
20000,15.3719,101327,101327,288.1501,288.1501,156432,156207.6,332.254,331.7581,1.543833332,1.15305877,1.151337792,0.872899717
20000,15.0067,101327,101327,288.1501,288.1501,158494,158449.9,333.954,333.7274,1.564183288,1.158958473,1.158172078,0.862013317
20000,14.7648,101327,101327,288.15,288.15,159669,159692.2,335.143,334.9749,1.575779407,1.163085199,1.162501822,0.853818397
20000,14.5255,101327.1,101327.1,288.1499,288.1499,160393,160552.2,336.219,336.0717,1.582923028,1.16681977,1.166308578,0.843129272
20000,14.4512,101327,101327,288.15,288.15,160639,160810.2,336.503,336.3797,1.585352374,1.167804963,1.167377061,0.840732491
20000,14.4088,101327.1,101327.1,288.1501,288.1501,160687,160865.7,336.63,336.5113,1.585824523,1.1682453,1.167833362,0.839025009
20000,14.3807,101327,101327,288.15,288.15,160656,160929.9,336.814,336.6799,1.585520148,1.168884262,1.168418879,0.83573661
20000,14.3402,101327.1,101327.1,288.1501,288.1501,160805,161061.8,336.946,336.8363,1.586989068,1.169341951,1.168961246,0.834840456
20000,14.1389,101327.1,101327.1,288.15,288.15,160623,161111.4,337.648,337.5192,1.585192905,1.171778588,1.171331598,0.821136028
20000,14.0827,101327,101327,288.1501,288.1501,160602,161095.9,337.771,337.6413,1.58498722,1.172205042,1.171754929,0.818865918
20000,14.0192,101327.1,101327.1,288.1501,288.1501,160480,161037.6,337.938,337.7976,1.583781634,1.172784601,1.172297355,0.814848859
