Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.9267,0.1139317,-0.165665336,0,89.999,N/A,112072.4,1.10604676
15.9267,0.114710537,-0.165719956,0.010347,50.39469147,N/A,154235.0149,1.522151202
15.9267,0.115496827,-0.165775098,0.020793,46.23473182,N/A,156255.6122,1.542092554
15.9267,0.116295837,-0.165831132,0.031408,43.97521715,N/A,157113.0005,1.550554151
15.9267,0.117101697,-0.165887647,0.042114,42.78356682,N/A,157278.5205,1.552187675
15.9267,0.118186965,-0.165963756,0.056532,42.03708102,N/A,156820.2407,1.547664894
15.9267,0.119656421,-0.166066809,0.076054,41.83328582,N/A,155834.9984,1.5379415
15.9267,0.121623424,-0.166204754,0.102186,41.64276177,N/A,154955.0247,1.529257006
15.9267,0.123839125,-0.16636014,0.131622,41.37061867,N/A,154669.838,1.526442488
15.9267,0.126054901,-0.166515532,0.161059,41.03622429,N/A,154581.632,1.525571979
15.9267,0.128270602,-0.166670918,0.190495,40.59425332,N/A,154502.2406,1.524788463
15.9267,0.130486378,-0.16682631,0.219932,40.1098914,N/A,154470.6276,1.524476473
15.9267,0.132702153,-0.166981701,0.249369,39.63674654,N/A,154473.7516,1.524507304
15.9267,0.134917854,-0.167137088,0.278805,39.18959964,N/A,154460.6479,1.524377984
15.9267,0.13713363,-0.167292479,0.308242,38.74776557,N/A,154418.9494,1.523966459
15.9267,0.139349331,-0.167447865,0.337678,38.29123645,N/A,154372.8991,1.523511987
15.9267,0.141565107,-0.167603257,0.367115,37.82067469,N/A,154337.2096,1.523159766
15.9267,0.143780808,-0.167758643,0.396551,37.35400681,N/A,154291.3048,1.52270673
15.9267,0.145996584,-0.167914035,0.425988,36.89833917,N/A,154222.1759,1.522024494
15.9267,0.148212284,-0.168069421,0.455424,36.4559692,N/A,154141.0251,1.521223614
15.9267,0.15042806,-0.168224813,0.484861,36.02410325,N/A,154058.913,1.520413246
15.9267,0.152643761,-0.168380199,0.514297,35.5954822,N/A,153974.2656,1.519577858
15.9267,0.154859537,-0.168535591,0.543734,35.16754559,N/A,153885.0581,1.518697466
15.9267,0.157075238,-0.168690977,0.57317,34.75688417,N/A,153797.9018,1.517837317
15.9267,0.159291014,-0.168846368,0.602607,34.3966467,N/A,153713.0633,1.517000043
15.9267,0.16150679,-0.16900176,0.632044,34.11391456,N/A,153621.9319,1.516100663
15.9267,0.16372249,-0.169157146,0.66148,33.90529479,N/A,153522.7962,1.51512229
15.9267,0.165938266,-0.169312538,0.690917,33.75654597,N/A,153421.0402,1.514118055
15.9267,0.168153967,-0.169467924,0.720353,33.69820591,N/A,153332.1121,1.513240421
15.9267,0.170369743,-0.169623316,0.74979,33.81536816,N/A,153245.4034,1.512384689
15.9267,0.172585444,-0.169778702,0.779226,34.03310186,N/A,153132.8915,1.511274305
15.9267,0.17480122,-0.169934094,0.808663,34.12110619,N/A,153278.7468,1.512713757
15.9267,0.17701692,-0.17008948,0.838099,34.42489746,N/A,153924.5138,1.519086856
15.9267,0.179232696,-0.170244871,0.867536,35.78011259,N/A,154488.8936,1.524656741
15.9267,0.181199774,-0.170382822,0.893669,38.02732282,N/A,154208.2729,1.521887285
15.9267,0.182669607,-0.170485901,0.913196,40.17972799,N/A,153089.5254,1.510846324
15.9267,0.183755252,-0.170562037,0.927619,41.95273851,N/A,151559.8233,1.495749636
15.9267,0.184713462,-0.170629235,0.940349,43.7626621,N/A,149860.5958,1.478979895
15.9267,0.185552065,-0.170688046,0.95149,45.67747982,N/A,148164.0956,1.46223707
15.9267,0.186279115,-0.170739034,0.961149,47.73925088,N/A,146521.0896,1.446022182
15.9267,0.186902516,-0.170782753,0.969431,49.9546385,N/A,145002.0431,1.431030654
15.9267,0.187430322,-0.170819768,0.976443,52.11060119,N/A,143689.4492,1.418076615
15.9267,0.187870436,-0.170850633,0.98229,54.00209145,N/A,142582.3963,1.407151069
15.9267,0.188230913,-0.170875913,0.987079,55.55128039,N/A,141658.6219,1.398034304
15.9267,0.188519656,-0.170896162,0.990915,56.76766555,N/A,140825.696,1.389814127
15.9267,0.188744568,-0.170911935,0.993903,57.68427544,N/A,139970.6351,1.381375498
15.9267,0.188913779,-0.170923802,0.996151,58.32351699,N/A,138944.8599,1.371252084
15.9267,0.189035117,-0.170932312,0.997763,58.68070057,N/A,137391.985,1.355926703
15.9267,0.189116636,-0.170938028,0.998846,58.86849724,N/A,134567.4788,1.328051544
15.9267,0.18916624,-0.170941507,0.999505,59.47028372,N/A,130344.8279,1.286378042
15.9267,0.189191908,-0.170943307,0.999846,61.94379568,N/A,126317.7741,1.246634896
15.9267,0.189201693,-0.170943994,0.999976,13.89,N/A,124254.7333,1.226274668
15.9267,0.1892035,-0.17094412,1,-89.9988,N/A,123898.2,1.222756028
14.7432,0.1139317,-0.165665336,0,89.9992,N/A,118223.3,1.166749073
14.7432,0.114710537,-0.165719956,0.010347,54.20312128,N/A,161337.6188,1.592245498
14.7432,0.115496827,-0.165775098,0.020793,51.22664996,N/A,162890.9581,1.607575447
14.7432,0.116295837,-0.165831132,0.031408,49.69267411,N/A,163427.8358,1.612873908
14.7432,0.117101697,-0.165887647,0.042114,48.78093129,N/A,163477.3356,1.613362423
14.7432,0.118186965,-0.165963756,0.056532,48.09868102,N/A,163039.9687,1.609046037
14.7432,0.119656421,-0.166066809,0.076054,47.85462861,N/A,161977.2586,1.598558122
14.7432,0.121623424,-0.166204754,0.102186,47.82431868,N/A,160905.1904,1.58797785
14.7432,0.123839125,-0.16636014,0.131622,47.69859434,N/A,160466.4309,1.58364772
14.7432,0.126054901,-0.166515532,0.161059,47.43752244,N/A,160268.8069,1.581697364
14.7432,0.128270602,-0.166670918,0.190495,47.0169023,N/A,160185.0682,1.580870943
14.7432,0.130486378,-0.16682631,0.219932,46.49495783,N/A,160264.5075,1.581654932
14.7432,0.132702153,-0.166981701,0.249369,45.93377955,N/A,160452.7709,1.583512909
14.7432,0.134917854,-0.167137088,0.278805,45.36780956,N/A,160638.6608,1.585347462
14.7432,0.13713363,-0.167292479,0.308242,44.79814678,N/A,160792.7997,1.586868663
14.7432,0.139349331,-0.167447865,0.337678,44.23103684,N/A,160921.1043,1.588134905
14.7432,0.141565107,-0.167603257,0.367115,43.66878125,N/A,161038.9426,1.589297854
14.7432,0.143780808,-0.167758643,0.396551,43.10979166,N/A,161152.4977,1.590418532
14.7432,0.145996584,-0.167914035,0.425988,42.55823794,N/A,161246.8735,1.59134993
14.7432,0.148212284,-0.168069421,0.455424,42.00985153,N/A,161323.5483,1.592106636
14.7432,0.15042806,-0.168224813,0.484861,41.45719554,N/A,161390.7733,1.592770082
14.7432,0.152643761,-0.168380199,0.514297,40.90498546,N/A,161436.0618,1.593217035
14.7432,0.154859537,-0.168535591,0.543734,40.38815918,N/A,161465.8779,1.59351129
14.7432,0.157075238,-0.168690977,0.57317,39.99158253,N/A,161498.4846,1.593833087
14.7432,0.159291014,-0.168846368,0.602607,39.80972464,N/A,161553.6454,1.594377471
14.7432,0.16150679,-0.16900176,0.632044,39.8979734,N/A,161643.8647,1.595267847
14.7432,0.16372249,-0.169157146,0.66148,40.26574173,N/A,161776.348,1.596575328
14.7432,0.165938266,-0.169312538,0.690917,40.89084406,N/A,161964.9255,1.598436406
14.7432,0.168153967,-0.169467924,0.720353,41.65209254,N/A,162130.5984,1.600071436
14.7432,0.170369743,-0.169623316,0.74979,42.20643522,N/A,162274.06,1.601487262
14.7432,0.172585444,-0.169778702,0.779226,42.40280603,N/A,162710.2027,1.605791567
14.7432,0.17480122,-0.169934094,0.808663,42.87008709,N/A,163630.617,1.614875162
14.7432,0.17701692,-0.17008948,0.838099,44.38902701,N/A,164727.6949,1.625702255
14.7432,0.179232696,-0.170244871,0.867536,46.84891264,N/A,165431.8085,1.632651171
14.7432,0.181199774,-0.170382822,0.893669,49.61294939,N/A,165287.5308,1.631227291
