Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.9267,0.12,-0.088,0,132217.3,328.4527,1.30485754,1.139867479
15.9267,0.12072429,-0.088,0.010347,147644.6175,329.9623098,1.457110321,1.145106453
15.9267,0.12145551,-0.088,0.020793,150486.5038,329.6231074,1.485157005,1.143929279
15.9267,0.12219856,-0.088,0.031408,152627.4987,329.0783972,1.506286564,1.142038908
15.9267,0.12294798,-0.088,0.042114,154039.9202,328.408216,1.520225806,1.139713101
15.9267,0.12395724,-0.088,0.056532,154536.022,327.5815876,1.525121853,1.136844356
15.9267,0.12532378,-0.088,0.076054,154045.7823,326.927259,1.520283659,1.134573564
15.9267,0.12715302,-0.088,0.102186,153715.615,326.5450577,1.517025225,1.133247167
15.9267,0.12921354,-0.088,0.131622,153594.0825,326.3996386,1.515825816,1.132742502
15.9267,0.13127413,-0.088,0.161059,153528.5958,326.3453862,1.515179526,1.132554223
15.9267,0.13333465,-0.088,0.190495,153512.702,326.3279821,1.515022669,1.132493824
15.9267,0.13539524,-0.088,0.219932,153515.0617,326.3271114,1.515045957,1.132490802
15.9267,0.13745583,-0.088,0.249369,153513.1553,326.3325299,1.515027143,1.132509606
15.9267,0.13951635,-0.088,0.278805,153506.4572,326.343914,1.514961039,1.132549114
15.9267,0.14157694,-0.088,0.308242,153499.1461,326.3516538,1.514888886,1.132575975
15.9267,0.14363746,-0.088,0.337678,153489.989,326.3484095,1.514798513,1.132564715
15.9267,0.14569805,-0.088,0.367115,153464.5633,326.3355865,1.514547587,1.132520214
15.9267,0.14775857,-0.088,0.396551,153425.4596,326.3124764,1.514161671,1.132440013
15.9267,0.14981916,-0.088,0.425988,153379.3052,326.2879196,1.513706172,1.13235479
15.9267,0.15187968,-0.088,0.455424,153334.6866,326.2618402,1.513265829,1.132264284
15.9267,0.15394027,-0.088,0.484861,153289.4809,326.232644,1.512819692,1.132162961
15.9267,0.15600079,-0.088,0.514297,153230.8733,326.198536,1.512241291,1.132044592
15.9267,0.15806138,-0.088,0.543734,153149.9906,326.1668713,1.511443056,1.131934702
15.9267,0.1601219,-0.088,0.57317,153051.312,326.1554341,1.510469194,1.131895011
15.9267,0.16218249,-0.088,0.602607,152944.4282,326.1893322,1.509414354,1.132012651
15.9267,0.16424308,-0.088,0.632044,152826.5153,326.28799,1.508250666,1.132355034
15.9267,0.1663036,-0.088,0.66148,152692.6487,326.4590225,1.506929532,1.132948589
15.9267,0.16836419,-0.088,0.690917,152558.091,326.7092535,1.505601577,1.133816994
15.9267,0.17042471,-0.088,0.720353,152466.3234,327.0530326,1.504695919,1.135010051
15.9267,0.1724853,-0.088,0.74979,152458.1023,327.5408788,1.504614784,1.13670308
15.9267,0.17454582,-0.088,0.779226,152518.4365,328.2891962,1.505210225,1.139300052
