Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
8.852787,0.1139278,-0.1654939,1.06E-05,36.6387862,-53.39248287,123013.3265,1.221619796
8.852787,0.11393,-0.1654941,6.07E-05,36.62700932,-53.35632007,122771.5007,1.219218275
8.852787,0.1139371,-0.1654946,0.000137482,36.60669896,-53.30124741,122445.8197,1.215984005
8.852787,0.113945,-0.1654952,0.00025507,36.55802483,-53.21875531,122285.3158,1.214390073
8.852787,0.1139593,-0.1654962,0.000433628,36.45817526,-53.03499697,122075.8553,1.212309965
8.852787,0.1139793,-0.1654977,0.000707702,36.26043138,-52.64468962,121849.9325,1.210066372
8.852787,0.1140117,-0.1655001,0.00112579,35.98685531,-52.09034159,121593.6043,1.20752083
8.852787,0.1140593,-0.1655035,0.001764701,35.64235468,-51.41089183,121601.1859,1.207596121
8.852787,0.1141324,-0.1655088,0.002740934,35.27718775,-50.64652965,121723.8933,1.208814703
8.852787,0.1142437,-0.1655169,0.004232254,34.80129273,-49.57514925,121993.4742,1.211491855
8.852787,0.1144168,-0.1655295,0.006509965,34.13782148,-48.05504113,122336.7903,1.214901256
8.852787,0.1146776,-0.1655485,0.009989581,33.26804028,-46.13350801,122914.6209,1.220639571
8.852787,0.1150783,-0.1655777,0.01530625,32.30452094,-43.93656618,123641.7082,1.227860125
8.852787,0.1156903,-0.1656223,0.0234275,31.31877131,-41.58593378,124358.7926,1.234981341
8.852787,0.116623,-0.1656902,0.03583257,30.51220313,-39.26369412,124918.4211,1.240538895
8.852787,0.1180496,-0.165794,0.05478453,29.88148339,-37.01260756,125091.8374,1.242261056
8.852787,0.1197743,-0.1659196,0.07770674,29.52688508,-35.411585,125015.048,1.241498477
8.852787,0.121521,-0.1660467,0.1008968,29.33306689,-34.25641905,124900.9338,1.240365233
8.852787,0.1233063,-0.1661767,0.1246154,29.22868223,-33.30605607,124772.2039,1.239086843
8.852787,0.1251313,-0.1663096,0.1488755,29.18901257,-32.63392896,124642.8628,1.237802383
8.852787,0.1269994,-0.1664456,0.173688,29.17042431,-32.01687707,124504.1256,1.236424613
8.852787,0.1289111,-0.1665847,0.1990669,29.23528422,-31.63370153,124342.8606,1.234823123
8.852787,0.1308655,-0.166727,0.2250242,29.33094243,-31.33385327,124183.2062,1.233237629
8.852787,0.1328635,-0.1668725,0.2515732,29.46546759,-31.17365665,124036.6102,1.231781814
8.852787,0.1349072,-0.1670212,0.278727,29.59785272,-31.14756157,123901.0453,1.230435548
8.852787,0.1369978,-0.1671734,0.3065,29.69597656,-31.15550605,123793.1681,1.229364242
8.852787,0.1391363,-0.1673291,0.3349057,29.73684826,-31.11249623,123699.1083,1.228430153
8.852787,0.1413225,-0.1674883,0.363959,29.69009253,-30.96274237,123613.3359,1.227578365
8.852787,0.1435595,-0.1676511,0.3936728,29.53405359,-30.71034797,123528.6386,1.226737254
8.852787,0.1458467,-0.1678176,0.4240642,29.29310589,-30.40701073,123451.5972,1.225972172
8.852787,0.1481865,-0.167988,0.4551472,28.99978707,-30.09258568,123374.1196,1.225202758
8.852787,0.1505799,-0.1681622,0.4869388,28.65769008,-29.76156274,123292.8777,1.224395962
8.852787,0.1529998,-0.1683384,0.5190873,28.23692906,-29.41664859,123184.9672,1.223324325
8.852787,0.1554195,-0.1685145,0.5512351,27.77703122,-29.0828937,123071.2969,1.222195489
8.852787,0.1578388,-0.1686907,0.583384,27.31906003,-28.76369885,122973.1573,1.221220885
8.852787,0.1602604,-0.168867,0.6155317,26.85636098,-28.45424922,122902.4952,1.220519154
8.852787,0.162679,-0.169043,0.6476796,26.33953133,-28.11403599,122866.5611,1.2201623
8.852787,0.1650998,-0.1692193,0.6798272,25.71922312,-27.69923433,122876.4331,1.220260337
8.852787,0.1675192,-0.1693954,0.7119747,25.0359844,-27.23188821,122932.3848,1.220815981
8.852787,0.169938,-0.1695715,0.7441218,24.56862234,-26.95525138,122967.3128,1.221162844
8.852787,0.1723601,-0.1697478,0.7762688,24.66986428,-27.26820326,122860.2653,1.220099777
8.852787,0.1747779,-0.1699238,0.8084159,25.69761473,-28.59371723,122599.8534,1.217513681
8.852787,0.1771995,-0.1701001,0.840563,27.72223651,-31.29940234,122305.7323,1.214592826
8.852787,0.1796187,-0.1702762,0.8727089,29.94475674,-35.10265063,122381.7404,1.215347646
8.852787,0.1820375,-0.1704523,0.9048568,31.9432916,-38.88019107,123024.1529,1.221727311
8.852787,0.1840751,-0.1706007,0.9319113,32.89876328,-41.71633873,124064.0233,1.232054048
8.852787,0.1854676,-0.170702,0.9503965,33.33544556,-43.59845647,124913.735,1.240492359
8.852787,0.1864167,-0.1707711,0.9630267,33.55358505,-44.83711378,125310.361,1.244431169
8.852787,0.1870671,-0.1708185,0.9716559,33.69972402,-45.76817268,125224.0778,1.243574308
8.852787,0.1875108,-0.1708508,0.9775529,33.83713204,-46.32360134,124714.885,1.238517621
8.852787,0.1878139,-0.1708729,0.9815806,33.92688458,-46.78641483,124155.2512,1.232960014
8.852787,0.1880196,-0.1708878,0.9843326,33.89584576,-46.94953205,123394.1918,1.225402091
8.852787,0.1881611,-0.1708981,0.986213,33.86943735,-47.07649801,122788.7769,1.219389841
8.852787,0.1882603,-0.1709053,0.9874985,33.8465378,-47.12697257,122292.9342,1.21446573
8.852787,0.1883245,-0.17091,0.9883755,33.82130738,-47.15372958,121932.5926,1.210887253
8.852787,0.1883699,-0.1709133,0.9889753,33.79755502,-47.17667072,121688.3475,1.208461706
8.852787,0.1884004,-0.1709155,0.9893852,33.78254594,-47.19116718,121534.0095,1.206929007
8.852787,0.1884213,-0.1709171,0.9896657,33.77303401,-47.20035424,121436.1986,1.205957667
