Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
8.852787,0.1235,-0.088,7.94E-06,115449.7326,305.3976213,1.146507317,1.065329638
8.852787,0.1235,-0.088,2.83E-05,115477.6778,305.4072339,1.146784834,1.06536317
8.852787,0.1235,-0.088,5.89E-05,115520.3235,305.4210585,1.14720834,1.065411395
8.852787,0.12351,-0.088,0.00010635,115591.0101,305.4351207,1.147910314,1.065460449
8.852787,0.12351,-0.088,0.000178728,115757.9197,305.4611208,1.149567859,1.065551146
8.852787,0.12352,-0.088,0.00028926,116247.6309,305.514649,1.154431079,1.06573787
8.852787,0.12353,-0.088,0.000458251,116683.7572,305.5578751,1.158762159,1.065888658
8.852787,0.12355,-0.088,0.000716987,117202.3892,305.6086959,1.163912585,1.066065938
8.852787,0.12357,-0.088,0.001112146,117631.1462,305.6472952,1.168170482,1.066200585
8.852787,0.12361,-0.088,0.001716888,118089.1842,305.6876117,1.172719162,1.066341222
8.852787,0.12367,-0.088,0.002641267,118587.2843,305.7187829,1.177665691,1.066449958
8.852787,0.12376,-0.088,0.004054381,119148.9671,305.749902,1.183243646,1.066558512
8.852787,0.12389,-0.088,0.006215378,119782.897,305.7591059,1.189539072,1.066590618
8.852787,0.1241,-0.088,0.009518197,120526.2787,305.7469408,1.196921441,1.066548182
8.852787,0.12442,-0.088,0.01456743,121375.6383,305.6979833,1.205356255,1.066377402
8.852787,0.1249,-0.088,0.02228582,122303.6299,305.5792264,1.214571947,1.065963138
8.852787,0.12549,-0.088,0.0315637,123042.3882,305.3567111,1.221908402,1.06518693
8.852787,0.1261,-0.088,0.04127835,123445.217,305.1184891,1.225908811,1.064355931
8.852787,0.12678,-0.088,0.05202657,123638.3167,304.9146719,1.227826445,1.063644948
8.852787,0.12753,-0.088,0.06391803,123641.4996,304.7706435,1.227858053,1.063142529
8.852787,0.12836,-0.088,0.07707527,123554.9641,304.6601275,1.226998687,1.062757012
8.852787,0.12927,-0.088,0.09163291,123426.6207,304.558229,1.225724135,1.062401556
8.852787,0.13029,-0.088,0.1077399,123343.9905,304.4767365,1.224903552,1.062117282
8.852787,0.13141,-0.088,0.1255605,123263.7316,304.3808475,1.224106518,1.061782789
8.852787,0.13265,-0.088,0.1452767,123207.4041,304.2978813,1.223547141,1.061493375
8.852787,0.13403,-0.088,0.1670921,123127.5014,304.2053619,1.222753644,1.061170637
8.852787,0.13555,-0.088,0.1912286,123052.3596,304.1306791,1.222007426,1.060910118
8.852787,0.13723,-0.088,0.2179329,122954.4803,304.0554896,1.221035407,1.060647832
8.852787,0.13909,-0.088,0.2474837,122871.728,304.0040732,1.220213611,1.060468474
8.852787,0.14115,-0.088,0.2801705,122769.8843,303.9539058,1.219202223,1.060293473
8.852787,0.14343,-0.088,0.3163426,122674.5784,303.9257284,1.21825576,1.060195181
8.852787,0.14595,-0.088,0.3563637,122569.6306,303.9064434,1.217213545,1.060127908
8.852787,0.1486,-0.088,0.3984098,122462.4589,303.8920055,1.216149245,1.060077544
8.852787,0.15125,-0.088,0.4404466,122378.3813,303.9086185,1.215314288,1.060135496
8.852787,0.1539,-0.088,0.4824901,122285.398,303.9745934,1.21439089,1.060365638
8.852787,0.15655,-0.088,0.524539,122173.4849,304.1464946,1.213279504,1.060965288
8.852787,0.15919,-0.088,0.5665818,122050.4312,304.5450313,1.212057483,1.062355518
8.852787,0.16184,-0.088,0.6086174,121881.6073,305.1427571,1.210380928,1.064440586
8.852787,0.16449,-0.088,0.6506582,121723.6701,305.8927162,1.208812487,1.067056696
8.852787,0.16714,-0.088,0.6927133,121550.195,306.569161,1.207089742,1.069416363
8.852787,0.16979,-0.088,0.7347519,121390.9844,307.0922653,1.205508654,1.071241127
8.852787,0.17244,-0.088,0.7767892,121278.5593,307.5525739,1.204392184,1.072846838
8.852787,0.17509,-0.088,0.8188388,121240.3273,308.1192379,1.20401251,1.074823553
8.852787,0.17774,-0.088,0.8608818,121324.6449,308.917462,1.20484985,1.077608027
8.852787,0.18038,-0.088,0.9029269,121449.5815,310.0421566,1.20609057,1.08153134
8.852787,0.18255,-0.088,0.9372233,121337.3001,311.2541858,1.204975527,1.085759305
8.852787,0.18391,-0.088,0.9588922,121028.5963,312.1803259,1.201909853,1.088989994
8.852787,0.18477,-0.088,0.9725782,120658.4852,312.8390193,1.198234357,1.091287738
8.852787,0.18532,-0.088,0.9812143,120283.9569,313.3114266,1.194514994,1.092935653
8.852787,0.18566,-0.088,0.9866676,119929.2529,313.6036272,1.190992502,1.093954947
8.852787,0.18588,-0.088,0.9901106,119608.9576,313.7833774,1.187811716,1.094581977
8.852787,0.18601,-0.088,0.9922863,119319.5737,313.8883404,1.184937905,1.094948123
8.852787,0.1861,-0.088,0.9936662,119086.4983,313.9523164,1.182623281,1.095171293
8.852787,0.18616,-0.088,0.9945388,118914.7786,313.9876544,1.180917969,1.095294563
8.852787,0.18619,-0.088,0.9950771,118800.8352,314.0075976,1.17978642,1.095364132
8.852787,0.18621,-0.088,0.995434,118717.9455,314.0189493,1.17896326,1.095403731
8.852787,0.18623,-0.088,0.9956443,118663.2502,314.0241468,1.178420092,1.095421861
8.852787,0.18623,-0.088,0.995783,118627.1768,314.0275748,1.178061855,1.095433819
8.852787,0.18624,-0.088,0.9958678,118605.1218,314.0296706,1.177842831,1.09544113
8.852787,0.18624,-0.088,0.9959385,118586.7339,314.031418,1.177660225,1.095447226
8.852787,0.18625,-0.088,0.9959688,118578.8534,314.0321669,1.177581965,1.095449838
8.852787,0.18625,-0.088,0.9960256,118564.0808,314.0335707,1.177435262,1.095454735
8.852787,0.18625,-0.088,0.9961014,118544.3665,314.0354441,1.177239483,1.09546127
8.852787,0.18626,-0.088,0.9961888,118521.6353,314.0376042,1.177013744,1.095468805
8.852787,0.18627,-0.088,0.9963276,118485.4909,314.0410312,1.176654802,1.09548076
8.852787,0.18628,-0.088,0.9965119,118427.4609,314.0454497,1.176078518,1.095496173
8.852787,0.1863,-0.088,0.9967585,118349.8567,314.0513586,1.175307847,1.095516785
8.852787,0.18632,-0.088,0.9971057,118240.5941,314.0596781,1.174222782,1.095545806
8.852787,0.18634,-0.088,0.9975075,118073.9457,314.0603794,1.172567832,1.095548253
8.852787,0.18637,-0.088,0.9979109,117894.6892,314.0581785,1.170787673,1.095540575
8.852787,0.18639,-0.088,0.9983112,117699.5446,314.0523006,1.168849732,1.095520071
8.852787,0.18642,-0.088,0.9987177,117435.2299,314.0374193,1.166224878,1.09546816
8.852787,0.18644,-0.088,0.9991226,117026.6714,313.9977526,1.162167568,1.095329789
8.852787,0.18647,-0.088,0.9994504,116572.2747,313.9470329,1.157655049,1.095152862
8.852787,0.18648,-0.088,0.9996741,115964.0831,313.8682385,1.151615225,1.094878001
8.852787,0.18649,-0.088,0.9997939,115717.4408,313.8325414,1.149165871,1.094753477
8.852787,0.18649,-0.088,0.9998757,115389.4044,313.759995,1.14590821,1.094500411
8.852787,0.1865,-0.088,0.9999323,115355.3044,313.7463686,1.14556957,1.094452877
8.852787,0.1865,-0.088,0.9999591,115346.0968,313.7415774,1.145478131,1.094436164
8.852787,0.1865,-0.088,0.9999909,115335.2463,313.7359313,1.145370377,1.094416469
