Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.98390168,0.11393,-0.16568,0,85.97496,-0.01565617,146901,1.45982043
15.98390168,0.1177285,-0.165946,0.05,41.37174,5.278008,155491.4,1.545187048
15.98390168,0.121527,-0.166212,0.1,40.51017,6.562052,153404.3,1.524446609
15.98390168,0.1253255,-0.166478,0.15,40.1976,6.93195,152424.9,1.514713876
15.98390168,0.129124,-0.166744,0.2,39.31514,6.889474,152323.3,1.513704232
15.98390168,0.1329225,-0.16701,0.25,38.41054,6.764413,152294.3,1.513416046
15.98390168,0.136721,-0.167276,0.3,37.54361,6.59287,152163.4,1.512115235
15.98390168,0.1405195,-0.167542,0.35,36.74391,6.350045,151939.1,1.509886266
15.98390168,0.144318,-0.167808,0.4,36.00376,6.036278,151661.6,1.507128625
15.98390168,0.1481165,-0.168074,0.45,35.2988,5.67144,151391.3,1.504442534
15.98390168,0.151915,-0.16834,0.5,34.62308,5.283918,151152.6,1.502070466
15.98390168,0.1557135,-0.168606,0.55,33.98954,4.89034,150934.8,1.499906091
15.98390168,0.159512,-0.168872,0.6,33.42386,4.50685,150760.6,1.498174988
15.98390168,0.1633105,-0.169138,0.65,32.96696,4.147109,150648,1.497056032
15.98390168,0.167109,-0.169404,0.7,32.70699,3.827976,150573.2,1.496312711
15.98390168,0.1709075,-0.16967,0.75,32.73905,3.56696,150499.7,1.495582309
15.98390168,0.174706,-0.169936,0.8,33.22762,3.333013,150630.2,1.496879146
15.98390168,0.1785045,-0.170202,0.85,35.08247,3.139301,150990.5,1.500459607
15.98390168,0.182303,-0.170468,0.9,39.76132,3.214197,149338.1,1.484038975
15.98390168,0.1861015,-0.170734,0.95,46.88231,3.113691,142562.4,1.416705837
15.98390168,0.1899,-0.171,1,61.35209,1.877995,132138.8,1.313121898
14.7858767,0.11393,-0.16568,0,86.22296,-0.01329076,156951.5,1.559692059
14.7858767,0.1177285,-0.165946,0.05,47.94045,5.188348,162953.7,1.619338407
14.7858767,0.121527,-0.166212,0.1,47.2854,6.693668,160984.2,1.59976667
14.7858767,0.1253255,-0.166478,0.15,47.23283,7.382536,159799.2,1.587990834
14.7858767,0.129124,-0.166744,0.2,46.52343,7.608116,159514.6,1.585162646
14.7858767,0.1329225,-0.16701,0.25,45.67104,7.589839,159635.1,1.586360104
14.7858767,0.136721,-0.167276,0.3,44.70919,7.450635,159772.2,1.587722524
14.7858767,0.1405195,-0.167542,0.35,43.71881,7.254597,159867,1.58866459
14.7858767,0.144318,-0.167808,0.4,42.74313,7.01508,159915.4,1.589145561
14.7858767,0.1481165,-0.168074,0.45,41.7911,6.722161,159937.9,1.589369153
14.7858767,0.151915,-0.16834,0.5,40.90457,6.387954,159971.7,1.589705038
14.7858767,0.1557135,-0.168606,0.55,40.26415,6.024477,160042.7,1.590410594
14.7858767,0.159512,-0.168872,0.6,40.07962,5.650643,160195.3,1.591927043
14.7858767,0.1633105,-0.169138,0.65,40.46547,5.273513,160447.4,1.594432266
14.7858767,0.167109,-0.169404,0.7,41.1694,4.897303,160754.8,1.597487027
14.7858767,0.1709075,-0.16967,0.75,41.71533,4.488539,161111.8,1.601034684
14.7858767,0.174706,-0.169936,0.8,42.50004,4.117496,161668.3,1.606564855
14.7858767,0.1785045,-0.170202,0.85,45.64262,3.993497,162089.7,1.610752481
14.7858767,0.182303,-0.170468,0.9,51.6075,3.85854,161644.3,1.606326357
14.7858767,0.1861015,-0.170734,0.95,59.82836,3.276693,159539.7,1.585412075
14.7858767,0.1899,-0.171,1,69.11871,1.841901,148163.4,1.47236107
