Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.98390168,0.1201,-0.088,0,147828.3,328.0171,1.469035422,1.140631091
15.98390168,0.12359,-0.088,0.05,152530.8,326.7684,1.515766251,1.136288921
15.98390168,0.12708,-0.088,0.1,152226.9,325.9232,1.512746262,1.133349862
15.98390168,0.13057,-0.088,0.15,151908.1,325.7159,1.509578205,1.132629007
15.98390168,0.13406,-0.088,0.2,151819.6,325.5762,1.508698741,1.132143221
15.98390168,0.13755,-0.088,0.25,151718.4,325.4535,1.507693072,1.13171655
15.98390168,0.14104,-0.088,0.3,151550.2,325.3475,1.506021594,1.131347951
15.98390168,0.14453,-0.088,0.35,151327.2,325.2578,1.503805544,1.131036032
15.98390168,0.14802,-0.088,0.4,151087.8,325.1915,1.50142652,1.130805484
15.98390168,0.15151,-0.088,0.45,150859.8,325.1519,1.499160783,1.13066778
15.98390168,0.155,-0.088,0.5,150642.1,325.1551,1.496997401,1.130678908
15.98390168,0.15849,-0.088,0.55,150449.1,325.2208,1.495079475,1.13090737
15.98390168,0.16198,-0.088,0.6,150295.7,325.3725,1.493555071,1.131434884
15.98390168,0.16547,-0.088,0.65,150182.7,325.6399,1.49243214,1.132364728
15.98390168,0.16896,-0.088,0.7,150098.4,326.0501,1.491594413,1.133791138
15.98390168,0.17245,-0.088,0.75,150067.5,326.6634,1.491287346,1.135923799
15.98390168,0.17594,-0.088,0.8,150213.4,327.7532,1.492737219,1.139713417
15.98390168,0.17943,-0.088,0.85,150087.3,330.5687,1.491484108,1.149503904
15.98390168,0.18292,-0.088,0.9,148122.9,333.8342,1.471962993,1.160859198
15.98390168,0.18641,-0.088,0.95,141924.2,334.6232,1.41036376,1.163602829
15.98390168,0.1899,-0.088,1,132770.1,334.3511,1.319395406,1.162656642
14.7858767,0.1201,-0.088,0,157018.1,331.7607,1.560353891,1.153649309
14.7858767,0.12359,-0.088,0.05,160104.5,330.8838,1.591024726,1.150600017
14.7858767,0.12708,-0.088,0.1,159496.4,330.2079,1.584981785,1.148249674
14.7858767,0.13057,-0.088,0.15,159179.7,330.0941,1.581834606,1.147853951
14.7858767,0.13406,-0.088,0.2,159156,330.0999,1.581599089,1.14787412
14.7858767,0.13755,-0.088,0.25,159226.6,330.0989,1.58230067,1.147870642
14.7858767,0.14104,-0.088,0.3,159323.9,330.1014,1.583267581,1.147879336
14.7858767,0.14453,-0.088,0.35,159408.4,330.1036,1.584107292,1.147886986
14.7858767,0.14802,-0.088,0.4,159467.9,330.1076,1.584698568,1.147900895
14.7858767,0.15151,-0.088,0.45,159518.5,330.152,1.585201402,1.14805529
14.7858767,0.155,-0.088,0.5,159576.9,330.3784,1.585781747,1.148842563
14.7858767,0.15849,-0.088,0.55,159676.6,330.9601,1.586772507,1.150865339
14.7858767,0.16198,-0.088,0.6,159844.8,332.0137,1.58844398,1.154529079
14.7858767,0.16547,-0.088,0.65,160067.5,333.4703,1.590657042,1.159594193
14.7858767,0.16896,-0.088,0.7,160294.8,335.0146,1.592915816,1.16496427
14.7858767,0.17245,-0.088,0.75,160535.6,336.4483,1.595308746,1.169949752
14.7858767,0.17594,-0.088,0.8,160851.4,338.5589,1.598446981,1.177289055
14.7858767,0.17943,-0.088,0.85,160961.7,342.5999,1.599543078,1.191341041
14.7858767,0.18292,-0.088,0.9,160548.4,347.0892,1.595435944,1.206951926
14.7858767,0.18641,-0.088,0.95,158386.2,351.67,1.573949268,1.222880988
14.7858767,0.1899,-0.088,1,147729.2,350.8441,1.468046245,1.220009041
