Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20019.22602,13.80853397,100573.1,100573.6,287.5963,287.5968,159601.3,159646.9,338.4448,338.2578,1.586918371,1.176805126,1.176152864,0.800674806
20019.23646,14.09044157,100573.1,100573.5,287.5961,287.5965,160110.2,160142.9,337.6148,337.4527,1.591978372,1.173919952,1.173354683,0.819588418
20019.24342,14.37964552,100573,100573.4,287.596,287.5963,160178.3,160201.6,336.5347,336.3989,1.592657075,1.170164745,1.169691335,0.838101622
20019.25387,14.76449672,100572.9,100573.2,287.5957,287.596,159378.6,159401.6,334.9829,334.8735,1.584707212,1.164770196,1.164388587,0.855209495
20019.26083,15.08867612,100572.9,100573.2,287.5955,287.5958,158053.6,158082.9,333.5162,333.4273,1.571532689,1.159671135,1.159360811,0.865139711
20019.27127,15.36024042,100572.9,100573.1,287.5953,287.5955,156394.9,156431.5,332.1004,332.0259,1.555040175,1.154749052,1.154489204,0.870252833
20019.27475,15.59641613,100572.9,100573.1,287.5951,287.5954,154609.1,154652,330.7177,330.6564,1.537283901,1.149942054,1.149727708,0.873107742
20019.27823,15.81360515,100572.8,100573,287.5952,287.5953,152833.4,152880.4,329.3327,329.2852,1.519629562,1.145125857,1.144960297,0.876122558
20019.27823,15.9931181,100572.8,100573,287.5951,287.5953,150942.2,150991.9,327.9877,327.9514,1.500825273,1.140449542,1.14032253,0.876557242
20019.28171,16.15831363,100572.8,100572.9,287.595,287.5952,139655.2,139755.8,322.0439,322.0348,1.38859811,1.119782681,1.11975026,0.821195609
