Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.1445,100612.703,100794.742,287.587,287.732,131480.359,132938.438,318.501,318.57,1.306796807,1.107494428,1.107176122,0.741297925
20000,16.141,100612.688,100794.914,287.587,287.732,135407.344,136484.188,320.016,320.023,1.345827715,1.112762399,1.11222596,0.789161579
20000,16.113,100612.875,100795.781,287.587,287.733,143290.531,143898.188,323.802,323.663,1.424176886,1.125927111,1.124872712,0.851317788
20000,16.105,100612.922,100796.055,287.587,287.733,144912.75,145435.797,324.64,324.494,1.440299587,1.128841012,1.127760806,0.859968925
20000,16.093,100612.961,100796.445,287.587,287.734,146540.5,147002.484,325.475,325.332,1.456477362,1.131744481,1.130669299,0.867976885
20000,16.072,100613.047,100797.109,287.587,287.734,148159.422,148586.75,326.298,326.159,1.472566694,1.134606224,1.133543481,0.875507632
20000,16.0565,100613.148,100797.672,287.587,287.735,148958.828,149376.047,326.711,326.57,1.480510559,1.136042311,1.134967939,0.87899796
20000,16.033,100613.203,100798.414,287.587,287.735,149743.047,150154.594,327.127,326.984,1.488304144,1.137488829,1.136406763,0.882037331
20000,16.0245,100613.227,100798.703,287.587,287.736,149973.766,150384.422,327.254,327.11,1.490596917,1.137930435,1.136840715,0.882841732
20000,16.018,100613.25,100798.922,287.587,287.736,150125.953,150536.234,327.34,327.194,1.492109171,1.138229475,1.137132649,0.88333056
20000,15.951,100613.477,100801.141,287.588,287.738,151233.172,151641.297,328.012,327.853,1.503110483,1.140562193,1.139415023,0.885765464
20000,15.828,100614.172,100805.516,287.587,287.741,152640.938,153035.375,328.976,328.8,1.517091827,1.143918188,1.142694298,0.886264799
20000,15.677,100615.133,100811.164,287.587,287.745,154001.094,154372.109,329.99,329.808,1.530595741,1.147444078,1.146181515,0.884658315
20000,15.5085,100616.141,100817.656,287.589,287.751,155341.672,155693.469,331.04,330.86,1.543904094,1.151087142,1.149813554,0.881879764
20000,15.336,100617.164,100824.641,287.591,287.757,156693.266,157037.313,332.09,331.923,1.557321433,1.154730155,1.153483669,0.879050635
20000,15.148,100618.086,100832.445,287.592,287.764,158031.938,158385.5,333.157,333.013,1.570611649,1.158436257,1.157243436,0.875577341
20000,15.039,100618.453,100837.047,287.592,287.768,158674.922,159045.703,333.72,333.588,1.576996239,1.160393891,1.159225487,0.872964634
20000,14.913,100618.945,100842.586,287.592,287.772,159289.328,159694.625,334.324,334.205,1.583094794,1.162494089,1.161353433,0.869240752
20000,14.841,100619.125,100845.781,287.592,287.774,159576.172,160014.922,334.657,334.542,1.585942752,1.163651979,1.162516419,0.866624361
20000,14.792,100619.336,100848.102,287.592,287.776,159733.984,160206.313,334.881,334.766,1.587507832,1.16443086,1.163286723,0.864505324
20000,14.774,100619.43,100848.977,287.591,287.776,159783.438,160271.422,334.963,334.848,1.587997845,1.164720036,1.163571667,0.863614543
20000,14.755,100619.563,100849.938,287.591,287.777,159831.297,160337.984,335.049,334.933,1.588471389,1.165019072,1.163862991,0.8626725
20000,14.711,100619.617,100851.898,287.591,287.779,159913.828,160475.25,335.245,335.125,1.589290764,1.165700596,1.164522081,0.860238799
20000,14.656,100619.789,100854.555,287.591,287.781,159969.984,160625.547,335.495,335.367,1.589846148,1.166569886,1.165354905,0.856595321
20000,14.574,100620.086,100858.586,287.591,287.784,159971.672,160802.594,335.848,335.708,1.589858232,1.167797323,1.166527674,0.85057765
20000,14.4545,100620.508,100864.734,287.591,287.789,159895.078,161002.172,336.32,336.181,1.589090347,1.169438543,1.168150972,0.841429253
