Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.03,0.114126399,-0.16570884,0.000627387,50.4813766,0.933799446,145540.047,1.446533221
16.03,0.114506163,-0.165735319,0.007927421,49.3196793,1.82110691,150808.391,1.498895679
16.03,0.115010701,-0.165770501,0.014221293,50.6990051,1.08097529,153842.156,1.529048493
16.03,0.115513422,-0.165805563,0.020515773,46.552166,2.52727818,155209.359,1.542637224
16.03,0.116013415,-0.165840432,0.02681005,43.4517174,3.33472514,155965.813,1.550155676
16.03,0.116511501,-0.165875167,0.034684099,41.7636642,3.89951301,156500.844,1.555473388
16.03,0.117007449,-0.165909752,0.040982131,41.0229912,4.31588554,156715.203,1.557603918
16.03,0.117501497,-0.165944204,0.047289677,40.7019081,4.67768383,156750.281,1.557952561
16.03,0.117993385,-0.165978506,0.053585626,40.5357819,5.00676012,156715.297,1.557604852
16.03,0.118483037,-0.166012645,0.059881173,40.4363747,5.27780151,156643.125,1.556887529
16.03,0.118971229,-0.166046694,0.066177413,40.3546066,5.5338254,156549.328,1.555955274
16.03,0.119457148,-0.166080579,0.072473854,40.3117523,5.77036762,156385.828,1.554330236
16.03,0.119940698,-0.1661143,0.079562709,40.2829971,5.99580669,156194.672,1.552430322
16.03,0.120422944,-0.166147932,0.086667359,40.28862,6.19467211,155933.469,1.549834206
16.03,0.12090297,-0.166181415,0.092962213,40.3042717,6.38969707,155654.266,1.547059187
16.03,0.121381491,-0.166214779,0.099257439,40.3433189,6.56856728,155320.469,1.543741554
16.03,0.121857449,-0.166247979,0.105554268,40.3878479,6.74860668,154983.828,1.540395655
16.03,0.122332253,-0.166281089,0.111852773,40.4314194,6.90313625,154642.172,1.536999911
16.03,0.122804776,-0.166314036,0.11814899,40.4777756,7.06294203,154304.328,1.533642054
16.03,0.123275734,-0.166346878,0.124452636,40.4994774,7.19974756,154000.141,1.530618717
16.03,0.123744898,-0.166379601,0.130766004,40.5147324,7.33804464,153708.797,1.527723028
16.03,0.124212734,-0.166412219,0.137062609,40.5080872,7.46118689,153454.141,1.525191983
16.03,0.124678098,-0.166444674,0.141781494,40.4766808,7.56484365,153237.5,1.523038772
16.03,0.125141859,-0.166477025,0.148079276,40.4414406,7.67192793,153036.313,1.52103916
16.03,0.125604793,-0.166509315,0.15437898,40.3818893,7.74986839,152897.875,1.519663214
16.03,0.126064643,-0.166541368,0.160675704,40.3198395,7.82873297,152768.109,1.518373461
16.03,0.126523569,-0.166573375,0.166995019,40.2479134,7.88800192,152680.078,1.517498514
16.03,0.12698108,-0.166605279,0.173293546,40.1678886,7.92950726,152625.078,1.516951865
16.03,0.12743631,-0.166637018,0.179590732,40.0868568,7.96958685,152575.078,1.516454911
16.03,0.127890527,-0.166668698,0.185888886,39.9989281,7.99212837,152562.406,1.516328963
16.03,0.128343105,-0.166700274,0.19060874,39.9094238,8.01033401,152557.578,1.516280978
16.03,0.128793731,-0.166731685,0.196908683,39.8180923,8.02344608,152556,1.516265294
16.03,0.129243016,-0.166763023,0.203210786,39.7228699,8.02303028,152562.969,1.516334559
16.03,0.129690781,-0.16679424,0.209524363,39.6275063,8.02158928,152570.188,1.516406309
16.03,0.130136937,-0.166825354,0.215822637,39.5302162,8.0154686,152572.844,1.516432708
16.03,0.130582318,-0.166856408,0.220543802,39.4299583,8.00155067,152565.25,1.51635723
16.03,0.131025091,-0.166887283,0.226842031,39.3301048,7.98760414,152557.297,1.516278185
16.03,0.131466717,-0.166918084,0.233142063,39.2291985,7.96927595,152542.391,1.516130033
16.03,0.131907091,-0.166948795,0.237864837,39.127037,7.9437747,152513.234,1.515840239
16.03,0.132345617,-0.166979387,0.244163871,39.0250282,7.91869068,152483.813,1.515547822
16.03,0.132783055,-0.16700989,0.250478685,38.923172,7.89093113,152451.313,1.515224802
16.03,0.133219019,-0.167040288,0.256781429,38.8227959,7.85595131,152408.813,1.514802391
16.03,0.133653611,-0.167070597,0.2615031,38.7226486,7.82177877,152365.766,1.514374544
16.03,0.134086668,-0.167100802,0.267802268,38.6227875,7.78739405,152323,1.51394949
16.03,0.134518892,-0.167130932,0.274102002,38.5260925,7.74557781,152279.406,1.513516206
16.03,0.134949163,-0.167160943,0.278823912,38.4305763,7.70368481,152235.516,1.51307998
16.03,0.135378137,-0.167190865,0.285123467,38.3351173,7.66328955,152191.938,1.512646855
16.03,0.135805726,-0.167220682,0.289848089,38.2421875,7.61890078,152152.109,1.512250991
16.03,0.136232063,-0.16725041,0.296164304,38.1523285,7.57182312,152114.969,1.511881854
16.03,0.136657938,-0.167280108,0.3024638,38.0621605,7.52591753,152078.094,1.511515351
16.03,0.137080789,-0.167309597,0.307186633,37.9728165,7.48059654,152042.422,1.511160804
16.03,0.1375034,-0.167339072,0.313486725,37.8859024,7.4314208,152012.875,1.510867134
16.03,0.137924671,-0.167368442,0.318209618,37.7999382,7.38262177,151984.5,1.510585113
16.03,0.138344347,-0.167397708,0.324509889,37.7140656,7.33485842,151956.406,1.510305885
16.03,0.138762996,-0.167426899,0.32923314,37.6283646,7.28646564,151930.094,1.510044368
16.03,0.139180347,-0.167456001,0.335550964,37.5445976,7.23598766,151907.609,1.509820888
16.03,0.139596522,-0.167485029,0.340274185,37.4610825,7.18625784,151885.453,1.509600678
16.03,0.140010655,-0.167513922,0.346574843,37.377861,7.13746977,151863.578,1.509383261
16.03,0.140425161,-0.167542815,0.351298094,37.2938309,7.08774567,151843.125,1.509179977
16.03,0.140837789,-0.167571589,0.357598782,37.210556,7.03711939,151824.688,1.50899673
16.03,0.141249165,-0.167600274,0.362322241,37.1274681,6.98726082,151806.5,1.508815958
16.03,0.141658857,-0.167628855,0.368623525,37.04459,6.93819857,151788.625,1.508638297
16.03,0.142068043,-0.16765739,0.373347104,36.9611397,6.88876867,151771.141,1.508464522
16.03,0.142475784,-0.167685822,0.379664898,36.8780975,6.83862972,151754.25,1.508296642
16.03,0.142882481,-0.167714179,0.384388715,36.7952003,6.78912306,151737.578,1.508130937
16.03,0.143288299,-0.167742476,0.389112592,36.7122269,6.74021721,151721.188,1.507968036
16.03,0.14369221,-0.167770654,0.395414025,36.6292076,6.69169092,151704.891,1.507806059
16.03,0.144095376,-0.167798758,0.400138855,36.5449867,6.64222193,151687.906,1.507637244
16.03,0.144497633,-0.167826816,0.406440884,36.4607887,6.59320688,151671.078,1.507469989
16.03,0.144898668,-0.167854786,0.411165327,36.3767662,6.54495382,151654.406,1.507304285
16.03,0.145298541,-0.167882666,0.415889353,36.2928658,6.49739885,151637.891,1.507140141
16.03,0.145697445,-0.167910486,0.422204971,36.2084274,6.44916725,151620.703,1.506969308
16.03,0.146095231,-0.167938232,0.426928997,36.1246071,6.40099144,151602.813,1.506791498
16.03,0.14649196,-0.167965889,0.433230698,36.0408745,6.35353041,151585.047,1.506614921
16.03,0.14688763,-0.167993486,0.43795532,35.9571342,6.30670357,151567.5,1.50644052
16.03,0.147281945,-0.168020993,0.44268018,35.8735657,6.26040649,151550.188,1.506268454
16.03,0.147675678,-0.168048441,0.447405785,35.7902946,6.21325016,151533.422,1.506101816
16.03,0.148067355,-0.168075755,0.453709304,35.7078018,6.16653681,151517.125,1.505939839
16.03,0.1484593,-0.168103099,0.458448082,35.6252098,6.12043953,151500.859,1.50577817
16.03,0.148849517,-0.168130308,0.463172972,35.5426826,6.07497358,151484.734,1.505617902
16.03,0.149239138,-0.168157473,0.469475359,35.4608955,6.02968502,151469.063,1.505462147
16.03,0.149627566,-0.168184564,0.474199802,35.3829613,5.9838562,151453.906,1.505311501
16.03,0.150015101,-0.168211594,0.478925139,35.3056793,5.93850851,151439.141,1.50516475
16.03,0.150401384,-0.168238536,0.483650178,35.2284889,5.89371681,151424.406,1.505018298
16.03,0.150786981,-0.168265417,0.489952505,35.1513519,5.84949398,151409.953,1.504874648
16.03,0.151171237,-0.16829221,0.494678199,35.0755997,5.80526781,151396.313,1.504739079
16.03,0.151555032,-0.168318987,0.499405056,35.0030479,5.76065636,151384.406,1.504620735
16.03,0.151937187,-0.16834563,0.504144907,34.9308472,5.71658039,151372.797,1.504505352
16.03,0.152318403,-0.168372214,0.510447681,34.858799,5.67299414,151361.391,1.504391987
16.03,0.152698889,-0.168398753,0.515173435,34.7865334,5.62977839,151349.813,1.504276913
16.03,0.153079048,-0.168425262,0.519899011,34.7169724,5.58637238,151338.734,1.504166798
16.03,0.153457791,-0.168451667,0.524624944,34.6515503,5.54287672,151328.219,1.504062288
16.03,0.153835878,-0.168478042,0.529350877,34.5862083,5.49978828,151317.844,1.50395917
16.03,0.154212177,-0.168504283,0.53565383,34.5209389,5.45713139,151307.453,1.503855893
16.03,0.154588506,-0.168530524,0.540379941,34.4557304,5.41483212,151297.203,1.503754018
16.03,0.154963687,-0.16855669,0.545119822,34.3935585,5.37269974,151287.828,1.503660839
16.03,0.155338153,-0.168582812,0.549845219,34.3349457,5.3310461,151279.422,1.503577291
16.03,0.155711338,-0.168608829,0.554570794,34.2762909,5.28970766,151271.016,1.503493743
16.03,0.156083778,-0.168634802,0.559296727,34.2177811,5.24878979,151262.703,1.50341112
16.03,0.156455308,-0.168660715,0.565600157,34.1592979,5.20820427,151254.438,1.503328973
16.03,0.156825826,-0.168686554,0.570326447,34.1045876,5.16795778,151246.875,1.503253804
16.03,0.157195672,-0.168712348,0.575054288,34.0535698,5.1282382,151239.953,1.503185006
16.03,0.157564431,-0.168738067,0.579780817,34.0024147,5.08872604,151233.031,1.503116208
16.03,0.157932505,-0.168763727,0.584521711,33.9514046,5.04961967,151226.172,1.503048036
16.03,0.158299819,-0.168789342,0.589247823,33.9003487,5.01077986,151219.406,1.502980788
16.03,0.158666193,-0.168814898,0.593974352,33.8523178,4.97226667,151214.094,1.502927991
16.03,0.15903157,-0.168840379,0.598699987,33.8076744,4.93414068,151210.359,1.502890869
16.03,0.159396797,-0.168865845,0.603426635,33.762722,4.89624262,151206.641,1.502853915
16.03,0.159760535,-0.168891206,0.608152866,33.7180367,4.85878134,151202.969,1.502817419
16.03,0.160123587,-0.168916523,0.612879515,33.6733093,4.82157803,151199.344,1.50278139
16.03,0.160485744,-0.168941781,0.619183421,33.6310234,4.78501177,151197.125,1.502759335
16.03,0.160847053,-0.168966979,0.623911262,33.5923576,4.74926138,151196.922,1.502757318
16.03,0.161207616,-0.168992132,0.628653347,33.5536537,4.71377325,151196.766,1.502755767
16.03,0.161567226,-0.169017211,0.633380413,33.5152626,4.67874765,151196.594,1.502754058
16.03,0.161926553,-0.169042259,0.638107061,33.4761848,4.64364243,151196.484,1.502752964
