Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.03,0.120113537,-0.088,-2.37E-07,138786.156,330.27121,1.379405802,1.148421904
16.03,0.120453447,-0.088,0.007134317,144782.969,330.26239,1.439008567,1.148391235
16.03,0.120905265,-0.088,0.01336938,147373.75,329.845795,1.46475853,1.146942647
16.03,0.121355399,-0.088,0.019604016,149335.406,329.600098,1.484255573,1.146088307
16.03,0.121803813,-0.088,0.025840825,150941.547,329.316071,1.500219127,1.145100686
16.03,0.122250639,-0.088,0.03207859,151916.75,328.831177,1.509911741,1.143414608
16.03,0.122695833,-0.088,0.038315713,152419.219,328.295227,1.514905817,1.141550998
16.03,0.123139419,-0.088,0.044553582,152713.75,327.842316,1.517833183,1.139976132
16.03,0.123581387,-0.088,0.05079281,152926.719,327.495026,1.519949897,1.138768533
16.03,0.124021709,-0.088,0.057031252,153114.063,327.24054,1.521811923,1.137883632
16.03,0.124460638,-0.088,0.063270122,153302.344,327.074463,1.523683262,1.137306147
16.03,0.124897942,-0.088,0.069508888,153464.297,326.965057,1.525292924,1.13692572
16.03,0.125334442,-0.088,0.075748682,153555.469,326.87262,1.52619909,1.136604297
16.03,0.12576808,-0.088,0.081988141,153568.141,326.782654,1.526325038,1.136291467
16.03,0.12620078,-0.088,0.088227376,153515.484,326.690857,1.525801676,1.135972269
16.03,0.126632079,-0.088,0.094466195,153405.438,326.594666,1.52470792,1.135637793
16.03,0.127062008,-0.088,0.100705542,153259.297,326.493011,1.523255414,1.135284317
16.03,0.127490297,-0.088,0.106944531,153096.031,326.388733,1.521632702,1.134921721
16.03,0.127917305,-0.088,0.113183521,152920.203,326.282379,1.519885134,1.134551906
16.03,0.128342777,-0.088,0.119423576,152743.328,326.177551,1.518127161,1.134187397
16.03,0.128766939,-0.088,0.125660211,152566.344,326.075409,1.516368104,1.133832228
16.03,0.12918964,-0.088,0.131900698,152397.391,325.978882,1.514688867,1.133496584
16.03,0.129611045,-0.088,0.136576235,152239.172,325.889801,1.513116317,1.13318683
16.03,0.130030945,-0.088,0.142815858,152090.469,325.806488,1.511638347,1.132897134
16.03,0.130449668,-0.088,0.149054438,151961.391,325.735138,1.510355431,1.132649035
16.03,0.13086684,-0.088,0.155291393,151836.266,325.66629,1.509111805,1.132409636
16.03,0.131282941,-0.088,0.161530524,151732.984,325.611481,1.508085277,1.132219054
16.03,0.13169758,-0.088,0.167767942,151634.453,325.559692,1.50710597,1.132038973
16.03,0.132110909,-0.088,0.172446117,151545,325.514252,1.50621689,1.131880968
16.03,0.132523105,-0.088,0.178680807,151469.75,325.47876,1.505468975,1.131757555
16.03,0.132933751,-0.088,0.184918851,151394.969,325.443512,1.504725721,1.13163499
16.03,0.133343324,-0.088,0.191157848,151330.781,325.414459,1.504087752,1.131533967
16.03,0.13375169,-0.088,0.195830747,151275.547,325.390656,1.503538777,1.131451199
16.03,0.134158537,-0.088,0.202072948,151220.766,325.367065,1.502994305,1.131369168
16.03,0.134564459,-0.088,0.208309397,151175.625,325.347412,1.502545645,1.131300831
16.03,0.1349691,-0.088,0.212981701,151135.422,325.329865,1.502146065,1.131239816
16.03,0.135372221,-0.088,0.219217509,151095.75,325.312469,1.501751762,1.131179327
16.03,0.135774583,-0.088,0.22546342,151062.563,325.296539,1.501421914,1.131123935
16.03,0.136175632,-0.088,0.231696174,151031.563,325.281128,1.501113802,1.131070347
16.03,0.136575162,-0.088,0.236370414,151000.844,325.265778,1.500808484,1.131016972
16.03,0.136973992,-0.088,0.242607594,150972.5,325.250641,1.500526771,1.130964338
16.03,0.13737151,-0.088,0.24727951,150944.781,325.235596,1.50025127,1.130912023
16.03,0.137767598,-0.088,0.253522336,150917,325.220551,1.499975152,1.130859709
16.03,0.138163,-0.088,0.259758145,150888.297,325.205109,1.499689871,1.130806013
16.03,0.138557076,-0.088,0.264430046,150859.297,325.189606,1.499401638,1.130752106
16.03,0.138949782,-0.088,0.270666748,150830.281,325.174194,1.499113246,1.130698516
16.03,0.139341846,-0.088,0.275350779,150800.672,325.158997,1.49881896,1.130645672
16.03,0.139732644,-0.088,0.281583846,150770.813,325.14389,1.498522189,1.130593142
16.03,0.140122026,-0.088,0.287819445,150741.172,325.129028,1.498227585,1.130541464
16.03,0.140510738,-0.088,0.292495728,150712.672,325.115723,1.497944321,1.1304952
16.03,0.140898272,-0.088,0.298729658,150684.391,325.102844,1.497663234,1.130450417
16.03,0.141284496,-0.088,0.303411245,150656.297,325.09021,1.497384006,1.130406486
16.03,0.141670018,-0.088,0.309648007,150629.719,325.079956,1.497119845,1.13037083
16.03,0.142054379,-0.088,0.31432125,150603.5,325.070313,1.496859253,1.1303373
16.03,0.142437518,-0.088,0.320557386,150577.516,325.060852,1.496600996,1.130304402
16.03,0.142819881,-0.088,0.325241685,150553.938,325.053253,1.496366652,1.130277978
16.03,0.143201172,-0.088,0.331476897,150531.094,325.046234,1.496139604,1.130253572
16.03,0.143581271,-0.088,0.336151987,150508.375,325.039368,1.495913798,1.130229697
16.03,0.143960536,-0.088,0.342389733,150487.531,325.034607,1.495706628,1.130213142
16.03,0.144338802,-0.088,0.347064435,150467.484,325.030792,1.49550738,1.130199877
16.03,0.144715965,-0.088,0.353307396,150447.484,325.027039,1.495308598,1.130186827
16.03,0.145092264,-0.088,0.357983917,150429.344,325.024384,1.495128303,1.130177595
16.03,0.145467624,-0.088,0.364219904,150412.344,325.02243,1.494959339,1.1301708
16.03,0.145841897,-0.088,0.36889559,150395.344,325.020508,1.494790375,1.130164117
16.03,0.14621523,-0.088,0.373574048,150380.031,325.019135,1.494638178,1.130159343
16.03,0.14658767,-0.088,0.37981835,150366.422,325.01828,1.494502917,1.13015637
16.03,0.146959141,-0.088,0.384494305,150352.813,325.017456,1.494367656,1.130153505
16.03,0.147329658,-0.088,0.390733033,150340.313,325.016663,1.494243418,1.130150747
16.03,0.147699311,-0.088,0.395409793,150329.766,325.015961,1.49413859,1.130148306
16.03,0.148067966,-0.088,0.400092572,150319.297,325.015228,1.494034538,1.130145758
16.03,0.148435667,-0.088,0.406330854,150309.234,325.014343,1.493934521,1.13014268
16.03,0.148802593,-0.088,0.411007851,150300.484,325.012787,1.493847554,1.13013727
16.03,0.149168566,-0.088,0.415685028,150291.875,325.0112,1.493761989,1.130131751
16.03,0.14953357,-0.088,0.421924382,150283.297,325.009521,1.493676732,1.130125913
16.03,0.149897799,-0.088,0.426609457,150274.844,325.007263,1.493592717,1.130118062
16.03,0.150261089,-0.088,0.431284726,150266.422,325.004883,1.49350901,1.130109786
16.03,0.150623441,-0.088,0.437525362,150258.016,325.002502,1.493425462,1.130101507
16.03,0.150985032,-0.088,0.442204833,150249.375,325.000214,1.493339578,1.130093551
16.03,0.15134576,-0.088,0.44688347,150240.594,324.997955,1.493252303,1.130085696
16.03,0.151705563,-0.088,0.45312202,150231.828,324.995697,1.493165177,1.130077844
16.03,0.152064502,-0.088,0.457802981,150223.031,324.994019,1.493077743,1.13007201
16.03,0.152422681,-0.088,0.462482601,150214.172,324.993073,1.492989693,1.13006872
16.03,0.152779922,-0.088,0.467161775,150205.313,324.992096,1.492901643,1.130065323
16.03,0.153136298,-0.088,0.473403275,150196.406,324.991577,1.492813116,1.130063518
16.03,0.153492019,-0.088,0.478080928,150187.094,324.992462,1.492720563,1.130066595
16.03,0.15384686,-0.088,0.48276028,150177.781,324.9935,1.492628,1.130070205
16.03,0.154200777,-0.088,0.487440228,150168.531,324.99469,1.492536064,1.130074343
16.03,0.154553965,-0.088,0.493682504,150159.547,324.998169,1.492446771,1.13008644
16.03,0.154906347,-0.088,0.498362005,150150.641,325.00238,1.492358254,1.130101082
16.03,0.155257925,-0.088,0.503040135,150141.797,325.006592,1.492270353,1.130115728
16.03,0.155608699,-0.088,0.507720888,150133.594,325.012634,1.492188823,1.130136738
16.03,0.155958101,-0.088,0.513962984,150126.063,325.020599,1.492113971,1.130164434
16.03,0.156307936,-0.088,0.51864332,150118.5,325.028534,1.492038802,1.130192025
16.03,0.156656235,-0.088,0.523323894,150110.938,325.037079,1.491963643,1.130221738
16.03,0.157003924,-0.088,0.528002083,150103.109,325.047913,1.49188583,1.13025941
16.03,0.157350823,-0.088,0.532682598,150095.266,325.058929,1.491807878,1.130297715
16.03,0.157696933,-0.088,0.537363112,150087.516,325.070068,1.49173085,1.130336448
