Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,14.476,100621.57,100864.898,287.591,287.788,159511.641,160793.734,336.274,335.961,1.585262891,1.169278594,1.167390579,0.840554692
20000,14.561,100619.695,100859.125,287.591,287.785,159519.844,160637.719,335.943,335.662,1.585373957,1.168127654,1.166363779,0.845879862
20000,14.724,100620.125,100852.102,287.591,287.778,159420.375,160292.266,335.237,334.963,1.584378622,1.165672778,1.163963194,0.857016139
20000,14.773,100619.891,100849.727,287.591,287.777,159338.203,160104.969,334.965,334.748,1.583565649,1.164726991,1.163220132,0.859893108
20000,14.835,100618.789,100846.008,287.592,287.775,159208.813,159894.281,334.671,334.466,1.58229705,1.163700659,1.162248284,0.86343459
20000,14.996,100619.359,100839.898,287.592,287.769,158632.5,159177.078,333.861,333.66,1.576560431,1.160884169,1.15947166,0.87105306
20000,15.127,100618.727,100834.164,287.592,287.765,158002.391,158451.391,333.161,332.984,1.57030799,1.158450166,1.157138637,0.875761318
20000,15.491,100616.016,100818.414,287.589,287.751,155339.594,155736.875,330.945,330.76,1.543885359,1.150756809,1.149466031,0.883903957
20000,15.657,100615.984,100812.875,287.588,287.746,153976.422,154394.297,329.879,329.697,1.530337585,1.147054119,1.145791775,0.886649938
20000,15.935,100614.023,100802.414,287.587,287.738,151201.344,151659.859,327.905,327.751,1.502785988,1.140194098,1.139060534,0.887525068
20000,16.004,100613.625,100799.969,287.587,287.736,150117.938,150577.766,327.195,327.052,1.492023948,1.13772528,1.136639141,0.88638704
20000,16.021,100613.648,100799.453,287.587,287.736,149707.078,150167.281,326.969,326.829,1.487940066,1.136939431,1.135864125,0.884983784
20000,16.046,100613.43,100798.5,287.587,287.735,148960.109,149424.219,326.549,326.414,1.480519141,1.135479003,1.134425774,0.882556914
20000,16.108,100612.977,100796.273,287.587,287.733,143316.453,143976.25,323.626,323.498,1.424433083,1.125315122,1.124299264,0.855702725
20000,16.134,100613.273,100795.82,287.587,287.733,135375.469,136707.859,319.895,319.93,1.345503083,1.112341657,1.111898878,0.790797806
20000,16.145,100613.031,100795.258,287.587,287.732,127681.391,130341.148,317.693,317.753,1.269034336,1.104684843,1.104336674,0.675157384
