Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.004,0.114214405,-0.165714964,0.000627485,46.40345,2.03161573,148063.344,1.47160368
16.004,0.114740491,-0.165751666,0.010276943,51.7597466,0.911168158,153372.344,1.524369906
16.004,0.115317807,-0.165791914,0.01757193,47.7022171,2.17953134,155191,1.542445554
16.004,0.11582914,-0.165827572,0.025167724,44.0048599,3.03800726,156018.594,1.550671023
16.004,0.116307817,-0.165860966,0.031333756,42.1125488,3.60408115,156568.484,1.556136387
16.004,0.116770118,-0.165893197,0.03758172,41.3021469,4.03298903,156863.438,1.559067939
16.004,0.117225967,-0.165924996,0.043873947,40.9860916,4.39439344,156995.641,1.560381907
16.004,0.117678449,-0.165956542,0.050163657,40.8480949,4.72210073,156977.922,1.560205797
16.004,0.118128121,-0.165987894,0.054885339,40.7478867,5.01273823,156913.563,1.559566132
16.004,0.118576214,-0.166019142,0.061184846,40.6773949,5.26209974,156801.781,1.558455129
16.004,0.119023755,-0.16605036,0.067488022,40.6190071,5.49919748,156667.453,1.557120041
16.004,0.119470082,-0.166081488,0.07379368,40.590374,5.71578789,156479.359,1.555250572
16.004,0.119915724,-0.166112557,0.078525163,40.5691147,5.92502594,156282,1.553289019
16.004,0.120361701,-0.166143671,0.084854849,40.5700607,6.1085062,156054.781,1.551030686
16.004,0.120807074,-0.166174725,0.091162249,40.5756874,6.29145813,155823.813,1.548735091
16.004,0.121252932,-0.166205823,0.097471245,40.5907516,6.45609951,155575.234,1.546264461
16.004,0.121698745,-0.166236907,0.102203064,40.6099854,6.62243938,155323.547,1.543762941
16.004,0.122145109,-0.166268036,0.108516321,40.626133,6.77092171,155072.219,1.541264988
16.004,0.122591235,-0.166299149,0.114825711,40.6419258,6.91331148,154820.453,1.538762682
16.004,0.123037681,-0.166330278,0.121139541,40.6520309,7.05105352,154576.188,1.536334929
16.004,0.123484269,-0.166361421,0.127468586,40.647686,7.16989183,154343.453,1.534021772
16.004,0.123930745,-0.166392565,0.132199034,40.6426277,7.29382563,154114.844,1.531749624
16.004,0.124377511,-0.166423708,0.138505965,40.6148033,7.39093924,153913.016,1.529743653
16.004,0.124823757,-0.166454837,0.144811675,40.5817795,7.48643875,153718.688,1.527812224
16.004,0.125269338,-0.166485906,0.151119381,40.5391655,7.57262564,153543.453,1.526070561
16.004,0.125715017,-0.166516989,0.155846864,40.4794044,7.63687134,153397.922,1.524624126
