Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,16.2496,101319,101321,288.151,288.151,123524,126902,317.639,317.609,1.2192,1.1023,1.1022,0.5698
20000,16.248,101319,101321,288.151,288.151,126578,129124,318.075,318.041,1.2493,1.1038,1.1037,0.633
20000,16.2455,101319,101321,288.151,288.151,129653,131498,318.66,318.592,1.2797,1.1059,1.1056,0.691
20000,16.2417,101319,101321,288.151,288.151,133027,134445,319.451,319.386,1.313,1.1086,1.1084,0.7463
20000,16.2334,101319,101321,288.151,288.151,136776,137866,320.964,320.819,1.35,1.1139,1.1134,0.7896
20000,16.2202,101319,101321,288.151,288.151,140647,141423,322.773,322.549,1.3882,1.1202,1.1194,0.8229
20000,16.2006,101319,101321,288.151,288.151,144594,145130,324.694,324.427,1.4271,1.1268,1.1259,0.8496
20000,16.1635,101319,101321,288.15,288.15,148627,148973,326.731,326.495,1.4669,1.1339,1.1331,0.8694
20000,16.1323,101319,101321,288.151,288.151,150226,150545,327.538,327.316,1.4827,1.1367,1.1359,0.8763
20000,16.0207,101319,101321,288.151,288.151,152476,152800,328.798,328.558,1.5049,1.1411,1.1402,0.8834
20000,15.8907,101319,101321,288.151,288.151,153867,154185,329.742,329.477,1.5186,1.1443,1.1434,0.8841
20000,15.8178,101319,101321,288.15,288.15,154550,154859,330.23,329.955,1.5254,1.146,1.1451,0.8838
20000,15.7417,101319,101321,288.151,288.151,155230,155527,330.721,330.44,1.5321,1.1477,1.1468,0.8833
20000,15.6618,101319,101322,288.15,288.15,155907,156191,331.222,330.937,1.5388,1.1495,1.1485,0.8825
20000,15.5783,101320,101322,288.15,288.15,156583,156856,331.728,331.441,1.5454,1.1512,1.1502,0.8815
20000,15.4915,101320,101322,288.15,288.15,157259,157519,332.242,331.956,1.5521,1.153,1.152,0.8803
20000,15.2017,101320,101322,288.15,288.15,159270,159507,333.853,333.579,1.572,1.1586,1.1577,0.875
20000,15.0912,101320,101322,288.15,288.15,159934,160171,334.43,334.162,1.5785,1.1606,1.1597,0.8724
20000,14.9691,101321,101322,288.149,288.149,160587,160832,335.053,334.786,1.5849,1.1628,1.1619,0.8689
20000,14.8211,101320,101322,288.15,288.15,161229,161506,335.806,335.514,1.5913,1.1654,1.1644,0.8635
20000,14.5853,101320,101322,288.152,288.152,161876,162295,337.092,336.636,1.5977,1.1698,1.1683,0.8513
20000,14.3793,101321,101323,288.149,288.149,162144,162734,338.103,337.527,1.6003,1.1734,1.1714,0.8391
20000,14.279,101321,101323,288.149,288.149,162211,162872,338.475,337.903,1.601,1.1747,1.1727,0.8335
