Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.02,0.189,-0.17093,0.9975,65.03,1.04,148666,1.4673
16.02,0.1886,-0.1709,0.9925,62.13,2.65,153932,1.5193
16.02,0.1881,-0.17086,0.985,57.86,4.02,156388,1.5435
16.02,0.1873,-0.17081,0.975,52.39,4.82,157019,1.5497
16.02,0.1866,-0.17076,0.965,48.23,4.83,156821,1.5478
16.02,0.1858,-0.1707,0.955,44.93,4.64,156737,1.5469
16.02,0.1851,-0.17065,0.945,42.69,4.34,156741,1.547
16.02,0.1843,-0.1706,0.935,40.9,4.01,156750,1.5471
16.02,0.1836,-0.17054,0.925,39.54,3.71,156516,1.5448
16.02,0.1828,-0.17049,0.915,38.61,3.55,156415,1.5438
16.02,0.1821,-0.17044,0.905,37.96,3.45,156011,1.5398
16.02,0.1809,-0.17036,0.89,36.93,3.4,155822,1.5379
16.02,0.1794,-0.17025,0.87,35.76,3.41,155587,1.5356
16.02,0.1779,-0.17014,0.85,34.8,3.44,155358,1.5333
16.02,0.1764,-0.17003,0.83,34.34,3.47,155233,1.5321
16.02,0.1749,-0.16993,0.81,33.98,3.51,155163,1.5314
16.02,0.1726,-0.16977,0.78,33.63,3.62,155088,1.5307
16.02,0.1696,-0.16955,0.74,33.63,3.75,154992,1.5297
16.02,0.1666,-0.16934,0.7,33.86,3.92,154893,1.5287
16.02,0.1636,-0.16913,0.66,34.1,4.13,154754,1.5274
16.02,0.1606,-0.16891,0.62,34.43,4.39,154603,1.5259
16.02,0.1576,-0.1687,0.58,34.84,4.65,154417,1.524
16.02,0.1546,-0.16848,0.54,35.35,4.96,154252,1.5224
16.02,0.1516,-0.16827,0.5,35.87,5.26,154083,1.5207
16.02,0.1486,-0.16806,0.46,36.44,5.58,153932,1.5193
16.02,0.1455,-0.16784,0.42,36.99,5.87,153772,1.5177
16.02,0.1425,-0.16763,0.38,37.6,6.16,153632,1.5163
16.02,0.1395,-0.16741,0.34,38.19,6.4,153521,1.5152
16.02,0.1365,-0.1672,0.3,38.86,6.63,153442,1.5144
16.02,0.1335,-0.16699,0.26,39.48,6.81,153347,1.5135
16.02,0.1305,-0.16677,0.22,40.13,6.96,153451,1.5145
16.02,0.1282,-0.16661,0.19,40.55,7.03,153832,1.5183
16.02,0.1267,-0.1665,0.17,40.8,7.06,154152,1.5214
16.02,0.1252,-0.1664,0.15,41.07,7.05,154520,1.5251
16.02,0.1237,-0.16629,0.13,41.3,6.95,155121,1.531
16.02,0.1222,-0.16618,0.11,41.42,6.81,155680,1.5365
16.02,0.1211,-0.1661,0.095,41.49,6.69,155729,1.537
16.02,0.1203,-0.16605,0.085,41.55,6.42,155404,1.5338
16.02,0.1196,-0.166,0.075,41.57,6.32,154797,1.5278
16.02,0.1188,-0.16594,0.065,41.7,5.99,153493,1.5149
16.02,0.1181,-0.16589,0.055,41.95,5.71,151297,1.4932
16.02,0.1173,-0.16584,0.045,42.36,5.37,148521,1.4658
16.02,0.1166,-0.16578,0.035,43.12,4.93,144924,1.4303
16.02,0.1158,-0.16573,0.025,44.97,4.25,141228,1.3939
16.02,0.1151,-0.16568,0.015,48.56,3.38,137895,1.361
16.02,0.1145,-0.16564,0.0075,53.66,2.25,135776,1.3401
16.02,0.1141,-0.16561,0.0025,65.09,0.52,132724,1.3099
14.82,0.189,-0.17093,0.9975,71.21,0.79,148120,1.4619
14.82,0.1886,-0.1709,0.9925,69.72,1.87,153691,1.5169
14.82,0.1881,-0.17086,0.985,67.35,2.92,155632,1.536
14.82,0.1873,-0.17081,0.975,63.98,3.66,157367,1.5532
14.82,0.1866,-0.17076,0.965,60.62,3.96,159303,1.5723
14.82,0.1858,-0.1707,0.955,57.52,4.29,161515,1.5941
14.82,0.1851,-0.17065,0.945,55.29,4.47,163426,1.613
14.82,0.1843,-0.1706,0.935,53.32,4.39,165295,1.6314
14.82,0.1836,-0.17054,0.925,51.75,4.16,166756,1.6458
14.82,0.1828,-0.17049,0.915,50.56,4.08,167411,1.6523
14.82,0.1821,-0.17044,0.905,49.68,4.06,167717,1.6553
14.82,0.1809,-0.17036,0.89,48.35,4.14,167869,1.6568
14.82,0.1794,-0.17025,0.87,47.09,4.13,167434,1.6525
14.82,0.1779,-0.17014,0.85,45.66,4.18,166241,1.6407
14.82,0.1764,-0.17003,0.83,44.59,4.23,165443,1.6329
14.82,0.1749,-0.16993,0.81,43.66,4.29,164760,1.6261
14.82,0.1726,-0.16977,0.78,42.55,4.41,163952,1.6181
14.82,0.1696,-0.16955,0.74,41.7,4.59,163307,1.6118
14.82,0.1666,-0.16934,0.7,41.11,4.81,162949,1.6082
14.82,0.1636,-0.16913,0.66,40.77,5.05,162791,1.6067
