Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.02,0.1898,-0.088,0.9975,137225,338.09,1.3544,1.1733
16.02,0.1895,-0.088,0.9925,139770,338.24,1.3795,1.1738
16.02,0.189,-0.088,0.985,141251,338.27,1.3941,1.1739
16.02,0.1883,-0.088,0.975,143069,338.29,1.412,1.174
16.02,0.1876,-0.088,0.965,144921,338.26,1.4303,1.1739
16.02,0.1869,-0.088,0.955,146555,338.12,1.4464,1.1734
16.02,0.1862,-0.088,0.945,148292,337.82,1.4636,1.1724
16.02,0.1855,-0.088,0.935,149649,337.45,1.477,1.1711
16.02,0.1848,-0.088,0.925,150807,336.85,1.4884,1.169
16.02,0.1841,-0.088,0.915,151688,336.07,1.4971,1.1663
16.02,0.1834,-0.088,0.905,152251,335.21,1.5027,1.1633
16.02,0.1823,-0.088,0.89,152752,333.82,1.5076,1.1585
16.02,0.1809,-0.088,0.87,153070,332.19,1.5107,1.1528
16.02,0.1795,-0.088,0.85,153113,330.96,1.5112,1.1485
16.02,0.1781,-0.088,0.83,152959,329.98,1.5096,1.1452
16.02,0.1767,-0.088,0.81,152763,329.19,1.5077,1.1424
16.02,0.1746,-0.088,0.78,152555,328.34,1.5057,1.1395
16.02,0.1718,-0.088,0.74,152409,327.57,1.5042,1.1368
16.02,0.169,-0.088,0.7,152435,327.07,1.5045,1.1351
16.02,0.1662,-0.088,0.66,152564,326.75,1.5057,1.134
16.02,0.1634,-0.088,0.62,152706,326.56,1.5072,1.1333
16.02,0.1606,-0.088,0.58,152848,326.45,1.5086,1.1329
16.02,0.1578,-0.088,0.54,152994,326.41,1.51,1.1328
16.02,0.155,-0.088,0.5,153140,326.42,1.5114,1.1328
16.02,0.1522,-0.088,0.46,153272,326.45,1.5127,1.1329
16.02,0.1494,-0.088,0.42,153401,326.49,1.514,1.133
16.02,0.1466,-0.088,0.38,153523,326.53,1.5152,1.1332
16.02,0.1438,-0.088,0.34,153629,326.59,1.5163,1.1334
16.02,0.141,-0.088,0.3,153714,326.66,1.5171,1.1336
16.02,0.1382,-0.088,0.26,153783,326.72,1.5178,1.1339
16.02,0.1354,-0.088,0.22,153847,326.8,1.5184,1.1341
16.02,0.1333,-0.088,0.19,153911,326.86,1.519,1.1343
16.02,0.1319,-0.088,0.17,153975,326.91,1.5197,1.1345
16.02,0.1305,-0.088,0.15,154068,326.97,1.5206,1.1347
16.02,0.1291,-0.088,0.13,154203,327.05,1.5219,1.135
16.02,0.1277,-0.088,0.11,154426,327.21,1.5241,1.1355
16.02,0.1267,-0.088,0.095,154644,327.41,1.5263,1.1362
16.02,0.126,-0.088,0.085,154784,327.59,1.5277,1.1369
16.02,0.1253,-0.088,0.075,154888,327.86,1.5287,1.1378
16.02,0.1246,-0.088,0.065,154884,328.32,1.5286,1.1394
16.02,0.1239,-0.088,0.055,154770,328.85,1.5275,1.1412
16.02,0.1232,-0.088,0.045,154544,329.35,1.5253,1.143
16.02,0.1225,-0.088,0.035,154260,329.8,1.5225,1.1445
16.02,0.1218,-0.088,0.025,153916,330.21,1.5191,1.146
16.02,0.1211,-0.088,0.015,153506,330.54,1.515,1.1471
16.02,0.1205,-0.088,0.0075,153096,330.73,1.511,1.1478
16.02,0.1202,-0.088,0.0025,152643,330.79,1.5065,1.148
14.82,0.1898,-0.088,0.9975,150707,353.55,1.4874,1.227
14.82,0.1895,-0.088,0.9925,154108,353.49,1.521,1.2267
14.82,0.189,-0.088,0.985,156032,353.09,1.54,1.2254
14.82,0.1883,-0.088,0.975,157735,352.37,1.5568,1.2229
14.82,0.1876,-0.088,0.965,158916,351.6,1.5684,1.2202
14.82,0.1869,-0.088,0.955,159735,350.85,1.5765,1.2176
14.82,0.1862,-0.088,0.945,160506,349.96,1.5841,1.2145
14.82,0.1855,-0.088,0.935,161050,349.17,1.5895,1.2118
14.82,0.1848,-0.088,0.925,161450,348.3,1.5934,1.2087
14.82,0.1841,-0.088,0.915,161759,347.43,1.5965,1.2057
14.82,0.1834,-0.088,0.905,161975,346.63,1.5986,1.2029
14.82,0.1823,-0.088,0.89,162176,345.47,1.6006,1.1989
14.82,0.1809,-0.088,0.87,162213,343.98,1.601,1.1937
14.82,0.1795,-0.088,0.85,162082,342.56,1.5997,1.1888
14.82,0.1781,-0.088,0.83,161933,341.18,1.5982,1.184
14.82,0.1767,-0.088,0.81,161852,339.93,1.5974,1.1797
14.82,0.1746,-0.088,0.78,161887,338.44,1.5977,1.1745
14.82,0.1718,-0.088,0.74,162003,336.67,1.5989,1.1684
14.82,0.169,-0.088,0.7,161939,334.91,1.5983,1.1623
14.82,0.1662,-0.088,0.66,161724,333.37,1.5961,1.1569
14.82,0.1634,-0.088,0.62,161592,332.22,1.5948,1.1529
14.82,0.1606,-0.088,0.58,161475,331.51,1.5937,1.1505
14.82,0.1578,-0.088,0.54,161414,331.21,1.5931,1.1494
14.82,0.155,-0.088,0.5,161368,331.13,1.5926,1.1492
14.82,0.1522,-0.088,0.46,161292,331.14,1.5919,1.1492
14.82,0.1494,-0.088,0.42,161189,331.16,1.5909,1.1492
14.82,0.1466,-0.088,0.38,161080,331.16,1.5898,1.1493
14.82,0.1438,-0.088,0.34,160993,331.16,1.5889,1.1492
14.82,0.141,-0.088,0.3,160919,331.15,1.5882,1.1492
14.82,0.1382,-0.088,0.26,160851,331.13,1.5875,1.1492
14.82,0.1354,-0.088,0.22,160888,331.13,1.5879,1.1491
14.82,0.1333,-0.088,0.19,161007,331.14,1.5891,1.1492
14.82,0.1319,-0.088,0.17,161123,331.16,1.5902,1.1493
14.82,0.1305,-0.088,0.15,161279,331.18,1.5917,1.1493
14.82,0.1291,-0.088,0.13,161470,331.19,1.5936,1.1494
14.82,0.1277,-0.088,0.11,161782,331.28,1.5967,1.1497
14.82,0.1267,-0.088,0.095,162023,331.42,1.5991,1.1502
14.82,0.126,-0.088,0.085,162157,331.57,1.6004,1.1507
14.82,0.1253,-0.088,0.075,162220,331.77,1.601,1.1514
14.82,0.1246,-0.088,0.065,162198,332.12,1.6008,1.1526
14.82,0.1239,-0.088,0.055,162109,332.53,1.5999,1.154
14.82,0.1232,-0.088,0.045,161958,332.91,1.5984,1.1553
14.82,0.1225,-0.088,0.035,161758,333.24,1.5965,1.1565
14.82,0.1218,-0.088,0.025,161511,333.57,1.594,1.1576
14.82,0.1211,-0.088,0.015,161204,333.84,1.591,1.1586
14.82,0.1205,-0.088,0.0075,160886,334.02,1.5879,1.1592
14.82,0.1202,-0.088,0.0025,160519,334.09,1.5842,1.1594
