Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20044.7,16.03337,99858.46,99907.89,286.5426,286.543,124081.1,127016.8,316.4563,316.3823,1.242569733,1.104395298,1.104135505,0.614752393
20044.7,16.02688,99858.48,99908.14,286.5426,286.5435,128126.7,130291.3,317.3348,317.1987,1.283082819,1.107461159,1.106982709,0.689981594
20044.7,16.02178,99858.48,99908.23,286.5426,286.5436,130746.2,132504.5,318.0298,317.8758,1.309314943,1.109886628,1.109345314,0.732023393
20044.7,16.01186,99858.51,99908.11,286.5426,286.544,134048.6,135429.6,319.3546,319.1267,1.342385341,1.114510024,1.113709238,0.771864828
20044.7,15.99385,99858.45,99908.34,286.5424,286.5435,138102.8,139149.8,321.2788,320.9581,1.382985616,1.121226038,1.120102532,0.808210921
20044.7,15.95415,99858.51,99908.27,286.5424,286.5429,143048,143788.1,323.7683,323.414,1.432506854,1.129914107,1.128675671,0.84049531
20044.7,15.88355,99858.48,99909.02,286.5424,286.5423,146240.5,146892.1,325.4889,325.131,1.464477529,1.135918803,1.134670169,0.85514028
20044.7,15.6979,99858.3,99910.36,286.5425,286.5432,149092.1,149691.3,327.3333,326.9329,1.493036633,1.142355148,1.140955011,0.860788991
20044.7,15.3241,99858.47,99913.86,286.5426,286.5422,152635,153140.6,329.9515,329.5044,1.528513305,1.15149196,1.149933238,0.859592474
20044.7,15.0958,99858.48,99915.66,286.5425,286.5421,154350.1,154820.6,331.318,330.8631,1.545688458,1.156261288,1.154675351,0.856576223
20044.7,14.8293,99858.53,99917.93,286.5423,286.5424,155904,156359.5,332.71,332.2468,1.561248699,1.161120016,1.159503096,0.850998587
20044.7,14.5049,99858.31,99921.11,286.5422,286.5415,157137.5,157618.2,334.1866,333.672,1.57360464,1.166273589,1.164480538,0.840815542
20044.7,14.30622,99858.17,99923.66,286.5421,286.5423,157544.8,158071.6,335.0115,334.4216,1.577685632,1.169152805,1.167093305,0.832711157
20044.7,14.06746,99858.18,99926.16,286.5421,286.5424,157679.8,158294,335.882,335.1847,1.579037391,1.172190753,1.169756029,0.821291804
