Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.95415,0.1139278,-0.1654939,1.06E-05,87.28992,0.620923121,134827.2,1.350182373
15.95415,0.11393,-0.1654941,6.07E-05,20.07669,0.620923121,148520,1.487304387
15.95415,0.1139371,-0.1654946,0.000137482,85.31115,0.639191579,133479.6,1.336687279
15.95415,0.113945,-0.1654952,0.00025507,82.0031,0.806932622,138406.8,1.386029093
15.95415,0.1139593,-0.1654962,0.000433628,79.79643,0.621180375,140518.3,1.407174011
15.95415,0.1139793,-0.1654977,0.000707702,77.3653,-0.045808262,143103.1,1.433058635
15.95415,0.1140117,-0.1655001,0.00112579,75.36769,0.552592983,144287.7,1.444921419
15.95415,0.1140593,-0.1655035,0.001764701,72.62582,0.088979793,145907.6,1.461143372
15.95415,0.1141324,-0.1655088,0.002740934,69.31786,0.455984608,147209.9,1.474184824
15.95415,0.1142437,-0.1655169,0.004232254,65.34218,0.368315643,149145.5,1.49356825
15.95415,0.1144168,-0.1655295,0.006509965,61.08641,0.596330024,151471.2,1.516858203
15.95415,0.1146776,-0.1655485,0.009989581,56.7474,0.721539352,153961.7,1.541798491
15.95415,0.1150783,-0.1655777,0.01530625,52.60952,0.987085622,156088.6,1.563097627
15.95415,0.1156903,-0.1656223,0.0234275,48.54898,1.31941778,157106.7,1.573293052
15.95415,0.116623,-0.1656902,0.03583257,45.07737,1.848366882,157216.7,1.574394611
15.95415,0.1180496,-0.165794,0.05478453,42.49625,2.55399166,156937.5,1.571598655
15.95415,0.1197743,-0.1659196,0.07770674,41.20028,3.135678001,156361.3,1.565828491
15.95415,0.121521,-0.1660467,0.1008968,40.83345,3.59863451,155426.7,1.556469248
15.95415,0.1233063,-0.1661767,0.1246154,40.90763,4.016811387,154528.8,1.547477526
15.95415,0.1251313,-0.1663096,0.1488755,40.98591,4.316463374,153788.1,1.540060031
15.95415,0.1269994,-0.1664456,0.173688,40.86719,4.593599474,153298,1.535152087
15.95415,0.1289111,-0.1665847,0.1990669,40.50874,4.797512104,152992.5,1.532092758
15.95415,0.1308655,-0.166727,0.2250242,40.01014,4.968203431,152824.2,1.530407373
15.95415,0.1328635,-0.1668725,0.2515732,39.4674,5.077881706,152717.9,1.529342867
15.95415,0.1349072,-0.1670212,0.278727,38.93467,5.111468988,152619.3,1.52835547
15.95415,0.1369978,-0.1671734,0.3065,38.4118,5.111532341,152493.4,1.527094686
15.95415,0.1391363,-0.1673291,0.3349057,37.90185,5.103727157,152357.8,1.525736765
15.95415,0.1413225,-0.1674883,0.363959,37.38092,5.094532599,152197.5,1.524131494
15.95415,0.1435595,-0.1676511,0.3936728,36.85861,5.072040297,152037.1,1.522525221
15.95415,0.1458467,-0.1678176,0.4240642,36.33794,5.019561895,151881.4,1.520966015
15.95415,0.1481865,-0.167988,0.4551472,35.82631,4.925588421,151736,1.519509955
15.95415,0.1505799,-0.1681622,0.4869388,35.33099,4.797245033,151599.6,1.518144022
15.95415,0.1529998,-0.1683384,0.5190873,34.86269,4.634818798,151473.2,1.516878231
15.95415,0.1554195,-0.1685145,0.5512351,34.44255,4.451667436,151348.5,1.515629464
15.95415,0.1578388,-0.1686907,0.583384,34.09674,4.258240482,151222.8,1.514370683
15.95415,0.1602604,-0.168867,0.6155317,33.85483,4.051630853,151084.1,1.512981718
15.95415,0.162679,-0.169043,0.6476796,33.72271,3.840626303,150923.7,1.511375445
15.95415,0.1650998,-0.1692193,0.6798272,33.64823,3.632765427,150751.8,1.509654009
15.95415,0.1675192,-0.1693954,0.7119747,33.5467,3.434643164,150640.6,1.508540434
15.95415,0.169938,-0.1695715,0.7441218,33.42071,3.235736943,150693.2,1.509067179
15.95415,0.1723601,-0.1697478,0.7762688,33.50082,3.026335267,150962.8,1.511766999
15.95415,0.1747779,-0.1699238,0.8084159,34.23359,2.83539111,151329.4,1.515438193
15.95415,0.1771995,-0.1701001,0.840563,35.95611,2.712374363,151399.3,1.516138184
15.95415,0.1796187,-0.1702762,0.8727089,38.72763,2.575857955,151033.6,1.512476002
15.95415,0.1820375,-0.1704523,0.9048568,41.90364,2.432352044,149780.6,1.499928248
15.95415,0.1840751,-0.1706007,0.9319113,44.96664,2.202082668,147650.6,1.478598068
15.95415,0.1854676,-0.170702,0.9503965,47.85634,1.961569413,145004.3,1.452097573
15.95415,0.1864167,-0.1707711,0.9630267,50.63829,1.604295115,142605.2,1.42807258
15.95415,0.1870671,-0.1708185,0.9716559,53.1555,1.184332499,140715.7,1.409150807
15.95415,0.1875108,-0.1708508,0.9775529,55.43002,1.080115738,139446.6,1.396441826
15.95415,0.1878139,-0.1708729,0.9815806,57.40686,0.921102933,138584,1.387803603
