Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.95415,0.1235,-0.088,7.94E-06,129416.4635,330.4148687,1.295998343,1.153107855
15.95415,0.1235,-0.088,2.83E-05,129490.3306,330.4320519,1.296738061,1.153167822
15.95415,0.1235,-0.088,5.89E-05,129603.276,330.4583256,1.297869115,1.153259514
15.95415,0.12351,-0.088,0.00010635,129976.0742,330.5132627,1.301602379,1.153451238
15.95415,0.12351,-0.088,0.000178728,130720.43,330.5923596,1.309056484,1.153727276
15.95415,0.12352,-0.088,0.00028926,131816.9919,330.6822281,1.32003764,1.154040907
15.95415,0.12353,-0.088,0.000458251,132941.3318,330.7745358,1.33129697,1.154363049
15.95415,0.12355,-0.088,0.000716987,133946.3914,330.8627078,1.341361807,1.154670759
15.95415,0.12357,-0.088,0.001112146,134969.2812,330.9386091,1.351605198,1.154935645
15.95415,0.12361,-0.088,0.001716888,136055.8895,331.0131036,1.362486677,1.155195622
15.95415,0.12367,-0.088,0.002641267,137254.4029,331.0718407,1.374488793,1.155400607
15.95415,0.12376,-0.088,0.004054381,138644.1427,331.1341878,1.388405882,1.155618191
15.95415,0.12389,-0.088,0.006215378,140195.4105,331.1476641,1.40394054,1.155665222
15.95415,0.1241,-0.088,0.009518197,142062.3673,331.1082854,1.422636561,1.155527795
15.95415,0.12442,-0.088,0.01456743,144280.4012,330.9372196,1.444848328,1.154930796
15.95415,0.1249,-0.088,0.02228582,146927.7368,330.5236628,1.471359194,1.153487533
15.95415,0.12549,-0.088,0.0315637,149492.5441,329.747757,1.497043608,1.150779716
15.95415,0.1261,-0.088,0.04127835,151370.7636,328.7944317,1.515852416,1.147452726
15.95415,0.12678,-0.088,0.05202657,152638.6746,327.7847401,1.528549491,1.143929025
15.95415,0.12753,-0.088,0.06391803,153152.1479,326.9172351,1.533691499,1.140901537
15.95415,0.12836,-0.088,0.07707527,153164.8546,326.2081113,1.533818746,1.138426781
15.95415,0.12927,-0.088,0.09163291,152896.5019,325.7239152,1.531131417,1.136736995
15.95415,0.13029,-0.088,0.1077399,152564.1188,325.4515948,1.527802876,1.13578663
15.95415,0.13141,-0.088,0.1255605,152165.5299,325.2684793,1.52381134,1.135147579
15.95415,0.13265,-0.088,0.1452767,151812.796,325.1701721,1.520279003,1.134804499
15.95415,0.13403,-0.088,0.1670921,151466.8182,325.0735654,1.516814323,1.134467353
15.95415,0.13555,-0.088,0.1912286,151213.5703,324.9843563,1.514278255,1.134156024
15.95415,0.13723,-0.088,0.2179329,151045.344,324.8798158,1.512593609,1.133791191
15.95415,0.13909,-0.088,0.2474837,150939.0253,324.7568676,1.511528915,1.133362116
15.95415,0.14115,-0.088,0.2801705,150860.2934,324.6163946,1.510740481,1.132871883
15.95415,0.14343,-0.088,0.3163426,150798.9919,324.468794,1.510126597,1.132356775
15.95415,0.14595,-0.088,0.3563637,150728.0793,324.3192642,1.509416466,1.131834934
15.95415,0.1486,-0.088,0.3984098,150636.5096,324.192731,1.508499472,1.131393348
15.95415,0.15125,-0.088,0.4404466,150522.8349,324.1196225,1.507361114,1.131138208
